State,County,Obesity
California,Fresno County,29.4
California,Glenn County,26.8
California,Humboldt County,26.5
California,Imperial County,23.5
California,Inyo County,23.8
California,Kern County,27.8
California,Kings County,24.2
California,Lake County,26.7
California,Lassen County,25.6
California,Los Angeles County,21.3
California,Madera County,29.7
California,Marin County,15.4
California,Mariposa County,23.8
California,Mendocino County,24.8
California,Merced County,31.3
California,Modoc County,25.1
California,Mono County,20.8
California,Monterey County,22.8
California,Napa County,23.6
California,Nevada County,18.5
California,Orange County,20.4
California,Placer County,22.8
California,Plumas County,23
California,Riverside County,27
California,Sacramento County,27.7
California,San Benito County,24.3
California,San Bernardino County,28.2
California,San Diego County,23.1
California,San Francisco County,16
California,San Joaquin County,31
California,San Luis Obispo County,20
California,San Mateo County,20
California,Santa Barbara County,19.2
California,Santa Clara County,21
California,Santa Cruz County,20.1
California,Shasta County,28
California,Sierra County,23.4
California,Siskiyou County,23.3
California,Solano County,27.1
California,Sonoma County,22.5
California,Stanislaus County,30.8
California,Sutter County,25.9
California,Tehama County,26
California,Trinity County,25.1
California,Tulare County,29.5
California,Tuolumne County,22.7
California,Ventura County,21.9
California,Yolo County,22.9
California,Yuba County,30.5
Colorado,Adams County,25
Colorado,Alamosa County,20.5
Colorado,Arapahoe County,20.7
Colorado,Archuleta County,17
Colorado,Baca County,21.8
Colorado,Bent County,24
Colorado,Boulder County,14.9
Colorado,Broomfield County,20.2
Colorado,Chaffee County,16.2
Colorado,Cheyenne County,23.3
Colorado,Clear Creek County,16.6
Colorado,Conejos County,17.7
Colorado,Costilla County,20.5
Colorado,Crowley County,24.3
Colorado,Custer County,21.2
Colorado,Delta County,21.5
Colorado,Denver County,18.2
Colorado,Dolores County,20.8
Colorado,Douglas County,16.2
Colorado,Eagle County,13.2
Colorado,Elbert County,20.2
Colorado,El Paso County,21.4
Colorado,Fremont County,22.4
Colorado,Garfield County,17.4
Colorado,Gilpin County,19.7
Colorado,Grand County,18
Colorado,Gunnison County,15.9
Colorado,Hinsdale County,19.5
Colorado,Huerfano County,20.9
Colorado,Jackson County,21.8
Colorado,Jefferson County,19.6
Colorado,Kiowa County,24.9
Colorado,Kit Carson County,27.2
Colorado,Lake County,19.2
Colorado,La Plata County,16.7
Colorado,Larimer County,19.3
Colorado,Las Animas County,24.3
Colorado,Lincoln County,23.1
Colorado,Logan County,23.7
Colorado,Mesa County,22.3
Colorado,Mineral County,19.7
Colorado,Moffat County,24.1
Colorado,Montezuma County,21.8
Colorado,Montrose County,20.1
Colorado,Morgan County,28.8
Colorado,Otero County,25.5
Colorado,Ouray County,17.5
Colorado,Park County,18.4
Colorado,Phillips County,22.6
Colorado,Pitkin County,14.2
Colorado,Prowers County,25.5
Colorado,Pueblo County,26.6
Colorado,Rio Blanco County,21.1
Colorado,Rio Grande County,22.7
Colorado,Routt County,13.4
Colorado,Saguache County,23
Colorado,San Juan County,20.2
Colorado,San Miguel County,16.9
Colorado,Sedgwick County,24.1
Colorado,Summit County,14.5
Colorado,Teller County,17.8
Colorado,Washington County,23.2
Colorado,Weld County,25.6
Colorado,Yuma County,25.1
Connecticut,Fairfield County,18.6
Connecticut,Hartford County,24.6
Connecticut,Litchfield County,21.9
Connecticut,Middlesex County,23.9
Connecticut,New Haven County,27.4
Connecticut,New London County,25
Connecticut,Tolland County,23.4
Connecticut,Windham County,30
Delaware,Kent County,33.8
Delaware,New Castle County,26.7
Delaware,Sussex County,29.9
District of Columbia,District of Columbia,21
Florida,Alachua County,25.2
Florida,Baker County,36.7
Florida,Bay County,28.5
Florida,Bradford County,35.7
Florida,Brevard County,28.4
Florida,Broward County,24.1
Florida,Calhoun County,36.1
Florida,Charlotte County,25.7
Florida,Citrus County,29.3
Florida,Clay County,28.2
Florida,Collier County,20.9
Florida,Columbia County,34.9
Florida,DeSoto County,34.4
Florida,Dixie County,35.7
Florida,Duval County,28.4
Florida,Escambia County,30
Florida,Flagler County,28.4
Florida,Franklin County,26.1
Florida,Gadsden County,37.1
Florida,Gilchrist County,32.1
Florida,Glades County,35.5
Florida,Gulf County,31.1
Florida,Hamilton County,37.3
Florida,Hardee County,36.9
Florida,Hendry County,34.4
Florida,Hernando County,28.7
Florida,Highlands County,30.2
Florida,Hillsborough County,26.8
Florida,Holmes County,30.6
Florida,Indian River County,21.8
Florida,Jackson County,33.9
Florida,Jefferson County,35.1
Florida,Lafayette County,34.7
Florida,Lake County,29.1
Florida,Lee County,25.9
Florida,Leon County,28.2
Florida,Levy County,33.7
Florida,Liberty County,35.7
Florida,Madison County,36.3
Florida,Manatee County,25.1
Florida,Marion County,31.6
Florida,Martin County,20.1
Florida,Miami-Dade County,21.8
Florida,Monroe County,18.9
Florida,Nassau County,27.8
Florida,Okaloosa County,28.5
Florida,Okeechobee County,31.7
Florida,Orange County,25.7
Florida,Osceola County,29
Florida,Palm Beach County,22.4
Florida,Pasco County,28.5
Florida,Pinellas County,23.8
Florida,Polk County,32.1
Florida,Putnam County,33.8
Florida,St. Johns County,22.6
Florida,St. Lucie County,28.7
Florida,Santa Rosa County,28
Florida,Sarasota County,20.2
Florida,Seminole County,24.9
Florida,Sumter County,28.1
Florida,Suwannee County,31
Florida,Taylor County,35.9
Florida,Union County,38
Florida,Volusia County,25.8
Florida,Wakulla County,36.2
Florida,Walton County,26.7
Florida,Washington County,36.4
Georgia,Appling County,34.3
Georgia,Atkinson County,30.8
Georgia,Bacon County,30.8
Georgia,Baker County,32.6
Georgia,Baldwin County,32
Georgia,Banks County,28.2
Georgia,Barrow County,32.2
Georgia,Bartow County,29.4
Georgia,Ben Hill County,33.4
Georgia,Berrien County,30.1
Georgia,Bibb County,30.3
Georgia,Bleckley County,30.1
Georgia,Brantley County,31
Georgia,Brooks County,33.3
Georgia,Bryan County,28.3
Georgia,Bulloch County,33
Georgia,Burke County,35.9
Georgia,Butts County,33.6
Georgia,Calhoun County,31.7
Georgia,Camden County,28.6
Georgia,Candler County,32
Georgia,Carroll County,31.4
Georgia,Catoosa County,31
Georgia,Charlton County,31.5
Georgia,Chatham County,26.8
Georgia,Chattahoochee County,30.5
Georgia,Chattooga County,32.8
Georgia,Cherokee County,27.9
Georgia,Clarke County,26.7
Georgia,Clay County,33.6
Georgia,Clayton County,36.1
Georgia,Clinch County,32.7
Georgia,Cobb County,23.4
Georgia,Coffee County,30.5
Georgia,Colquitt County,32.6
Georgia,Columbia County,26.4
Georgia,Cook County,31.7
Georgia,Coweta County,29.6
Georgia,Crawford County,30.7
Georgia,Crisp County,33.8
Georgia,Dade County,30.9
Georgia,Dawson County,27.5
Georgia,Decatur County,31.7
Georgia,DeKalb County,25.5
Georgia,Dodge County,35.8
Georgia,Dooly County,31.7
Georgia,Dougherty County,38.1
Georgia,Douglas County,34.6
Georgia,Early County,30.5
Georgia,Echols County,28.3
Georgia,Effingham County,31
Georgia,Elbert County,35.5
Georgia,Emanuel County,30
Georgia,Evans County,34.8
Georgia,Fannin County,29
Georgia,Fayette County,25
Georgia,Floyd County,27.4
Georgia,Forsyth County,21.9
Georgia,Franklin County,26.5
Georgia,Fulton County,22.9
Georgia,Gilmer County,29.1
Georgia,Glascock County,28.6
Georgia,Glynn County,28.2
Georgia,Gordon County,28.5
Georgia,Grady County,32.3
Georgia,Greene County,31.9
Georgia,Gwinnett County,25.3
Georgia,Habersham County,27.6
Georgia,Hall County,29
Georgia,Hancock County,38.7
Georgia,Haralson County,31.6
Georgia,Harris County,28.2
Georgia,Hart County,28.4
Georgia,Heard County,28.9
Georgia,Henry County,28.5
Georgia,Houston County,29.9
Georgia,Irwin County,31
Georgia,Jackson County,26.4
Georgia,Jasper County,29.8
Georgia,Jeff Davis County,28.5
Georgia,Jefferson County,37.8
Georgia,Jenkins County,31.9
Georgia,Johnson County,32.5
