State,Unemployment_rate_2010,Counties
KY,10.9,Muhlenberg County
KY,11.2,Nelson County
KY,10.1,Nicholas County
KY,11.2,Ohio County
KY,7.5,Oldham County
KY,8.4,Owen County
KY,13.3,Owsley County
KY,12.3,Pendleton County
KY,11.7,Perry County
KY,10.4,Pike County
KY,15.5,Powell County
KY,10.6,Pulaski County
KY,11.6,Robertson County
KY,11.2,Rockcastle County
KY,10.1,Rowan County
KY,12.8,Russell County
KY,8.7,Scott County
KY,8.9,Shelby County
KY,13,Simpson County
KY,9.9,Spencer County
KY,12.3,Taylor County
KY,10,Todd County
KY,14.1,Trigg County
KY,12.9,Trimble County
KY,9.7,Union County
KY,9.2,Warren County
KY,10.1,Washington County
KY,14.1,Wayne County
KY,9.5,Webster County
KY,12.6,Whitley County
KY,16.4,Wolfe County
KY,7.3,Woodford County
LA,7.3,Acadia Parish
LA,9.8,Allen Parish
LA,7.5,Ascension Parish
LA,11.6,Assumption Parish
LA,8.4,Avoyelles Parish
LA,7.9,Beauregard Parish
LA,10,Bienville Parish
LA,6.1,Bossier Parish
LA,8.1,Caddo Parish
LA,8,Calcasieu Parish
LA,10.8,Caldwell Parish
LA,6.3,Cameron Parish
LA,10.3,Catahoula Parish
LA,8.7,Claiborne Parish
LA,9.9,Concordia Parish
LA,8.8,De Soto Parish
LA,7.6,East Baton Rouge Parish
LA,17.7,East Carroll Parish
LA,8.3,East Feliciana Parish
LA,8.6,Evangeline Parish
LA,11.1,Franklin Parish
LA,8.5,Grant Parish
LA,8.6,Iberia Parish
LA,10,Iberville Parish
LA,7.3,Jackson Parish
LA,7.4,Jefferson Parish
LA,7.5,Jefferson Davis Parish
LA,6.2,Lafayette Parish
LA,6.1,Lafourche Parish
LA,6.5,LaSalle Parish
LA,8.7,Lincoln Parish
LA,7.5,Livingston Parish
LA,12,Madison Parish
LA,15.4,Morehouse Parish
LA,9,Natchitoches Parish
LA,8.7,Orleans Parish
LA,8.3,Ouachita Parish
LA,6.1,Plaquemines Parish
LA,8.7,Pointe Coupee Parish
LA,7.6,Rapides Parish
LA,8.5,Red River Parish
LA,11,Richland Parish
LA,7.3,Sabine Parish
LA,8.3,St. Bernard Parish
LA,7.4,St. Charles Parish
LA,13.1,St. Helena Parish
LA,11.7,St. James Parish
LA,10.6,St. John the Baptist Parish
LA,9.6,St. Landry Parish
LA,8,St. Martin Parish
LA,9.4,St. Mary Parish
LA,6.3,St. Tammany Parish
LA,9.7,Tangipahoa Parish
LA,13.8,Tensas Parish
LA,6.5,Terrebonne Parish
LA,10.4,Union Parish
LA,7.3,Vermilion Parish
LA,8.6,Vernon Parish
LA,9.6,Washington Parish
LA,10.4,Webster Parish
LA,7.9,West Baton Rouge Parish
LA,16.3,West Carroll Parish
LA,6.7,West Feliciana Parish
LA,9.3,Winn Parish
ME,8.6,Androscoggin County
ME,9.7,Aroostook County
ME,6.5,Cumberland County
ME,9.2,Franklin County
ME,8.8,Hancock County
ME,7.6,Kennebec County
ME,7.4,Knox County
ME,7.6,Lincoln County
ME,10.7,Oxford County
ME,8.5,Penobscot County
ME,10.7,Piscataquis County
ME,6.7,Sagadahoc County
ME,11.1,Somerset County
ME,8.5,Waldo County
ME,10.8,Washington County
ME,8,York County
MD,9.3,Allegany County
MD,6.9,Anne Arundel County
MD,8.3,Baltimore County
MD,6.9,Calvert County
MD,9.2,Caroline County
MD,6.8,Carroll County
MD,9.5,Cecil County
MD,6.9,Charles County
MD,11.4,Dorchester County
MD,6.9,Frederick County
MD,8.9,Garrett County
MD,7.8,Harford County
MD,5.6,Howard County
MD,8.8,Kent County
MD,5.6,Montgomery County
MD,7.5,Prince George's County
MD,7.3,Queen Anne's County
MD,6.5,St. Mary's County
MD,11.9,Somerset County
MD,8,Talbot County
MD,9.6,Washington County
MD,9.7,Wicomico County
MD,13.3,Worcester County
MD,11.2,Baltimore city
MA,9.9,Barnstable County
MA,8.7,Berkshire County
MA,10.6,Bristol County
MA,9.8,Dukes County
MA,8.7,Essex County
MA,7.6,Franklin County
MA,10.3,Hampden County
MA,7,Hampshire County
MA,6.9,Middlesex County
MA,9.6,Nantucket County/town
MA,7.4,Norfolk County
MA,8.9,Plymouth County
MA,7.6,Suffolk County
MA,8.9,Worcester County
MI,17.8,Alcona County
MI,14.1,Alger County
MI,11.3,Allegan County
MI,13.1,Alpena County
MI,16,Antrim County
MI,16.5,Arenac County
MI,19.4,Baraga County
MI,10.4,Barry County
MI,11.6,Bay County
MI,13.5,Benzie County
MI,12,Berrien County
MI,12.6,Branch County
MI,11.7,Calhoun County
MI,11.4,Cass County
MI,14,Charlevoix County
MI,14,Cheboygan County
MI,11.9,Chippewa County
MI,15.5,Clare County
MI,8.4,Clinton County
MI,14.2,Crawford County
MI,12.5,Delta County
MI,11.5,Dickinson County
MI,9.6,Eaton County
MI,14.4,Emmet County
MI,14,Genesee County
MI,14.8,Gladwin County
MI,13.1,Gogebic County
MI,11.6,Grand Traverse County
MI,11.8,Gratiot County
MI,13.5,Hillsdale County
MI,10.8,Houghton County
MI,12.5,Huron County
MI,10.3,Ingham County
MI,11.9,Ionia County
MI,15.8,Iosco County
MI,12,Iron County
MI,9.8,Isabella County
MI,12.2,Jackson County
MI,10,Kalamazoo County
MI,15.6,Kalkaska County
MI,10.1,Kent County
MI,15.1,Keweenaw County
MI,16.2,Lake County
MI,16.3,Lapeer County
MI,10.4,Leelanau County
MI,13,Lenawee County
MI,11.2,Livingston County
MI,13.4,Luce County
MI,14.6,Mackinac County
MI,13.9,Macomb County
MI,13.1,Manistee County
MI,9.8,Marquette County
MI,12.6,Mason County
MI,12.6,Mecosta County
MI,11.6,Menominee County
MI,9.8,Midland County
MI,12.7,Missaukee County
MI,11.7,Monroe County
MI,14.1,Montcalm County
MI,20.2,Montmorency County
MI,14.5,Muskegon County
MI,12.7,Newaygo County
MI,11.8,Oakland County
MI,16.2,Oceana County
MI,14.5,Ogemaw County
MI,16.7,Ontonagon County
MI,13.6,Osceola County
MI,19.6,Oscoda County
MI,14.2,Otsego County
MI,10.3,Ottawa County
MI,17.4,Presque Isle County
MI,16.6,Roscommon County
MI,12.2,Saginaw County
MI,16.4,St. Clair County
MI,12.5,St. Joseph County
MI,15.4,Sanilac County
MI,13.6,Schoolcraft County
MI,12.9,Shiawassee County
MI,14.7,Tuscola County
MI,13.5,Van Buren County
MI,8.1,Washtenaw County
MI,15.5,Wayne County
MI,14.4,Wexford County
MN,10.4,Aitkin County
MN,8,Anoka County
MN,7.9,Becker County
MN,8.2,Beltrami County
MN,8.7,Benton County
MN,6.5,Big Stone County
MN,6.4,Blue Earth County
MN,6.9,Brown County
MN,8.4,Carlton County
MN,6.7,Carver County
MN,10.6,Cass County
MN,7.3,Chippewa County
MN,8.9,Chisago County
MN,5.5,Clay County
MN,13.1,Clearwater County
MN,7.2,Cook County
MN,6.5,Cottonwood County
MN,9.5,Crow Wing County
MN,7,Dakota County
MN,6.9,Dodge County
MN,6.8,Douglas County
MN,8,Faribault County
MN,7.5,Fillmore County
MN,7.7,Freeborn County
MN,7,Goodhue County
MN,7.9,Grant County
MN,7,Hennepin County
MN,7.7,Houston County
MN,9.9,Hubbard County
MN,9.6,Isanti County
MN,10.2,Itasca County
MN,5.8,Jackson County
MN,11.2,Kanabec County
MN,6.7,Kandiyohi County
MN,7.5,Kittson County
MN,8.7,Koochiching County
MN,6.7,Lac qui Parle County
MN,8.3,Lake County
MN,6.5,Lake of the Woods County
MN,8.9,Le Sueur County
MN,5.5,Lincoln County
MN,5.6,Lyon County
MN,9,McLeod County
MN,8.3,Mahnomen County
MN,9.3,Marshall County
MN,7.3,Martin County
MN,8.8,Meeker County
MN,11.1,Mille Lacs County
MN,9.5,Morrison County
MN,6.1,Mower County
MN,6.8,Murray County
MN,6.1,Nicollet County
MN,5.6,Nobles County
MN,6.9,Norman County
MN,5.9,Olmsted County
MN,7.2,Otter Tail County
MN,9,Pennington County
MN,9.8,Pine County
MN,6.6,Pipestone County
MN,6.6,Polk County
MN,7.1,Pope County
MN,7.5,Ramsey County
MN,9.6,Red Lake County
MN,6.7,Redwood County
MN,8.1,Renville County
MN,7.8,Rice County
MN,5.1,Rock County
MN,6.4,Roseau County
MN,8.1,St. Louis County
MN,6.9,Scott County
MN,8.4,Sherburne County
MN,7.9,Sibley County
MN,7.2,Stearns County
MN,7.8,Steele County
MN,5.6,Stevens County
MN,8.1,Swift County
MN,7.8,Todd County
MN,6.2,Traverse County
MN,7.1,Wabasha County
MN,10.2,Wadena County
MN,7.5,Waseca County
MN,6.7,Washington County
MN,7.3,Watonwan County
MN,5.5,Wilkin County
MN,6.9,Winona County
MN,8,Wright County
MN,6.3,Yellow Medicine County
MS,11.5,Adams County
MS,11.5,Alcorn County
MS,11.9,Amite County
MS,12.5,Attala County
MS,12.5,Benton County
MS,11.4,Bolivar County
MS,9.2,Calhoun County
MS,13.1,Carroll County
MS,12,Chickasaw County
MS,11.8,Choctaw County
MS,16.7,Claiborne County
MS,12.6,Clarke County
MS,16.4,Clay County
MS,13.7,Coahoma County
MS,11.4,Copiah County
MS,10.1,Covington County
MS,7.5,DeSoto County
MS,9.8,Forrest County
MS,11.4,Franklin County
MS,11.5,George County
MS,11.9,Greene County
MS,11.6,Grenada County
MS,9,Hancock County
MS,8.8,Harrison County
MS,9.8,Hinds County
MS,19.6,Holmes County
MS,17.2,Humphreys County
MS,16.2,Issaquena County
MS,11.3,Itawamba County
MS,9.5,Jackson County
MS,12.2,Jasper County
MS,18.8,Jefferson County
MS,14.1,Jefferson Davis County
MS,9.1,Jones County
MS,14.7,Kemper County
MS,9.3,Lafayette County
MS,7.2,Lamar County
MS,10.7,Lauderdale County
MS,11.9,Lawrence County
MS,9.7,Leake County
MS,10.4,Lee County
MS,15.3,Leflore County
MS,10.5,Lincoln County
MS,11.8,Lowndes County
MS,7.4,Madison County
MS,12.2,Marion County
MS,12.1,Marshall County
MS,13.1,Monroe County
MS,13.8,Montgomery County
MS,10.4,Neshoba County
MS,10.1,Newton County
MS,15.8,Noxubee County
MS,10.2,Oktibbeha County
MS,13.5,Panola County
MS,9.5,Pearl River County
MS,13.6,Perry County
MS,11.6,Pike County
MS,10.2,Pontotoc County
MS,11.8,Prentiss County
MS,14.9,Quitman County
MS,6.9,Rankin County
MS,8,Scott County
MS,14.5,Sharkey County
MS,9.4,Simpson County
MS,9.1,Smith County
MS,10.6,Stone County
MS,15.4,Sunflower County
MS,12.2,Tallahatchie County
MS,10.8,Tate County
MS,13.5,Tippah County
MS,12.7,Tishomingo County
MS,13.7,Tunica County
MS,10.9,Union County
MS,13,Walthall County
MS,10.5,Warren County
MS,15.8,Washington County
MS,12.1,Wayne County
MS,11.5,Webster County
MS,13.8,Wilkinson County
MS,17,Winston County
MS,13.6,Yalobusha County
MS,12.2,Yazoo County
MO,8.7,Adair County
MO,8.3,Andrew County
MO,8.6,Atchison County
MO,9.6,Audrain County
MO,9.7,Barry County
MO,10.3,Barton County
MO,11,Bates County
MO,12.1,Benton County
MO,10.1,Bollinger County
MO,6.5,Boone County
MO,9.2,Buchanan County
MO,9.6,Butler County
MO,9.6,Caldwell County
MO,8.3,Callaway County
MO,12,Camden County
MO,7.3,Cape Girardeau County
MO,11.5,Carroll County
MO,11.5,Carter County
MO,9.6,Cass County
MO,9.5,Cedar County
MO,9.5,Chariton County
MO,8.4,Christian County
MO,12.4,Clark County
MO,8.4,Clay County
MO,9.7,Clinton County
MO,6.9,Cole County
MO,9.8,Cooper County
MO,12.7,Crawford County
MO,9.7,Dade County
MO,12.6,Dallas County
MO,9.8,Daviess County
MO,8.8,DeKalb County
MO,10.4,Dent County
MO,12.1,Douglas County
MO,13.5,Dunklin County
MO,11.3,Franklin County
MO,10.4,Gasconade County
MO,7.9,Gentry County
MO,8.3,Greene County
MO,8,Grundy County
MO,9.5,Harrison County
MO,10.8,Henry County
MO,12.6,Hickory County
MO,7.9,Holt County
MO,8.7,Howard County
MO,10.8,Howell County
MO,16.7,Iron County
MO,10.7,Jackson County
MO,8.5,Jasper County
MO,10.4,Jefferson County
MO,9.9,Johnson County
MO,7.8,Knox County
MO,12.4,Laclede County
MO,9.8,Lafayette County
MO,9.3,Lawrence County
MO,8.5,Lewis County
MO,11.8,Lincoln County
MO,12.6,Linn County
MO,8.2,Livingston County
MO,9.2,McDonald County
MO,9.3,Macon County
MO,12.2,Madison County
MO,9.5,Maries County
MO,9.1,Marion County
MO,8.4,Mercer County
MO,12.9,Miller County
MO,9.7,Mississippi County
MO,8.4,Moniteau County
MO,12.3,Monroe County
MO,11.1,Montgomery County
MO,14.5,Morgan County
MO,10,New Madrid County
MO,9,Newton County
MO,7.2,Nodaway County
MO,11.1,Oregon County
MO,6.9,Osage County
MO,11.7,Ozark County
MO,12.5,Pemiscot County
MO,7.2,Perry County
MO,9.3,Pettis County
MO,9,Phelps County
MO,9.8,Pike County
MO,7.7,Platte County
MO,10.3,Polk County
MO,8.8,Pulaski County
MO,8,Putnam County
MO,8.8,Ralls County
MO,11.5,Randolph County
MO,10.3,Ray County
MO,15.1,Reynolds County
MO,12.9,Ripley County
MO,8.2,St. Charles County
MO,11.2,St. Clair County
MO,10.3,Ste. Genevieve County
MO,12.3,St. Francois County
MO,8.9,St. Louis County
MO,8.9,Saline County
MO,10.4,Schuyler County
MO,8.1,Scotland County
MO,9.7,Scott County
MO,14.8,Shannon County
MO,8.6,Shelby County
MO,10.4,Stoddard County
MO,13.8,Stone County
MO,8.8,Sullivan County
MO,13.9,Taney County
MO,11,Texas County
MO,8.3,Vernon County
MO,11,Warren County
MO,14.3,Washington County
MO,10.8,Wayne County
MO,10.5,Webster County
MO,6.8,Worth County
MO,11.9,Wright County
MO,11.5,St. Louis city
MT,5.9,Beaverhead County
MT,11,Big Horn County
MT,6.7,Blaine County
MT,7.4,Broadwater County
MT,6.4,Carbon County
MT,3.9,Carter County
MT,6.4,Cascade County
MT,4.4,Chouteau County
MT,4.5,Custer County
MT,3.5,Daniels County
MT,4.2,Dawson County
MT,6.1,Deer Lodge County
MT,3.1,Fallon County
MT,6.4,Fergus County
MT,12,Flathead County
MT,6.8,Gallatin County
MT,3.5,Garfield County
MT,9.8,Glacier County
MT,6.7,Golden Valley County
MT,9.3,Granite County
MT,5.8,Hill County
MT,6.3,Jefferson County
MT,6.4,Judith Basin County
MT,9,Lake County
MT,5.5,Lewis and Clark County
MT,4.4,Liberty County
MT,15,Lincoln County
MT,2.9,McCone County
MT,7.6,Madison County
MT,8,Meagher County
MT,12.5,Mineral County
MT,7.3,Missoula County
MT,6.9,Musselshell County
MT,8.8,Park County
MT,5.4,Petroleum County
MT,6.8,Phillips County
MT,5.9,Pondera County
MT,3.7,Powder River County
MT,7.6,Powell County
MT,5.1,Prairie County
MT,9.4,Ravalli County
MT,3.8,Richland County
MT,6.9,Roosevelt County
MT,7,Rosebud County
MT,13.1,Sanders County
MT,3.7,Sheridan County
MT,6.5,Silver Bow County
MT,5.8,Stillwater County
MT,5.5,Sweet Grass County
MT,6,Teton County
MT,4.6,Toole County
MT,5.3,Treasure County
MT,4.9,Valley County
MT,7.9,Wheatland County
MT,4.2,Wibaux County
MT,5.9,Yellowstone County
NE,4.7,Adams County
NE,3.6,Antelope County
NE,8,Arthur County
NE,4.4,Banner County
NE,5,Blaine County
NE,3.5,Boone County
NE,5,Box Butte County
NE,3.9,Boyd County
NE,4.7,Brown County
NE,3.6,Buffalo County
NE,5.9,Burt County
NE,3.9,Butler County
NE,5.6,Cass County
NE,3.6,Cedar County
NE,2.8,Chase County
NE,3,Cherry County
NE,3.6,Cheyenne County
NE,4.3,Clay County
NE,3.9,Colfax County
NE,3.7,Cuming County
NE,3.7,Custer County
NE,7.3,Dakota County
NE,4,Dawes County
NE,4.9,Dawson County
NE,3.9,Deuel County
NE,4.8,Dixon County
NE,5.3,Dodge County
NE,5.1,Douglas County
NE,3.1,Dundy County
NE,3.7,Fillmore County
NE,4.3,Franklin County
NE,3.8,Frontier County
NE,3.4,Furnas County
NE,5.8,Gage County
NE,4.1,Garden County
NE,3.1,Garfield County
NE,3.6,Gosper County
NE,3.8,Grant County
NE,3.6,Greeley County
NE,4.6,Hall County
NE,3.8,Hamilton County
NE,3.2,Harlan County
NE,3.4,Hayes County
NE,5.1,Hitchcock County
NE,3.6,Holt County
NE,5.1,Hooker County
NE,4.4,Howard County
NE,4.7,Jefferson County
NE,4.7,Johnson County
NE,3.5,Kearney County
NE,4.3,Keith County
NE,3.5,Keya Paha County
NE,4.7,Kimball County
NE,4.1,Knox County
NE,4.2,Lancaster County
NE,4.5,Lincoln County
NE,4.5,Logan County
NE,5.7,Loup County
NE,2.8,McPherson County
NE,4.2,Madison County
NE,4.5,Merrick County
NE,4.1,Morrill County
NE,3.9,Nance County
NE,5.3,Nemaha County
NE,4.1,Nuckolls County
NE,5,Otoe County
NE,4,Pawnee County
NE,3.3,Perkins County
NE,3.6,Phelps County
NE,3.7,Pierce County
NE,4.2,Platte County
NE,4,Polk County
NE,3.7,Red Willow County
NE,6.2,Richardson County
NE,2.8,Rock County
NE,4.7,Saline County
NE,4.4,Sarpy County
NE,4.8,Saunders County
NE,5.5,Scotts Bluff County
NE,4,Seward County
NE,3.5,Sheridan County
NE,4,Sherman County
NE,3.7,Sioux County
NE,4.1,Stanton County
NE,3.8,Thayer County
NE,4.8,Thomas County
NE,9.6,Thurston County
NE,4.4,Valley County
NE,4.6,Washington County
NE,3.8,Wayne County
NE,4.8,Webster County
NE,3.9,Wheeler County
NE,4.6,York County
NV,12.4,Churchill County
NV,13.8,Clark County
NV,13.8,Douglas County
NV,7.7,Elko County
NV,9.2,Esmeralda County
NV,7.8,Eureka County
NV,8.7,Humboldt County
NV,9.5,Lander County
NV,10.6,Lincoln County
NV,17.5,Lyon County
NV,14.4,Mineral County
NV,17.3,Nye County
NV,10.6,Pershing County
NV,16.7,Storey County
NV,12.9,Washoe County
NV,9.2,White Pine County
NV,13.5,Carson City
NH,6.4,Belknap County
NH,5.7,Carroll County
NH,5.5,Cheshire County
NH,7.4,Coos County
NH,4.8,Grafton County
NH,6.2,Hillsborough County
NH,5.3,Merrimack County
NH,6,Rockingham County
NH,5.7,Strafford County
NH,5.2,Sullivan County
NJ,12.3,Atlantic County
NJ,8,Bergen County
NJ,9,Burlington County
NJ,10.9,Camden County
NJ,14,Cape May County
NJ,13,Cumberland County
NJ,10.8,Essex County
NJ,10.3,Gloucester County
NJ,9.6,Hudson County
NJ,7.4,Hunterdon County
NJ,8.4,Mercer County
NJ,8.9,Middlesex County
NJ,8.7,Monmouth County
NJ,7.4,Morris County
NJ,10.3,Ocean County
NJ,11.4,Passaic County
NJ,11.7,Salem County
NJ,7.6,Somerset County
NJ,9.4,Sussex County
NJ,9.5,Union County
NJ,9.8,Warren County
NM,7.7,Bernalillo County
NM,12,Catron County
NM,7.5,Chaves County
NM,9.6,Cibola County
NM,8.4,Colfax County
NM,5.4,Curry County
NM,6,De Baca County
NM,7.8,Dona Ana County
NM,6.4,Eddy County
NM,9.7,Grant County
NM,10.1,Guadalupe County
NM,6.1,Harding County
NM,8.5,Hidalgo County
NM,7.9,Lea County
NM,7.5,Lincoln County
NM,3.7,Los Alamos County
NM,20.1,Luna County
NM,9.9,McKinley County
NM,12.3,Mora County
NM,7.3,Otero County
NM,9.4,Quay County
NM,9.1,Rio Arriba County
NM,6.3,Roosevelt County
NM,8.4,Sandoval County
NM,9.4,San Juan County
NM,9.6,San Miguel County
NM,6.8,Santa Fe County
NM,9.2,Sierra County
NM,7.8,Socorro County
NM,10.7,Taos County
NM,11.6,Torrance County
NM,6.3,Union County
NM,9.6,Valencia County
NY,7,Albany County
NY,9.2,Allegany County
NY,12,Bronx County
NY,8.7,Broome County
NY,9.5,Cattaraugus County
NY,8.5,Cayuga County
NY,8.9,Chautauqua County
NY,8.4,Chemung County
NY,9.2,Chenango County
NY,9.8,Clinton County
NY,7.3,Columbia County
NY,8.9,Cortland County
NY,8.8,Delaware County
NY,7.7,Dutchess County
NY,8.3,Erie County
NY,9.2,Essex County
NY,9,Franklin County
NY,10.6,Fulton County
NY,8,Genesee County
NY,9.1,Greene County
NY,9.8,Hamilton County
NY,8.6,Herkimer County
NY,9.3,Jefferson County
NY,9.9,Kings County
NY,9.1,Lewis County
NY,8.1,Livingston County
NY,8.3,Madison County
NY,8,Monroe County
NY,10.1,Montgomery County
NY,7.1,Nassau County
NY,8.6,New York County
NY,9.6,Niagara County
NY,7.6,Oneida County
NY,8,Onondaga County
NY,7.4,Ontario County
NY,8,Orange County
NY,9.6,Orleans County
NY,10.6,Oswego County
NY,7.6,Otsego County
NY,7.2,Putnam County
NY,8.6,Queens County
NY,7.8,Rensselaer County
NY,9.4,Richmond County
NY,7.5,Rockland County
NY,10.3,St. Lawrence County
NY,6.9,Saratoga County
NY,7.6,Schenectady County
NY,8.9,Schoharie County
NY,9.1,Schuyler County
NY,8.2,Seneca County
NY,9.6,Steuben County
NY,7.7,Suffolk County
NY,8.9,Sullivan County
NY,8,Tioga County
NY,6.2,Tompkins County
NY,7.8,Ulster County
NY,9,Warren County
NY,8.2,Washington County
NY,8.9,Wayne County
NY,7.4,Westchester County
NY,9.5,Wyoming County
NY,7.4,Yates County
NC,10.9,Alamance County
NC,13.1,Alexander County
NC,12,Alleghany County
NC,14.1,Anson County
NC,11.8,Ashe County
NC,10.8,Avery County
NC,11.7,Beaufort County
NC,11.8,Bertie County
NC,13.3,Bladen County
NC,12.5,Brunswick County
NC,8.6,Buncombe County
NC,12.9,Burke County
NC,11.5,Cabarrus County
NC,14.8,Caldwell County
NC,8.4,Camden County
NC,9.6,Carteret County
NC,13.2,Caswell County
NC,13.1,Catawba County
NC,8.6,Chatham County
NC,12.9,Cherokee County
NC,12,Chowan County
NC,12.5,Clay County
NC,14.8,Cleveland County
NC,13.4,Columbus County
NC,10.7,Craven County
NC,10.1,Cumberland County
NC,8.9,Currituck County
NC,12.1,Dare County
NC,12.3,Davidson County
NC,11.7,Davie County
NC,9.3,Duplin County
NC,8.2,Durham County
NC,15.7,Edgecombe County
NC,10.1,Forsyth County
NC,10.9,Franklin County
NC,13.5,Gaston County
NC,8,Gates County
NC,17.6,Graham County
NC,9.7,Granville County
NC,10.1,Greene County
NC,11.1,Guilford County
NC,14.7,Halifax County
NC,11.3,Harnett County
NC,10.3,Haywood County
NC,9.1,Henderson County
NC,10.6,Hertford County
NC,10.1,Hoke County
NC,11.1,Hyde County
NC,12.9,Iredell County
NC,10.9,Jackson County
NC,9.9,Johnston County
NC,11.2,Jones County
NC,12.8,Lee County
NC,11.9,Lenoir County
NC,12.7,Lincoln County
NC,13.3,McDowell County
NC,11.5,Macon County
NC,10.4,Madison County
NC,12.7,Martin County
NC,10.7,Mecklenburg County
NC,12.4,Mitchell County
NC,12.3,Montgomery County
NC,10.1,Moore County
NC,12.6,Nash County
NC,9.7,New Hanover County
NC,11.6,Northampton County
NC,8.3,Onslow County
NC,6.6,Orange County
NC,10.2,Pamlico County
NC,10,Pasquotank County
NC,11.4,Pender County
NC,10.6,Perquimans County
NC,12.4,Person County
NC,10.2,Pitt County
NC,10.2,Polk County
NC,12,Randolph County
NC,14.9,Richmond County
NC,13.7,Robeson County
NC,13.2,Rockingham County
NC,14.1,Rowan County
NC,16.7,Rutherford County
NC,9.7,Sampson County
NC,17.6,Scotland County
NC,13.2,Stanly County
NC,11.4,Stokes County
NC,12,Surry County
NC,14.7,Swain County
NC,9.8,Transylvania County
NC,14.8,Tyrrell County
NC,10,Union County
NC,14.1,Vance County
NC,8.3,Wake County
NC,13.7,Warren County
NC,14.3,Washington County
NC,7.8,Watauga County
NC,9.2,Wayne County
NC,13.4,Wilkes County
NC,13.9,Wilson County
NC,11,Yadkin County
NC,11.9,Yancey County
ND,2.9,Adams County
ND,4.5,Barnes County
ND,5.4,Benson County
ND,3.3,Billings County
ND,4,Bottineau County
ND,2.6,Bowman County
ND,2.7,Burke County
ND,3.6,Burleigh County
ND,3.5,Cass County
ND,3.1,Cavalier County
ND,3.2,Dickey County
ND,2.1,Divide County
ND,3.2,Dunn County
ND,4.8,Eddy County
ND,6.9,Emmons County
ND,3.4,Foster County
ND,2.6,Golden Valley County
ND,3.5,Grand Forks County
ND,3.7,Grant County
ND,3,Griggs County
ND,3,Hettinger County
ND,5.3,Kidder County
ND,3.5,LaMoure County
ND,3.6,Logan County
ND,4.8,McHenry County
ND,4.4,McIntosh County
ND,2.2,McKenzie County
ND,5,McLean County
ND,5.2,Mercer County
ND,4.6,Morton County
ND,2.6,Mountrail County
ND,4,Nelson County
ND,5.7,Oliver County
ND,6.4,Pembina County
ND,5.3,Pierce County
ND,3.8,Ramsey County
ND,4.6,Ransom County
ND,2.8,Renville County
ND,3.8,Richland County
ND,10.9,Rolette County
ND,4.3,Sargent County
ND,3.9,Sheridan County
ND,5.1,Sioux County
ND,2.3,Slope County
ND,2.8,Stark County
ND,2.7,Steele County
ND,4.1,Stutsman County
ND,2.7,Towner County
ND,3.7,Traill County
ND,5.1,Walsh County
ND,3.5,Ward County
ND,4,Wells County
ND,2.2,Williams County
OH,15.9,Adams County
OH,10.7,Allen County
OH,11.9,Ashland County
OH,12.9,Ashtabula County
OH,10.6,Athens County
OH,10,Auglaize County
OH,11.3,Belmont County
OH,13.3,Brown County
OH,10,Butler County
OH,13,Carroll County
OH,11.5,Champaign County
OH,11,Clark County
OH,10.4,Clermont County
OH,17,Clinton County
OH,12.6,Columbiana County
OH,12.7,Coshocton County
OH,12.9,Crawford County
OH,8.5,Cuyahoga County
OH,11.2,Darke County
OH,12.2,Defiance County
OH,7.2,Delaware County
OH,11.3,Erie County
OH,9.2,Fairfield County
OH,13.1,Fayette County
OH,8.9,Franklin County
OH,11.8,Fulton County
OH,11.8,Gallia County
OH,6.9,Geauga County
OH,9.5,Greene County
OH,12.7,Guernsey County
OH,9.9,Hamilton County
OH,9.1,Hancock County
OH,11.2,Hardin County
OH,12.5,Harrison County
OH,13.1,Henry County
OH,17.3,Highland County
OH,11.7,Hocking County
OH,7.6,Holmes County
OH,13.2,Huron County
OH,12.5,Jackson County
OH,14.5,Jefferson County
OH,9.7,Knox County
OH,7.9,Lake County
OH,10.3,Lawrence County
OH,9.6,Licking County
OH,11.8,Logan County
OH,9.1,Lorain County
OH,11.5,Lucas County
OH,9,Madison County
OH,11.7,Mahoning County
OH,11,Marion County
OH,7.4,Medina County
OH,14.6,Meigs County
OH,8.5,Mercer County
OH,11.1,Miami County
OH,12.2,Monroe County
OH,11.4,Montgomery County
OH,13.3,Morgan County
OH,11.4,Morrow County
OH,12.6,Muskingum County
OH,16,Noble County
OH,12.3,Ottawa County
OH,12.6,Paulding County
OH,13.4,Perry County
OH,10.6,Pickaway County
OH,14.8,Pike County
OH,10.3,Portage County
OH,11,Preble County
OH,9.3,Putnam County
OH,12.1,Richland County
OH,11.9,Ross County
OH,10.8,Sandusky County
OH,13.3,Scioto County
OH,11.9,Seneca County
OH,12.4,Shelby County
OH,11.3,Stark County
OH,10.6,Summit County
OH,13.2,Trumbull County
OH,11.2,Tuscarawas County
OH,8.4,Union County
OH,12.1,Van Wert County
OH,13.5,Vinton County
OH,9,Warren County
OH,11.4,Washington County
OH,9.3,Wayne County
OH,13.2,Williams County
OH,9.9,Wood County
OH,11.1,Wyandot County
OK,10.5,Adair County
OK,4.9,Alfalfa County
OK,10,Atoka County
OK,4,Beaver County
OK,5.8,Beckham County
OK,6.4,Blaine County
OK,6.2,Bryan County
OK,6.9,Caddo County
OK,5.2,Canadian County
OK,7.1,Carter County
OK,7.7,Cherokee County
OK,9.1,Choctaw County
OK,3.5,Cimarron County
OK,5.3,Cleveland County
OK,9.1,Coal County
OK,5.8,Comanche County
