State,Unemployment_rate_2010,Counties
CA,15.2,Tuolumne County
CA,10.8,Ventura County
CA,12.1,Yolo County
CA,17.8,Yuba County
CO,10,Adams County
CO,9,Alamosa County
CO,8.6,Arapahoe County
CO,10.6,Archuleta County
CO,4.9,Baca County
CO,8.1,Bent County
CO,7,Boulder County
CO,7.4,Broomfield County/city
CO,7.7,Chaffee County
CO,4.1,Cheyenne County
CO,8.1,Clear Creek County
CO,9.6,Conejos County
CO,10.6,Costilla County
CO,9.1,Crowley County
CO,6.6,Custer County
CO,10.7,Delta County
CO,9.1,Denver County/city
CO,17.7,Dolores County
CO,7,Douglas County
CO,8.5,Eagle County
CO,8.1,Elbert County
CO,9.3,El Paso County
CO,11.7,Fremont County
CO,10.3,Garfield County
CO,8,Gilpin County
CO,8.8,Grand County
CO,6.4,Gunnison County
CO,5.7,Hinsdale County
CO,14,Huerfano County
CO,8.8,Jackson County
CO,8.4,Jefferson County
CO,6.4,Kiowa County
CO,4.5,Kit Carson County
CO,11,Lake County
CO,7.1,La Plata County
CO,7.6,Larimer County
CO,10.6,Las Animas County
CO,6,Lincoln County
CO,6.3,Logan County
CO,11,Mesa County
CO,7,Mineral County
CO,9.9,Moffat County
CO,9.1,Montezuma County
CO,11,Montrose County
CO,7,Morgan County
CO,9.2,Otero County
CO,9.8,Ouray County
CO,8.1,Park County
CO,5.3,Phillips County
CO,8.1,Pitkin County
CO,7,Prowers County
CO,10.4,Pueblo County
CO,8.9,Rio Blanco County
CO,10.6,Rio Grande County
CO,9.3,Routt County
CO,10.1,Saguache County
CO,12.5,San Juan County
CO,7.8,San Miguel County
CO,7.4,Sedgwick County
CO,6.7,Summit County
CO,9.4,Teller County
CO,5.9,Washington County
CO,9.2,Weld County
CO,5.6,Yuma County
CT,8.4,Fairfield County
CT,9.5,Hartford County
CT,8.7,Litchfield County
CT,7.9,Middlesex County
CT,10,New Haven County
CT,8.9,New London County
CT,7.8,Tolland County
CT,10.3,Windham County
DE,8.9,Kent County
DE,8.3,New Castle County
DE,8.5,Sussex County
DC,9.4,District of Colu
FL,8,Alachua County
FL,11.3,Baker County
FL,10.5,Bay County
FL,9.9,Bradford County
FL,11.3,Brevard County
FL,10.2,Broward County
FL,10.1,Calhoun County
FL,12.7,Charlotte County
FL,13.7,Citrus County
FL,9.9,Clay County
FL,11.6,Collier County
FL,10.8,Columbia County
FL,12.2,DeSoto County
FL,12.9,Dixie County
FL,11.4,Duval County
FL,10.1,Escambia County
FL,12.4,Flagler County
FL,8,Franklin County
FL,11.8,Gadsden County
FL,10.8,Gilchrist County
FL,9.5,Glades County
FL,10.3,Gulf County
FL,11.4,Hamilton County
FL,11.5,Hardee County
FL,14,Hendry County
FL,13.5,Hernando County
FL,12.5,Highlands County
FL,10.7,Hillsborough County
FL,10.4,Holmes County
FL,13.9,Indian River County
FL,9.1,Jackson County
FL,9.9,Jefferson County
FL,7.3,Lafayette County
FL,11.8,Lake County
FL,12.5,Lee County
FL,7.9,Leon County
FL,11.9,Levy County
FL,8.8,Liberty County
FL,10,Madison County
FL,11.4,Manatee County
FL,13.6,Marion County
FL,10.8,Martin County
FL,11.1,Miami-Dade County
FL,7.8,Monroe County
FL,10.6,Nassau County
FL,8.4,Okaloosa County
FL,12.6,Okeechobee County
FL,10.8,Orange County
FL,12.5,Osceola County
FL,11,Palm Beach County
FL,11.9,Pasco County
FL,10.8,Pinellas County
FL,12.1,Polk County
FL,13.4,Putnam County
FL,8.7,St. Johns County
FL,13.8,St. Lucie County
FL,9.3,Santa Rosa County
FL,11.6,Sarasota County
FL,10.6,Seminole County
FL,13.3,Sumter County
FL,9.8,Suwannee County
FL,10.6,Taylor County
FL,8.5,Union County
FL,12.3,Volusia County
FL,8.4,Wakulla County
FL,9.4,Walton County
FL,10.6,Washington County
GA,11.8,Appling County
GA,15.2,Atkinson County
GA,10.6,Bacon County
GA,12.1,Baker County
GA,15.4,Baldwin County
GA,9.7,Banks County
GA,10.8,Barrow County
GA,12.2,Bartow County
GA,15.9,Ben Hill County
GA,13,Berrien County
GA,11.6,Bibb County
GA,12.5,Bleckley County
GA,12.7,Brantley County
GA,9.6,Brooks County
GA,9.6,Bryan County
GA,10.1,Bulloch County
GA,12.2,Burke County
GA,11.5,Butts County
GA,8.8,Calhoun County
GA,9.9,Camden County
GA,8.8,Candler County
GA,11.7,Carroll County
GA,8.6,Catoosa County
GA,10.6,Charlton County
GA,9.9,Chatham County
GA,10.9,Chattahoochee County
GA,11.7,Chattooga County
GA,8.8,Cherokee County
GA,9.3,Clarke County
GA,11.6,Clay County
GA,13.5,Clayton County
GA,11.1,Clinch County
GA,9.3,Cobb County
GA,15.8,Coffee County
GA,9.7,Colquitt County
GA,7.3,Columbia County
GA,11.7,Cook County
GA,9.7,Coweta County
GA,11.4,Crawford County
GA,14.2,Crisp County
GA,8.7,Dade County
GA,10.9,Dawson County
GA,12.4,Decatur County
GA,10.8,DeKalb County
GA,13,Dodge County
GA,11.6,Dooly County
GA,12.6,Dougherty County
GA,11.2,Douglas County
GA,11.7,Early County
GA,8.2,Echols County
GA,9.6,Effingham County
GA,14.9,Elbert County
GA,12.9,Emanuel County
GA,9.1,Evans County
GA,11.7,Fannin County
GA,8.2,Fayette County
GA,11.8,Floyd County
GA,8,Forsyth County
GA,12.7,Franklin County
GA,10.5,Fulton County
GA,11.3,Gilmer County
GA,11,Glascock County
GA,10,Glynn County
GA,12.7,Gordon County
GA,10.5,Grady County
GA,13.2,Greene County
GA,9.2,Gwinnett County
GA,10.7,Habersham County
GA,9.6,Hall County
GA,22.9,Hancock County
GA,12.3,Haralson County
GA,7.7,Harris County
GA,11.5,Hart County
GA,12.1,Heard County
GA,10.3,Henry County
GA,8.5,Houston County
GA,14.7,Irwin County
GA,10.5,Jackson County
GA,11.7,Jasper County
GA,12.8,Jeff Davis County
GA,14.1,Jefferson County
GA,15.2,Jenkins County
GA,10.8,Johnson County
GA,9.7,Jones County
GA,14.2,Lamar County
GA,10.5,Lanier County
GA,13.2,Laurens County
GA,9,Lee County
GA,9,Liberty County
GA,11.5,Lincoln County
GA,8.4,Long County
GA,9.6,Lowndes County
GA,10.4,Lumpkin County
GA,13.2,McDuffie County
GA,10.6,McIntosh County
GA,13.2,Macon County
GA,10.4,Madison County
GA,10.7,Marion County
GA,13.7,Meriwether County
GA,10.4,Miller County
GA,10.8,Mitchell County
GA,10.2,Monroe County
GA,12,Montgomery County
GA,10.4,Morgan County
GA,13.8,Murray County
GA,10.1,Muscogee County
GA,12.7,Newton County
GA,7.1,Oconee County
GA,9.6,Oglethorpe County
GA,10,Paulding County
GA,12.1,Peach County
GA,11,Pickens County
GA,10.4,Pierce County
GA,10.7,Pike County
GA,12,Polk County
GA,9.2,Pulaski County
GA,12.9,Putnam County
GA,10,Quitman County
GA,11.8,Rabun County
GA,12.2,Randolph County
GA,11,Richmond County
GA,11.3,Rockdale County
GA,12.1,Schley County
GA,17,Screven County
GA,12.5,Seminole County
GA,14.9,Spalding County
GA,12.3,Stephens County
GA,10.3,Stewart County
GA,13.3,Sumter County
GA,10.1,Talbot County
GA,18,Taliaferro County
GA,9.1,Tattnall County
GA,14.5,Taylor County
GA,14.7,Telfair County
GA,12.2,Terrell County
GA,11.2,Thomas County
GA,12,Tift County
GA,12.3,Toombs County
GA,12.9,Towns County
GA,12.1,Treutlen County
GA,11.5,Troup County
GA,16.6,Turner County
GA,15.5,Twiggs County
GA,11,Union County
GA,12.2,Upson County
GA,10.3,Walker County
GA,10.6,Walton County
GA,11,Ware County
GA,17.2,Warren County
GA,14.5,Washington County
GA,12,Wayne County
GA,12.8,Webster County
GA,15.1,Wheeler County
GA,10.2,White County
GA,11.9,Whitfield County
GA,12.4,Wilcox County
GA,13.2,Wilkes County
GA,14,Wilkinson County
GA,12.1,Worth County
HI,9.9,Hawaii County
HI,6,Honolulu County/city
HI,8.8,Kauai County
HI,8.5,Maui County
ID,8.3,Ada County
ID,18.5,Adams County
ID,8,Bannock County
ID,7.4,Bear Lake County
ID,13.6,Benewah County
ID,7.2,Bingham County
ID,9.6,Blaine County
ID,10.6,Boise County
ID,12.9,Bonner County
ID,7,Bonneville County
ID,13.4,Boundary County
ID,7.2,Butte County
ID,12.8,Camas County
ID,11.3,Canyon County
ID,7.8,Caribou County
ID,7.1,Cassia County
ID,9.3,Clark County
ID,14.6,Clearwater County
ID,8.2,Custer County
ID,8.6,Elmore County
ID,5.3,Franklin County
ID,8.7,Fremont County
ID,11.4,Gem County
ID,7.5,Gooding County
ID,12.5,Idaho County
ID,7.1,Jefferson County
ID,8,Jerome County
ID,10.9,Kootenai County
ID,6.6,Latah County
ID,10.2,Lemhi County
ID,6.7,Lewis County
ID,13.1,Lincoln County
ID,5.4,Madison County
ID,7.4,Minidoka County
ID,6.7,Nez Perce County
ID,6,Oneida County
ID,4.2,Owyhee County
ID,9.7,Payette County
ID,9.2,Power County
ID,15.9,Shoshone County
ID,7.9,Teton County
ID,8.5,Twin Falls County
ID,15.7,Valley County
ID,10.3,Washington County
IL,7.7,Adams County
IL,11.7,Alexander County
IL,10,Bond County
IL,13.8,Boone County
IL,7,Brown County
IL,10.8,Bureau County
IL,10,Calhoun County
IL,10.4,Carroll County
IL,8.3,Cass County
IL,8.2,Champaign County
IL,10.1,Christian County
IL,11.7,Clark County
IL,11.3,Clay County
IL,7.3,Clinton County
IL,9.8,Coles County
IL,10.9,Cook County
IL,8.5,Crawford County
IL,9.2,Cumberland County
IL,10.5,DeKalb County
IL,8.7,De Witt County
IL,8.8,Douglas County
IL,8.9,DuPage County
IL,11.2,Edgar County
IL,8.7,Edwards County
IL,7.9,Effingham County
IL,10.1,Fayette County
IL,9.4,Ford County
IL,12.3,Franklin County
IL,11.7,Fulton County
IL,9.6,Gallatin County
IL,9.3,Greene County
IL,13.3,Grundy County
IL,9.4,Hamilton County
IL,10.6,Hancock County
IL,10.8,Hardin County
IL,9.3,Henderson County
IL,9.1,Henry County
IL,10.1,Iroquois County
IL,8.2,Jackson County
IL,8.9,Jasper County
IL,10.2,Jefferson County
IL,9.2,Jersey County
IL,8.9,Jo Daviess County
IL,12.5,Johnson County
IL,11,Kane County
IL,12.3,Kankakee County
IL,10.1,Kendall County
IL,9.6,Knox County
IL,9.8,Lake County
IL,12,LaSalle County
IL,10.7,Lawrence County
IL,10,Lee County
IL,10,Livingston County
IL,8.7,Logan County
IL,8.5,McDonough County
IL,10.5,McHenry County
IL,7.1,McLean County
IL,11.2,Macon County
IL,10.3,Macoupin County
IL,9.8,Madison County
IL,10.8,Marion County
IL,10.3,Marshall County
IL,12.2,Mason County
IL,9.5,Massac County
IL,7.5,Menard County
IL,10,Mercer County
IL,7.3,Monroe County
IL,12.3,Montgomery County
IL,8.4,Morgan County
IL,8.5,Moultrie County
IL,12.4,Ogle County
IL,10.5,Peoria County
IL,11,Perry County
IL,7.8,Piatt County
IL,9,Pike County
IL,9.4,Pope County
IL,12.4,Pulaski County
IL,12,Putnam County
IL,8.8,Randolph County
IL,8.9,Richland County
IL,9.5,Rock Island County
IL,10.3,St. Clair County
IL,10.2,Saline County
IL,7.7,Sangamon County
IL,8.2,Schuyler County
IL,8.7,Scott County
IL,9.7,Shelby County
IL,9.7,Stark County
IL,11.1,Stephenson County
IL,9.9,Tazewell County
IL,12,Union County
IL,11.4,Vermilion County
IL,9.8,Wabash County
IL,7.8,Warren County
IL,7.2,Washington County
IL,8.9,Wayne County
IL,8.5,White County
IL,10.3,Whiteside County
IL,11.1,Will County
IL,9.7,Williamson County
IL,14,Winnebago County
IL,7.7,Woodford County
IN,10.1,Adams County
IN,10.7,Allen County
IN,9.5,Bartholomew County
IN,9.2,Benton County
IN,14.4,Blackford County
IN,7.6,Boone County
IN,10.4,Brown County
IN,9.9,Carroll County
IN,10.8,Cass County
IN,9.5,Clark County
IN,11.1,Clay County
IN,10.1,Clinton County
IN,12.9,Crawford County
IN,6.5,Daviess County
IN,10.9,Dearborn County
IN,11.6,Decatur County
IN,11.9,DeKalb County
IN,11.6,Delaware County
IN,7.5,Dubois County
IN,13.3,Elkhart County
IN,14.6,Fayette County
IN,8.9,Floyd County
IN,11.8,Fountain County
IN,11.5,Franklin County
IN,11.4,Fulton County
IN,8,Gibson County
IN,11.6,Grant County
IN,10.7,Greene County
IN,6.7,Hamilton County
IN,9.3,Hancock County
IN,9.9,Harrison County
IN,7.9,Hendricks County
IN,13.9,Henry County
IN,12.6,Howard County
IN,11.9,Huntington County
IN,10.5,Jackson County
IN,10.4,Jasper County
IN,10.7,Jay County
IN,11.3,Jefferson County
IN,12.9,Jennings County
IN,8.8,Johnson County
IN,8.2,Knox County
IN,11,Kosciusko County
IN,12,LaGrange County
IN,10.8,Lake County
IN,12,LaPorte County
IN,12.7,Lawrence County
IN,12.1,Madison County
IN,10.5,Marion County
IN,11.3,Marshall County
IN,7.5,Martin County
IN,12.5,Miami County
IN,7.9,Monroe County
IN,10.2,Montgomery County
IN,10.4,Morgan County
IN,11.3,Newton County
IN,13.2,Noble County
IN,11.1,Ohio County
IN,12.8,Orange County
IN,11.5,Owen County
IN,10.9,Parke County
IN,10.6,Perry County
IN,9.5,Pike County
IN,9.5,Porter County
IN,7.8,Posey County
IN,10,Pulaski County
IN,11.6,Putnam County
IN,11.8,Randolph County
IN,11.2,Ripley County
IN,11.1,Rush County
IN,11.6,St. Joseph County
IN,13.2,Scott County
IN,11,Shelby County
IN,8.8,Spencer County
IN,13.3,Starke County
IN,11.1,Steuben County
IN,10.1,Sullivan County
IN,9.3,Switzerland County
IN,8.9,Tippecanoe County
IN,10.3,Tipton County
IN,10.3,Union County
IN,8.9,Vanderburgh County
IN,12.9,Vermillion County
IN,11.2,Vigo County
IN,11.4,Wabash County
IN,10.5,Warren County
IN,8,Warrick County
IN,12.2,Washington County
IN,12.8,Wayne County
IN,9.8,Wells County
IN,10.5,White County
IN,11.5,Whitley County
IA,5.5,Adair County
IA,4.8,Adams County
IA,7.8,Allamakee County
IA,7.3,Appanoose County
IA,5.6,Audubon County
IA,6.2,Benton County
IA,6.2,Black Hawk County
IA,5.7,Boone County
IA,4.9,Bremer County
IA,6,Buchanan County
IA,4.7,Buena Vista County
IA,6,Butler County
IA,6,Calhoun County
IA,4.3,Carroll County
IA,6.3,Cass County
IA,5.4,Cedar County
IA,6.8,Cerro Gordo County
IA,4.5,Cherokee County
IA,7.4,Chickasaw County
IA,7.7,Clarke County
IA,5.9,Clay County
IA,7.1,Clayton County
IA,7,Clinton County
IA,4.7,Crawford County
IA,4.6,Dallas County
IA,7.1,Davis County
IA,6.1,Decatur County
IA,6.1,Delaware County
IA,7.4,Des Moines County
IA,6.8,Dickinson County
IA,5.8,Dubuque County
IA,7,Emmet County
IA,7.1,Fayette County
IA,7.2,Floyd County
IA,6.2,Franklin County
IA,5.9,Fremont County
IA,5.9,Greene County
IA,5.7,Grundy County
IA,6.5,Guthrie County
IA,7.3,Hamilton County
IA,6.6,Hancock County
IA,6.5,Hardin County
IA,5.6,Harrison County
IA,8.3,Henry County
IA,6.3,Howard County
IA,5.2,Humboldt County
IA,5.1,Ida County
IA,5.5,Iowa County
IA,7.1,Jackson County
IA,7.3,Jasper County
IA,7.1,Jefferson County
IA,4.2,Johnson County
IA,6.4,Jones County
IA,6.5,Keokuk County
IA,5.1,Kossuth County
IA,8.9,Lee County
IA,6,Linn County
IA,7.3,Louisa County
IA,6.1,Lucas County
IA,3.9,Lyon County
IA,6.4,Madison County
IA,6.7,Mahaska County
IA,5.9,Marion County
IA,6.8,Marshall County
IA,5.2,Mills County
