Total SNAP,Life Expectancy,County,Percent Smokers,State,Percent Obese,Unemployment_rate_2010,min_wage
1283,77.0,Fannin County,26.2,Georgia,29,11.7,7.25
2173,80.82,Fayette County,16.9,Georgia,25,8.2,7.25
136,75.81,Floyd County,26.3,Georgia,27.4,11.8,7.25
462,81.13,Forsyth County,16.0,Georgia,21.9,8.0,7.25
362,75.12,Franklin County,25.5,Georgia,26.5,12.7,7.25
1656,76.99,Fulton County,16.6,Georgia,22.9,10.5,7.25
3660,78.23,Gilmer County,26.5,Georgia,29.1,11.3,7.25
629,74.58,Glascock County,26.2,Georgia,28.6,11.0,7.25
3439,76.54,Glynn County,22.7,Georgia,28.2,10.0,7.25
8276,75.72,Gordon County,27.6,Georgia,28.5,12.7,7.25
3363,75.71,Grady County,25.2,Georgia,32.3,10.5,7.25
6173,76.43,Greene County,23.9,Georgia,31.9,13.2,7.25
11010,80.26,Gwinnett County,16.9,Georgia,25.3,9.2,7.25
8666,78.24,Habersham County,23.7,Georgia,27.6,10.7,7.25
11476,78.59,Hall County,21.2,Georgia,29,9.6,7.25
16313,75.08,Hancock County,27.4,Georgia,38.7,22.9,7.25
40142,73.93,Haralson County,28.9,Georgia,31.6,12.3,7.25
1645,78.57,Harris County,20.0,Georgia,28.2,7.7,7.25
85390,76.95,Hart County,24.3,Georgia,28.4,11.5,7.25
44079,75.0,Heard County,30.1,Georgia,28.9,12.1,7.25
47980,77.32,Henry County,21.1,Georgia,28.5,10.3,7.25
6669,77.54,Houston County,22.4,Georgia,29.9,8.5,7.25
81669,75.51,Irwin County,28.5,Georgia,31,14.7,7.25
3615,75.76,Jackson County,22.8,Georgia,26.4,10.5,7.25
677399,76.17,Jasper County,25.4,Georgia,29.8,11.7,7.25
54010,73.71,Jeff Davis County,25.3,Georgia,28.5,12.8,7.25
116682,73.24,Jefferson County,26.1,Georgia,37.8,14.1,7.25
57406,74.17,Jenkins County,26.2,Georgia,31.9,15.2,7.25
239099,75.81,Johnson County,27.1,Georgia,32.5,10.8,7.25
60632,77.92,Jones County,23.0,Georgia,31,9.7,7.25
9467,74.66,Lamar County,26.0,Georgia,33.2,14.2,7.25
55293,75.21,Lanier County,27.2,Georgia,29.2,10.5,7.25
9832,74.97,Laurens County,23.8,Georgia,35.2,13.2,7.25
118887,77.8,Lee County,24.7,Georgia,30.8,9.0,7.25
383983,76.58,Liberty County,22.8,Georgia,33.1,9.0,7.25
4739,75.72,Lincoln County,25.8,Georgia,35.4,11.5,7.25
33733,76.79,Long County,24.8,Georgia,30.5,8.4,7.25
38363,75.8,Lowndes County,25.0,Georgia,31.3,9.6,7.25
37485,77.67,Lumpkin County,21.3,Georgia,28.8,10.4,7.25
63279,73.79,Macon County,28.8,Georgia,34.2,13.2,7.25
25797,75.64,Madison County,26.2,Georgia,31.7,10.4,7.25
991426,75.48,Marion County,29.2,Georgia,31.9,10.7,7.25
284640,74.79,Meriwether County,28.3,Georgia,32.3,13.7,7.25
104318,75.4,Miller County,25.7,Georgia,31.6,10.4,7.25
22422,75.04,Mitchell County,28.2,Georgia,31.3,10.8,7.25
3251,76.94,Monroe County,24.1,Georgia,32.6,10.2,7.25
22460,75.82,Montgomery County,23.6,Georgia,32.7,12.0,7.25
5632,77.31,Morgan County,22.2,Georgia,31.5,10.4,7.25
4274,75.19,Murray County,29.6,Georgia,27.7,13.8,7.25
6234,74.75,Muscogee County,25.3,Georgia,35.8,10.1,7.25
11640,75.97,Newton County,23.8,Georgia,31.7,12.7,7.25
20282,80.2,Oconee County,15.9,Georgia,26.7,7.1,7.25
51998,77.95,Oglethorpe County,23.7,Georgia,28.9,9.6,7.25
29240,78.11,Paulding County,23.4,Georgia,25.6,10.0,7.25
407329,73.82,Peach County,24.1,Georgia,33.7,12.1,7.25
9332,77.27,Pickens County,24.8,Georgia,25.9,11.0,7.25
30482,74.64,Pierce County,26.1,Georgia,30.6,10.4,7.25
15199,76.01,Pike County,23.7,Georgia,31.3,10.7,7.25
4622,73.83,Polk County,27.7,Georgia,26.4,12.0,7.25
1837,76.47,Pulaski County,29.2,Georgia,30.7,9.2,7.25
74880,77.06,Putnam County,22.7,Georgia,32.3,12.9,7.25
155971,75.66,Quitman County,29.1,Georgia,31.2,10.0,7.25
60567,77.56,Rabun County,22.5,Georgia,29.2,11.8,7.25
14651,74.68,Randolph County,25.8,Georgia,36.5,12.2,7.25
2257,73.79,Richmond County,25.9,Georgia,33,11.0,7.25
8253,77.97,Rockdale County,19.9,Georgia,33.1,11.3,7.25
79655,76.16,Schley County,26.1,Georgia,29,12.1,7.25
111756,74.38,Screven County,26.2,Georgia,33.8,17.0,7.25
22732,74.9,Seminole County,25.0,Georgia,32.2,12.5,7.25
13677,74.7,Spalding County,26.6,Georgia,34,14.9,7.25
15779,74.85,Stephens County,26.2,Georgia,31.7,12.3,7.25
33920,74.37,Stewart County,28.3,Georgia,34.6,10.3,7.25
14760,74.92,Sumter County,24.8,Georgia,37.2,13.3,7.25
316347,74.24,Talbot County,26.0,Georgia,34.8,10.1,7.25
103623,75.21,Taliaferro County,27.1,Georgia,35.2,18.0,7.25
241743,74.85,Tattnall County,26.7,Georgia,31.5,9.1,7.25
125654,74.45,Taylor County,27.2,Georgia,33,14.5,7.25
227993,75.72,Telfair County,26.4,Georgia,30.6,14.7,7.25
200813,74.03,Terrell County,28.1,Georgia,38.6,12.2,7.25
38376,75.27,Thomas County,26.1,Georgia,32.6,11.2,7.25
25415,75.46,Tift County,25.9,Georgia,32,12.0,7.25
81351,74.41,Toombs County,23.5,Georgia,33.6,12.3,7.25
29051,78.38,Towns County,22.9,Georgia,27.4,12.9,7.25
72754,75.02,Treutlen County,28.1,Georgia,34.8,12.1,7.25
70124,74.93,Troup County,25.7,Georgia,30.9,11.5,7.25
16730,74.1,Turner County,28.3,Georgia,32.6,16.6,7.25
16103,74.59,Twiggs County,26.7,Georgia,32,15.5,7.25
8731,78.39,Union County,22.4,Georgia,26.6,11.0,7.25
5065,73.89,Upson County,28.3,Georgia,34.4,12.2,7.25
144420,75.25,Walker County,28.0,Georgia,32,10.3,7.25
7037,76.38,Walton County,23.4,Georgia,28.3,10.6,7.25
10505,74.35,Ware County,26.3,Georgia,34.1,11.0,7.25
8718,74.21,Warren County,28.0,Georgia,37.2,17.2,7.25
7863,74.96,Washington County,26.9,Georgia,34.7,14.5,7.25
4622,74.91,Wayne County,26.5,Georgia,33.4,12.0,7.25
4061,77.67,Webster County,24.8,Georgia,31.1,12.8,7.25
2119,76.51,Wheeler County,27.9,Georgia,31.6,15.1,7.25
17577,78.17,White County,22.0,Georgia,28.6,10.2,7.25
6096,76.81,Whitfield County,25.6,Georgia,28.4,11.9,7.25
20759,74.92,Wilcox County,28.3,Georgia,31,12.4,7.25
36733,74.73,Wilkes County,27.8,Georgia,32.7,13.2,7.25
10872,74.84,Wilkinson County,25.5,Georgia,32.1,14.0,7.25
9034,76.59,Worth County,28.3,Georgia,31.6,12.1,7.25
82203,80.18,Hawaii County,22.0,Hawaii,24.1,9.9,7.25
7916,80.8,Kauai County,20.2,Hawaii,21.7,8.8,7.25
20124,80.71,Ada County,17.8,Idaho,23.5,8.3,7.25
13927,80.42,Adams County,22.9,Idaho,27.3,18.5,7.25
20793,78.09,Bannock County,20.0,Idaho,29.2,8.0,7.25
20346,78.6,Bear Lake County,19.0,Idaho,26.6,7.4,7.25
27212,76.78,Benewah County,27.2,Idaho,26.6,13.6,7.25
9356,78.52,Bingham County,19.2,Idaho,33.7,7.2,7.25
3013,82.64,Blaine County,13.8,Idaho,18.4,9.6,7.25
13878,80.74,Boise County,21.8,Idaho,25.8,10.6,7.25
65213,79.2,Bonner County,23.6,Idaho,23.7,12.9,7.25
7614,79.01,Bonneville County,16.1,Idaho,28.4,7.0,7.25
60598,78.35,Boundary County,27.5,Idaho,25.6,13.4,7.25
111933,78.54,Butte County,21.1,Idaho,30,7.2,7.25
54334,80.82,Camas County,22.5,Idaho,25.6,12.8,7.25
8053,78.94,Canyon County,21.7,Idaho,30,11.3,7.25
59388,78.74,Caribou County,20.3,Idaho,24.7,7.8,7.25
1789,78.81,Cassia County,19.4,Idaho,30.8,7.1,7.25
5230,78.14,Clark County,22.2,Idaho,29,9.3,7.25
42454,78.58,Clearwater County,26.4,Idaho,31.6,14.6,7.25
22509,80.07,Custer County,20.4,Idaho,26.9,8.2,7.25
22987,78.33,Elmore County,22.7,Idaho,29.5,8.6,7.25
27442,80.22,Franklin County,19.3,Idaho,28.2,5.3,7.25
23656,79.73,Fremont County,18.7,Idaho,23.7,8.7,7.25
3711,78.41,Gem County,24.1,Idaho,29.8,11.4,7.25
4189,78.1,Gooding County,23.3,Idaho,30.8,7.5,7.25
8644,79.44,Idaho County,24.7,Idaho,28.1,12.5,7.25
24204,79.99,Jefferson County,16.1,Idaho,27.5,7.1,7.25
4259,78.33,Jerome County,21.1,Idaho,32.3,8.0,7.25
4737,79.45,Kootenai County,23.1,Idaho,24.1,10.9,7.25
9192,80.81,Latah County,16.4,Idaho,24.8,6.6,7.25
28429,79.28,Lemhi County,24.0,Idaho,21.7,10.2,7.25
8484,78.49,Lewis County,23.3,Idaho,29.3,6.7,7.25
8962,78.27,Lincoln County,21.6,Idaho,25.7,13.1,7.25
13417,80.98,Madison County,12.0,Idaho,26,5.4,7.25
19835,78.52,Minidoka County,21.4,Idaho,30.1,7.4,7.25
5865,78.03,Nez Perce County,25.3,Idaho,32.2,6.7,7.25
80130,80.12,Oneida County,19.1,Idaho,31.7,6.0,7.25
43715,78.52,Owyhee County,24.7,Idaho,30.1,4.2,7.25
46308,78.48,Payette County,25.8,Idaho,27.5,9.7,7.25
9893,78.44,Power County,19.3,Idaho,29.9,9.2,7.25
1935,75.96,Shoshone County,27.7,Idaho,30.4,15.9,7.25
10926,81.77,Teton County,13.5,Idaho,25.5,7.9,7.25
27077,78.12,Twin Falls County,23.0,Idaho,25.3,8.5,7.25
16283,81.39,Valley County,19.1,Idaho,25.8,15.7,7.25
16895,78.72,Washington County,26.2,Idaho,28.9,10.3,7.25
17804,78.67,Adams County,23.7,Illinois,30.3,7.7,7.25
7010,74.33,Alexander County,28.9,Illinois,32.7,11.7,7.25
7622,78.71,Bond County,23.7,Illinois,28.9,10.0,7.25
18495,79.74,Boone County,22.6,Illinois,30.6,13.8,7.25
7701,78.89,Brown County,26.8,Illinois,30,7.0,7.25
8313,79.31,Bureau County,24.5,Illinois,31,10.8,7.25
36165,78.82,Calhoun County,23.1,Illinois,29.5,10.0,7.25
2338,78.9,Carroll County,22.2,Illinois,30.5,10.4,7.25
129306,77.36,Cass County,26.0,Illinois,30.3,8.3,7.25
3624,80.29,Champaign County,18.3,Illinois,27.4,8.2,7.25
124079,77.9,Christian County,28.2,Illinois,32.2,10.1,7.25
21476,77.49,Clark County,24.2,Illinois,31.1,11.7,7.25
21215,77.46,Clay County,25.8,Illinois,29.6,11.3,7.25
21583,79.52,Clinton County,23.9,Illinois,28,7.3,7.25
21322,78.11,Coles County,22.8,Illinois,29.4,9.8,7.25
22865,78.44,Cook County,21.9,Illinois,26.2,10.9,7.25
16486,77.72,Crawford County,24.6,Illinois,32.6,8.5,7.25
8573,78.76,Cumberland County,24.3,Illinois,28.7,9.2,7.25
33331,78.12,De Witt County,25.9,Illinois,30.3,8.7,7.25
4885,78.88,Douglas County,25.4,Illinois,30.2,8.8,7.25
4894,77.26,Edgar County,26.8,Illinois,32.5,11.2,7.25
4750,77.51,Edwards County,24.4,Illinois,27.3,8.7,7.25
8259,78.95,Effingham County,22.8,Illinois,27.1,7.9,7.25
8319,78.63,Fayette County,25.4,Illinois,32.2,10.1,7.25
8175,77.51,Ford County,26.3,Illinois,30.7,9.4,7.25
11684,75.36,Franklin County,27.7,Illinois,29.7,12.3,7.25
13616,78.03,Fulton County,25.7,Illinois,30.3,11.7,7.25
4293,75.38,Gallatin County,27.2,Illinois,29.9,9.6,7.25
5514,77.62,Greene County,26.7,Illinois,30.4,9.3,7.25
15769,78.62,Grundy County,24.9,Illinois,34.2,13.3,7.25
235941,77.76,Hamilton County,24.8,Illinois,29.1,9.4,7.25
9280,79.75,Hancock County,23.5,Illinois,28.1,10.6,7.25
5656,75.35,Hardin County,26.2,Illinois,31.1,10.8,7.25
61016,78.61,Henderson County,23.6,Illinois,31.1,9.3,7.25
42078,79.08,Henry County,22.8,Illinois,28.5,9.1,7.25
7466,77.64,Iroquois County,25.9,Illinois,32.4,10.1,7.25
860,78.21,Jackson County,19.0,Illinois,27.9,8.2,7.25
11824,79.05,Jasper County,23.5,Illinois,30,8.9,7.25
8376,77.27,Jefferson County,25.5,Illinois,33,10.2,7.25
11441,78.05,Jersey County,24.2,Illinois,28.4,9.2,7.25
5190,80.74,Jo Daviess County,18.9,Illinois,26.8,8.9,7.25
7436,78.1,Johnson County,25.3,Illinois,28.9,12.5,7.25
12650,80.58,Kane County,18.6,Illinois,26.9,11.0,7.25
9218,77.15,Kankakee County,27.0,Illinois,32.8,12.3,7.25
39622,80.94,Kendall County,17.7,Illinois,28.1,10.1,7.25
12627,77.62,Knox County,26.2,Illinois,32.4,9.6,7.25
6728,80.83,Lake County,17.2,Illinois,25.2,9.8,7.25
37132,76.14,Lawrence County,28.7,Illinois,30.9,10.7,7.25
10137,78.31,Lee County,24.8,Illinois,26.5,10.0,7.25
39004,78.06,Livingston County,27.9,Illinois,30.8,10.0,7.25
35572,78.43,Logan County,27.4,Illinois,32.5,8.7,7.25
65976,77.95,Macon County,26.2,Illinois,32.1,11.2,7.25
38981,78.14,Macoupin County,26.0,Illinois,29.9,10.3,7.25
13400,77.5,Madison County,25.1,Illinois,32,9.8,7.25
9968,76.44,Marion County,27.0,Illinois,32.7,10.8,7.25
40372,78.18,Marshall County,23.5,Illinois,29.8,10.3,7.25
13377,77.32,Mason County,25.9,Illinois,31.6,12.2,7.25
34282,75.89,Massac County,24.7,Illinois,33.8,9.5,7.25
15256,78.57,Menard County,23.5,Illinois,28.9,7.5,7.25
53295,79.41,Mercer County,24.3,Illinois,32.4,10.0,7.25
50956,80.23,Monroe County,20.5,Illinois,29.3,7.3,7.25
88995,77.89,Montgomery County,28.1,Illinois,24.9,12.3,7.25
8712,78.36,Morgan County,25.0,Illinois,29.9,8.4,7.25
12388,78.14,Moultrie County,25.2,Illinois,29.7,8.5,7.25
7402,79.57,Ogle County,22.0,Illinois,27.6,12.4,7.25
11889,78.07,Peoria County,22.2,Illinois,27,10.5,7.25
13344,77.45,Perry County,26.4,Illinois,28.4,11.0,7.25
10725,79.41,Piatt County,21.5,Illinois,30.1,7.8,7.25
12360,78.55,Pike County,26.4,Illinois,29,9.0,7.25
16036,78.04,Pope County,25.3,Illinois,30.7,9.4,7.25
11050,74.77,Pulaski County,25.1,Illinois,33.3,12.4,7.25
15537,79.74,Putnam County,23.7,Illinois,28.8,12.0,7.25
16992,77.8,Randolph County,27.0,Illinois,31.1,8.8,7.25
14373,78.12,Richland County,23.2,Illinois,30.1,8.9,7.25
7606,78.84,Rock Island County,22.5,Illinois,27.3,9.5,7.25
6296,74.87,Saline County,27.1,Illinois,30.4,10.2,7.25
10783,78.29,Sangamon County,23.0,Illinois,30.6,7.7,7.25
12238,78.72,Schuyler County,23.9,Illinois,29.1,8.2,7.25
9619,78.74,Scott County,23.5,Illinois,29.2,8.7,7.25
11925,79.73,Shelby County,23.5,Illinois,29.8,9.7,7.25
15601,78.41,Stark County,23.4,Illinois,31.8,9.7,7.25
10615,79.49,Stephenson County,22.8,Illinois,27.7,11.1,7.25
15102,78.67,Tazewell County,23.0,Illinois,26.8,9.9,7.25
16557,76.63,Union County,25.4,Illinois,31,12.0,7.25
13938,76.49,Vermilion County,29.0,Illinois,29.6,11.4,7.25
12994,78.21,Wabash County,24.1,Illinois,29.9,9.8,7.25
16670,78.47,Warren County,24.7,Illinois,30.4,7.8,7.25
11684,78.92,Washington County,21.8,Illinois,32,7.2,7.25
16171,78.05,Wayne County,25.7,Illinois,29,8.9,7.25
17626,76.87,White County,25.2,Illinois,30.6,8.5,7.25
15007,78.77,Whiteside County,24.3,Illinois,28.2,10.3,7.25
10932,79.76,Will County,21.1,Illinois,33,11.1,7.25
14608,76.9,Williamson County,24.3,Illinois,30.2,9.7,7.25
9622,78.13,Winnebago County,24.5,Illinois,29.1,14.0,7.25
14109,80.29,Woodford County,20.3,Illinois,30.3,7.7,7.25
15564,79.64,Adams County,26.5,Indiana,30.4,10.1,7.25
12945,78.7,Allen County,23.2,Indiana,32.2,10.7,7.25
330653,77.72,Bartholomew County,22.3,Indiana,32,9.5,7.25
8471,78.35,Benton County,26.1,Indiana,32.8,9.2,7.25
1086,76.9,Blackford County,30.8,Indiana,33.5,14.4,7.25
26645,78.79,Boone County,20.2,Indiana,27.8,7.6,7.25
19180,79.36,Brown County,24.0,Indiana,29.4,10.4,7.25
11603,79.67,Carroll County,26.5,Indiana,33.6,9.9,7.25
7404,77.74,Cass County,29.0,Indiana,34.5,10.8,7.25
5724,76.41,Clark County,29.4,Indiana,31.8,9.5,7.25
7765,76.68,Clay County,26.9,Indiana,37.8,11.1,7.25
16394,77.78,Clinton County,27.4,Indiana,29.4,10.1,7.25
5981,76.11,Crawford County,26.6,Indiana,38.4,12.9,7.25
4301,77.29,Daviess County,29.5,Indiana,31.4,6.5,7.25
14971,78.24,Dearborn County,26.8,Indiana,33.9,10.9,7.25
7863,78.09,Decatur County,27.2,Indiana,28.6,11.6,7.25
6183,77.05,Delaware County,28.2,Indiana,33.2,11.6,7.25
8224,78.93,Dubois County,22.6,Indiana,34.1,7.5,7.25
16853,78.88,Elkhart County,24.5,Indiana,29.5,13.3,7.25
16421,75.78,Fayette County,32.1,Indiana,34.4,14.6,7.25
14741,77.29,Floyd County,26.0,Indiana,29.5,8.9,7.25
16782,77.17,Fountain County,29.8,Indiana,30.6,11.8,7.25
25411,78.97,Franklin County,25.3,Indiana,28.6,11.5,7.25
172683,76.93,Fulton County,26.1,Indiana,31.6,11.4,7.25
10827,78.26,Gibson County,25.1,Indiana,29.2,8.0,7.25
50085,76.37,Grant County,28.0,Indiana,31.7,11.6,7.25
4840,76.85,Greene County,28.7,Indiana,33.1,10.7,7.25
4565,81.36,Hamilton County,15.5,Indiana,22,6.7,7.25
3614,78.57,Hancock County,24.4,Indiana,28.8,9.3,7.25
4971,77.92,Harrison County,24.5,Indiana,31,9.9,7.25
4569,79.91,Hendricks County,21.5,Indiana,31.8,7.9,7.25
4294,76.97,Henry County,29.2,Indiana,29.7,13.9,7.25
3343,77.27,Howard County,27.7,Indiana,37.8,12.6,7.25
4700,78.21,Huntington County,26.2,Indiana,34.8,11.9,7.25
3701,76.62,Jackson County,27.2,Indiana,31.6,10.5,7.25
3426,77.94,Jasper County,26.6,Indiana,33.5,10.4,7.25
2475,77.36,Jay County,30.1,Indiana,34.6,10.7,7.25
3832,76.32,Jefferson County,29.3,Indiana,31.8,11.3,7.25
5064,75.72,Jennings County,30.4,Indiana,28.4,12.9,7.25
4789,78.51,Johnson County,24.3,Indiana,29.1,8.8,7.25
3838,76.35,Knox County,28.3,Indiana,33.1,8.2,7.25
5195,78.37,Kosciusko County,25.8,Indiana,30.8,11.0,7.25
9442,76.48,Lake County,28.2,Indiana,35.9,10.8,7.25
8592,76.53,Lawrence County,28.0,Indiana,29.3,12.7,7.25
8840,76.57,Madison County,28.4,Indiana,37.3,12.1,7.25
7990,76.29,Marion County,28.2,Indiana,31.9,10.5,7.25
5248,79.08,Marshall County,25.1,Indiana,31.4,11.3,7.25
49267,77.22,Martin County,28.1,Indiana,29.1,7.5,7.25
28062,77.75,Miami County,31.0,Indiana,33,12.5,7.25
26263,80.06,Monroe County,19.1,Indiana,25.3,7.9,7.25
31338,77.99,Montgomery County,26.9,Indiana,31.2,10.2,7.25
29581,77.35,Morgan County,28.7,Indiana,33.2,10.4,7.25
8376,77.18,Newton County,30.2,Indiana,34.1,11.3,7.25
6577,77.73,Noble County,26.7,Indiana,33.9,13.2,7.25
11652,78.24,Ohio County,26.1,Indiana,30.8,11.1,7.25
28074,76.81,Orange County,27.8,Indiana,31.2,12.8,7.25
6869,76.61,Owen County,29.1,Indiana,36.8,11.5,7.25
5070,77.96,Parke County,29.2,Indiana,29.3,10.9,7.25
10145,77.82,Perry County,28.0,Indiana,32.1,10.6,7.25
33002,77.59,Pike County,26.4,Indiana,31.5,9.5,7.25
11797,78.74,Porter County,25.2,Indiana,29.3,9.5,7.25
9998,78.74,Posey County,22.9,Indiana,31.6,7.8,7.25
15073,77.14,Pulaski County,26.2,Indiana,34.5,10.0,7.25
42554,78.32,Putnam County,27.5,Indiana,32.3,11.6,7.25
4527,77.9,Randolph County,27.5,Indiana,34.8,11.8,7.25
6043,77.95,Ripley County,26.7,Indiana,31.8,11.2,7.25
7415,77.56,Rush County,27.6,Indiana,32.4,11.1,7.25
12496,73.78,Scott County,31.2,Indiana,28.5,13.2,7.25
5760,77.4,Shelby County,28.2,Indiana,33.8,11.0,7.25
129032,78.74,Spencer County,23.3,Indiana,30.4,8.8,7.25
15173,74.98,Starke County,29.6,Indiana,35,13.3,7.25
12199,78.88,Steuben County,24.5,Indiana,32.7,11.1,7.25
15403,75.73,Sullivan County,28.0,Indiana,31.5,10.1,7.25
8667,76.58,Switzerland County,29.4,Indiana,27.9,9.3,7.25
131939,79.03,Tippecanoe County,20.2,Indiana,27.1,8.9,7.25
18080,78.71,Tipton County,25.9,Indiana,32.1,10.3,7.25
5843,77.71,Union County,25.2,Indiana,33.2,10.3,7.25
9047,77.4,Vanderburgh County,27.1,Indiana,32.4,8.9,7.25
2311,75.87,Vermillion County,28.6,Indiana,28.3,12.9,7.25
125583,76.47,Vigo County,27.1,Indiana,32,11.2,7.25
11724,77.86,Wabash County,25.4,Indiana,36.8,11.4,7.25
122550,78.39,Warren County,28.0,Indiana,28.5,10.5,7.25
125754,79.08,Warrick County,20.6,Indiana,32.4,8.0,7.25
119018,75.97,Washington County,28.3,Indiana,30.5,12.2,7.25
242290,76.94,Wayne County,29.2,Indiana,28.2,12.8,7.25
128431,79.46,Wells County,25.4,Indiana,28.6,9.8,7.25
15167,78.22,White County,25.7,Indiana,34.6,10.5,7.25
18371,78.97,Whitley County,26.4,Indiana,33.7,11.5,7.25
11635,79.43,Adair County,22.2,Iowa,31.8,5.5,7.25
134907,78.98,Adams County,22.6,Iowa,33.8,4.8,7.25
21048,79.92,Allamakee County,22.6,Iowa,28,7.8,7.25
5124,78.33,Appanoose County,25.2,Iowa,30,7.3,7.25
4588,80.52,Audubon County,21.9,Iowa,34.1,5.6,7.25
8268,81.01,Benton County,22.3,Iowa,29.7,6.2,7.25
6786,79.34,Black Hawk County,23.3,Iowa,28.5,6.2,7.25
4858,79.01,Boone County,23.9,Iowa,32,5.7,7.25
24301,81.87,Bremer County,18.4,Iowa,28.1,4.9,7.25
6950,79.25,Buchanan County,23.4,Iowa,30,6.0,7.25
5110,80.75,Buena Vista County,20.0,Iowa,27.4,4.7,7.25
6238,80.3,Butler County,22.0,Iowa,27.2,6.0,7.25
5346,79.7,Calhoun County,20.7,Iowa,30.4,6.0,7.25
3506,80.36,Carroll County,22.4,Iowa,31.7,4.3,7.25
4634,78.84,Cass County,24.1,Iowa,35.4,6.3,7.25
6447,81.32,Cedar County,21.8,Iowa,35.4,5.4,7.25
4607,79.41,Cerro Gordo County,23.7,Iowa,29.4,6.8,7.25
5735,80.08,Cherokee County,21.1,Iowa,27.7,4.5,7.25
16540,80.52,Chickasaw County,23.3,Iowa,30.6,7.4,7.25
2761,78.76,Clarke County,25.5,Iowa,31.3,7.7,7.25
5809,80.19,Clay County,23.2,Iowa,29.6,5.9,7.25
43650,80.26,Clayton County,21.8,Iowa,30.8,7.1,7.25
8587,78.52,Clinton County,24.6,Iowa,30,7.0,7.25
10948,80.23,Crawford County,23.4,Iowa,28.8,4.7,7.25
4715,81.27,Dallas County,15.3,Iowa,29.4,4.6,7.25
5777,79.77,Davis County,24.1,Iowa,32,7.1,7.25
9924,78.36,Decatur County,23.0,Iowa,30.9,6.1,7.25
3676,80.91,Delaware County,22.9,Iowa,34.5,6.1,7.25
10818,79.02,Des Moines County,24.2,Iowa,32.3,7.4,7.25
3147,81.16,Dickinson County,20.9,Iowa,28.5,6.8,7.25
13918,79.97,Dubuque County,17.9,Iowa,27.2,5.8,7.25
6806,79.61,Emmet County,24.7,Iowa,32.1,7.0,7.25
8657,79.84,Fayette County,22.9,Iowa,34.9,7.1,7.25
7665,79.7,Floyd County,23.3,Iowa,31,7.2,7.25
553,80.12,Franklin County,23.5,Iowa,31,6.2,7.25
2404,78.69,Fremont County,23.2,Iowa,33.3,5.9,7.25
9550,79.98,Greene County,23.4,Iowa,29.5,5.9,7.25
2438,81.21,Grundy County,19.3,Iowa,31.7,5.7,7.25
4289,80.06,Guthrie County,20.9,Iowa,32.8,6.5,7.25
6914,80.38,Hamilton County,25.3,Iowa,31.7,7.3,7.25
3749,80.73,Hancock County,23.1,Iowa,26.1,6.6,7.25
5745,79.68,Hardin County,22.5,Iowa,33.8,6.5,7.25
7095,78.05,Harrison County,22.8,Iowa,31.6,5.6,7.25
7391,79.53,Henry County,24.0,Iowa,31,8.3,7.25
25149,80.29,Howard County,24.1,Iowa,29.8,6.3,7.25
5633,80.39,Humboldt County,23.6,Iowa,33.6,5.2,7.25
7629,79.43,Ida County,21.7,Iowa,30.9,5.1,7.25
8979,80.74,Iowa County,20.5,Iowa,29.1,5.5,7.25
9275,79.31,Jackson County,22.1,Iowa,30.7,7.1,7.25
27033,79.65,Jasper County,23.6,Iowa,35.1,7.3,7.25
6931,80.28,Jefferson County,20.2,Iowa,30.2,7.1,7.25
8927,81.84,Johnson County,15.2,Iowa,24,4.2,7.25
10277,80.65,Jones County,22.1,Iowa,28.5,6.4,7.25
10573,80.31,Keokuk County,24.2,Iowa,33.6,6.5,7.25
28331,81.23,Kossuth County,22.5,Iowa,31.1,5.1,7.25
7364,77.63,Lee County,26.4,Iowa,35.3,8.9,7.25
9360,80.34,Linn County,20.7,Iowa,27.9,6.0,7.25
10710,79.29,Louisa County,23.0,Iowa,32.6,7.3,7.25
11006,79.11,Lucas County,26.8,Iowa,31.9,6.1,7.25
28764,80.9,Lyon County,20.6,Iowa,30,3.9,7.25
24084,79.57,Madison County,21.0,Iowa,30.8,6.4,7.25
26080,80.1,Mahaska County,23.0,Iowa,27.2,6.7,7.25
27430,79.39,Marion County,21.3,Iowa,29.8,5.9,7.25
27726,77.57,Marshall County,22.5,Iowa,32,6.8,7.25
45484,77.8,Mills County,21.8,Iowa,28.3,5.2,7.25
6375,81.29,Mitchell County,22.8,Iowa,27.4,5.2,7.25
7970,78.02,Monona County,24.9,Iowa,27.4,7.2,7.25
6924,77.94,Monroe County,23.4,Iowa,33.8,7.2,7.25
8123,78.4,Montgomery County,25.8,Iowa,32.2,8.1,7.25
7822,78.99,Muscatine County,24.3,Iowa,34,8.0,7.25
9417,80.25,O'Brien County,20.2,Iowa,30.5,4.7,7.25
8371,80.19,Osceola County,23.4,Iowa,29.8,4.9,7.25
9570,78.76,Page County,25.0,Iowa,32.2,6.8,7.25
7028,79.56,Palo Alto County,23.7,Iowa,28.3,6.0,7.25
8623,80.68,Plymouth County,21.0,Iowa,33.4,4.5,7.25
7577,79.74,Pocahontas County,22.1,Iowa,30.1,5.1,7.25
8776,78.96,Polk County,20.4,Iowa,28.2,6.0,7.25
8104,78.02,Pottawattamie County,25.5,Iowa,33.6,5.8,7.25
9699,79.85,Poweshiek County,22.4,Iowa,29.4,5.8,7.25
8653,79.54,Ringgold County,22.2,Iowa,30,4.7,7.25
9852,79.84,Sac County,21.4,Iowa,29.2,4.7,7.25
18453,79.0,Scott County,21.4,Iowa,28.5,6.7,7.25
