Total SNAP,Life Expectancy,County,Percent Smokers,State,Percent Obese,Unemployment_rate_2010,min_wage
2801,80.36,Yuma County,18.9,Arizona,31.1,25.1,7.8
1012,74.49,Arkansas County,27.9,Arkansas,35.4,18.6,7.25
6326,74.86,Ashley County,27.6,Arkansas,38,10.1,7.25
2802,76.96,Baxter County,28.3,Arkansas,28.5,9.4,7.25
28811,79.53,Benton County,21.9,Arkansas,27.6,6.6,7.25
26695,77.34,Boone County,26.9,Arkansas,27.3,7.8,7.25
52704,74.53,Bradley County,28.0,Arkansas,34,10.8,7.25
11446,75.74,Calhoun County,29.8,Arkansas,34.2,8.8,7.25
8089,78.09,Carroll County,26.2,Arkansas,28.7,7.3,7.25
29009,73.52,Chicot County,26.5,Arkansas,36.8,12.3,7.25
19405,75.92,Clark County,24.1,Arkansas,32.6,8.6,7.25
29204,74.96,Clay County,31.6,Arkansas,32,11.0,7.25
6262,77.47,Cleburne County,27.4,Arkansas,28.8,8.6,7.25
3229,76.17,Cleveland County,27.3,Arkansas,34.9,8.4,7.25
378040,74.66,Columbia County,24.5,Arkansas,33.5,10.0,7.25
329328,76.19,Conway County,27.5,Arkansas,35.7,9.7,7.25
704139,76.08,Craighead County,24.9,Arkansas,34.1,7.4,7.25
7169,75.97,Crawford County,27.8,Arkansas,35.9,8.2,7.25
7581,72.35,Crittenden County,28.4,Arkansas,38.1,10.5,7.25
23592,74.23,Cross County,30.3,Arkansas,36.5,8.3,7.25
6425,74.36,Dallas County,30.7,Arkansas,33,12.3,7.25
4379,73.94,Desha County,26.4,Arkansas,36.9,11.1,7.25
4325,75.94,Drew County,24.0,Arkansas,32.3,10.9,7.25
2279,77.31,Faulkner County,23.1,Arkansas,29.4,7.2,7.25
3992,75.79,Franklin County,28.7,Arkansas,33.6,7.7,7.25
30593,76.41,Fulton County,29.3,Arkansas,31.1,7.8,7.25
4169,75.81,Garland County,29.9,Arkansas,28.3,8.5,7.25
8155,76.08,Grant County,28.7,Arkansas,36.1,7.1,7.25
2333,75.23,Greene County,29.5,Arkansas,37.8,9.7,7.25
7895,75.18,Hempstead County,26.7,Arkansas,36.3,9.3,7.25
11881,75.81,Hot Spring County,30.7,Arkansas,33.4,8.6,7.25
6059,74.94,Howard County,29.1,Arkansas,35.7,7.8,7.25
2426,75.96,Independence County,26.9,Arkansas,29.8,8.8,7.25
6412,76.2,Izard County,28.7,Arkansas,30.3,10.1,7.25
590,74.01,Jackson County,32.0,Arkansas,37.1,11.9,7.25
14256,74.51,Jefferson County,28.2,Arkansas,40,10.4,7.25
8902,76.54,Johnson County,27.6,Arkansas,34.9,8.2,7.25
10365,74.22,Lafayette County,28.8,Arkansas,30.9,9.9,7.25
4874,75.08,Lawrence County,29.6,Arkansas,38,9.5,7.25
11446,73.65,Lee County,31.9,Arkansas,34.6,8.6,7.25
10202,76.34,Lincoln County,30.2,Arkansas,32.9,9.4,7.25
16774,75.19,Little River County,29.0,Arkansas,32.9,7.7,7.25
9991,75.74,Logan County,29.8,Arkansas,33.2,8.6,7.25
3718,75.92,Lonoke County,25.5,Arkansas,31.2,6.8,7.25
7081,76.52,Madison County,29.2,Arkansas,32.8,7.1,7.25
8554,76.88,Marion County,29.1,Arkansas,32.6,10.1,7.25
5735,75.75,Miller County,31.4,Arkansas,33.6,5.8,7.25
8349,72.44,Mississippi County,29.9,Arkansas,39.1,12.5,7.25
9822,73.75,Monroe County,28.2,Arkansas,35.1,9.2,7.25
7003,77.25,Montgomery County,28.4,Arkansas,29.6,8.8,7.25
5648,74.92,Nevada County,27.8,Arkansas,34.4,10.0,7.25
7121,77.54,Newton County,26.7,Arkansas,36.3,6.9,7.25
4302,73.53,Ouachita County,26.9,Arkansas,39.8,9.6,7.25
38239,75.59,Perry County,30.2,Arkansas,33.8,8.9,7.25
20494,71.29,Phillips County,28.9,Arkansas,38,10.5,7.25
64054,76.09,Pike County,27.8,Arkansas,33.6,9.1,7.25
20525,72.58,Poinsett County,32.6,Arkansas,35.7,9.3,7.25
2780,75.77,Polk County,28.7,Arkansas,33.1,7.5,7.25
46340,76.9,Pope County,24.7,Arkansas,35.2,7.8,7.25
60816,76.2,Prairie County,26.7,Arkansas,32.8,9.2,7.25
43071,76.31,Pulaski County,23.6,Arkansas,33.1,7.3,7.25
86631,76.19,Randolph County,28.3,Arkansas,34.2,10.2,7.25
23449,78.1,Saline County,26.6,Arkansas,31.5,6.7,7.25
21915,75.91,Scott County,29.7,Arkansas,29.4,7.1,7.25
36903,76.56,Searcy County,29.4,Arkansas,30.2,9.2,7.25
3835,76.47,Sebastian County,27.7,Arkansas,29.8,8.0,7.25
6045,75.3,Sevier County,27.7,Arkansas,37.9,7.0,7.25
5746,75.64,Sharp County,30.3,Arkansas,30.3,9.8,7.25
4725,76.74,Stone County,28.8,Arkansas,34.2,7.6,7.25
4564,73.76,Union County,27.5,Arkansas,30.9,11.3,7.25
3543,77.27,Van Buren County,29.0,Arkansas,33.2,11.2,7.25
5110,78.12,Washington County,23.1,Arkansas,28.6,6.5,7.25
2892,76.12,White County,24.2,Arkansas,33.4,8.2,7.25
5679,73.41,Woodruff County,29.4,Arkansas,35.6,10.4,7.25
7289,75.66,Yell County,28.0,Arkansas,32.5,8.1,7.25
2874,80.92,Alameda County,13.9,California,20.7,10.9,8.0
656,78.83,Alpine County,19.1,California,24,12.9,8.0
3443,79.56,Amador County,22.7,California,23,14.1,8.0
5053,77.95,Butte County,21.1,California,24.3,13.9,8.0
5402,79.71,Calaveras County,20.2,California,25.8,14.4,8.0
3184,79.65,Colusa County,19.8,California,22.6,20.8,8.0
5971,80.95,Contra Costa County,13.9,California,23.7,11.0,8.0
7581,76.21,Del Norte County,27.4,California,25.5,13.2,8.0
6942,80.83,El Dorado County,17.2,California,20.3,12.2,8.0
4724,78.63,Fresno County,17.3,California,29.4,16.7,8.0
7511,78.17,Glenn County,21.6,California,26.8,15.4,8.0
9121,77.23,Humboldt County,22.8,California,26.5,10.6,8.0
4493,79.92,Imperial County,16.9,California,23.5,28.8,8.0
9169,78.49,Inyo County,20.8,California,23.8,9.7,8.0
10618,77.28,Kern County,18.6,California,27.8,15.7,8.0
10337,78.77,Kings County,17.9,California,24.2,16.1,8.0
11786,75.66,Lake County,24.8,California,26.7,15.1,8.0
15760,78.6,Lassen County,24.5,California,25.6,14.0,8.0
4716,80.73,Los Angeles County,14.3,California,21.3,12.5,8.0
4625,78.91,Madera County,19.9,California,29.7,16.6,8.0
4526,83.09,Marin County,12.4,California,15.4,7.9,8.0
4435,79.83,Mariposa County,19.3,California,23.8,12.9,8.0
5875,78.25,Mendocino County,23.7,California,24.8,11.6,8.0
3679,78.78,Merced County,18.1,California,31.3,18.0,8.0
3722,77.49,Modoc County,21.7,California,25.1,15.2,8.0
1526,82.62,Mono County,18.0,California,20.8,10.2,8.0
16148,81.34,Monterey County,15.4,California,22.8,12.7,8.0
22857,80.2,Napa County,15.6,California,23.6,10.3,8.0
4208,81.06,Nevada County,17.1,California,18.5,11.7,8.0
2933,81.85,Orange County,12.5,California,20.4,9.7,8.0
41158,81.04,Placer County,14.9,California,22.8,11.6,8.0
36655,78.22,Plumas County,21.2,California,23,18.2,8.0
74880,79.75,Riverside County,17.7,California,27,13.8,8.0
3708,78.86,Sacramento County,17.5,California,27.7,12.6,8.0
3181,81.38,San Benito County,15.3,California,24.3,15.1,8.0
4622,78.23,San Bernardino County,18.7,California,28.2,13.5,8.0
4683,80.86,San Diego County,14.7,California,23.1,10.8,8.0
11337,78.12,San Joaquin County,19.1,California,31,16.5,8.0
3226,80.82,San Luis Obispo County,14.1,California,20,10.1,8.0
16696,82.35,San Mateo County,11.7,California,20,8.4,8.0
3450,81.38,Santa Barbara County,13.7,California,19.2,9.7,8.0
11902,82.7,Santa Clara County,11.4,California,21,10.4,8.0
7695,81.15,Santa Cruz County,13.1,California,20.1,13.3,8.0
12328,76.59,Shasta County,23.6,California,28,16.8,8.0
12047,78.95,Sierra County,22.3,California,23.4,15.3,8.0
16680,77.51,Siskiyou County,22.0,California,23.3,16.8,8.0
15986,79.15,Solano County,16.7,California,27.1,12.6,8.0
2706,80.35,Sonoma County,17.4,California,22.5,10.8,8.0
114884,77.94,Stanislaus County,19.4,California,30.8,16.9,8.0
6389,78.56,Sutter County,19.3,California,25.9,18.4,8.0
18174,77.66,Tehama County,24.6,California,26,15.4,8.0
12604,77.07,Trinity County,24.0,California,25.1,17.0,8.0
4022,77.86,Tulare County,17.3,California,29.5,17.2,8.0
21009,79.23,Tuolumne County,23.1,California,22.7,15.2,8.0
21946,81.39,Ventura County,14.5,California,21.9,10.8,8.0
