County,Obesity,Min Wage,Life expectancy 2010,Percent Smokers,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,Unemployment_rate_2010,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Min Wages Dummies,log_PA,log_NPA,log_TA
Butler County,29.1,7.25,73.63,28.3,1766,8405,10171,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.476472381163905,9.036582045842716,9.227295812625597
Calhoun County,33.2,7.25,74.11,28.6,7206,40127,47333,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.882669291308039,10.599804703426894,10.76496300563697
Calhoun County,34.2,7.25,74.11,28.6,7206,40127,47333,11.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.882669291308039,10.599804703426894,10.76496300563697
Calhoun County,36.1,7.79,74.11,28.6,7206,40127,47333,11.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.882669291308039,10.599804703426894,10.76496300563697
Calhoun County,31.7,7.25,74.11,28.6,7206,40127,47333,11.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.882669291308039,10.599804703426894,10.76496300563697
Calhoun County,29.5,7.25,74.11,28.6,7206,40127,47333,11.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.882669291308039,10.599804703426894,10.76496300563697
Calhoun County,30.4,7.25,74.11,28.6,7206,40127,47333,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.882669291308039,10.599804703426894,10.76496300563697
Calhoun County,37.1,7.25,74.11,28.6,7206,40127,47333,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.882669291308039,10.599804703426894,10.76496300563697
Calhoun County,33.6,7.25,74.11,28.6,7206,40127,47333,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.882669291308039,10.599804703426894,10.76496300563697
Calhoun County,38.4,7.25,74.11,28.6,7206,40127,47333,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.882669291308039,10.599804703426894,10.76496300563697
Calhoun County,28.4,7.25,74.11,28.6,7206,40127,47333,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.882669291308039,10.599804703426894,10.76496300563697
Calhoun County,35.9,7.25,74.11,28.6,7206,40127,47333,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.882669291308039,10.599804703426894,10.76496300563697
Chambers County,35.4,7.25,74.09,29.5,2509,13405,15914,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.827639546366422,9.50338305067006,9.67495450393748
Chambers County,30.2,7.25,74.09,29.5,2509,13405,15914,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.827639546366422,9.50338305067006,9.67495450393748
Cherokee County,31.4,7.25,75.26,26.1,1422,8589,10011,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.259819610363186,9.058237593766226,9.211439767419483
Cherokee County,27.9,7.25,75.26,26.1,1422,8589,10011,10.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.259819610363186,9.058237593766226,9.211439767419483
Cherokee County,27.7,7.25,75.26,26.1,1422,8589,10011,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.259819610363186,9.058237593766226,9.211439767419483
Cherokee County,37.2,7.25,75.26,26.1,1422,8589,10011,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.259819610363186,9.058237593766226,9.211439767419483
