Percent Obese,CountyState
30.6,Boyle County Kentucky
33.6,Bracken County Kentucky
40,Breathitt County Kentucky
33.8,Breckinridge County Kentucky
34.2,Bullitt County Kentucky
34.8,Butler County Kentucky
32.6,Caldwell County Kentucky
28.6,Calloway County Kentucky
30.5,Campbell County Kentucky
30.3,Carlisle County Kentucky
33.6,Carroll County Kentucky
32,Carter County Kentucky
35.4,Casey County Kentucky
32,Christian County Kentucky
31.7,Clark County Kentucky
31.5,Clay County Kentucky
32.2,Clinton County Kentucky
32,Crittenden County Kentucky
34.2,Cumberland County Kentucky
30,Daviess County Kentucky
35.5,Edmonson County Kentucky
36,Elliott County Kentucky
32.3,Estill County Kentucky
28.9,Fayette County Kentucky
35.7,Fleming County Kentucky
38.6,Floyd County Kentucky
31.9,Franklin County Kentucky
35.8,Fulton County Kentucky
31.5,Gallatin County Kentucky
37.4,Garrard County Kentucky
35,Grant County Kentucky
31.4,Graves County Kentucky
35.3,Grayson County Kentucky
30,Green County Kentucky
36.7,Greenup County Kentucky
36,Hancock County Kentucky
30.1,Hardin County Kentucky
34.4,Harlan County Kentucky
29.4,Harrison County Kentucky
33.3,Hart County Kentucky
32.7,Henderson County Kentucky
35.3,Henry County Kentucky
32.9,Hickman County Kentucky
34.2,Hopkins County Kentucky
37.5,Jackson County Kentucky
33.2,Jefferson County Kentucky
32.5,Jessamine County Kentucky
40.2,Johnson County Kentucky
31.6,Kenton County Kentucky
36.6,Knott County Kentucky
33.3,Knox County Kentucky
31,Larue County Kentucky
32.5,Laurel County Kentucky
37,Lawrence County Kentucky
31.2,Lee County Kentucky
36.3,Leslie County Kentucky
35.8,Letcher County Kentucky
36.4,Lewis County Kentucky
37.3,Lincoln County Kentucky
32.6,Livingston County Kentucky
32.8,Logan County Kentucky
31.3,Lyon County Kentucky
30.1,McCracken County Kentucky
32.3,McCreary County Kentucky
32.4,McLean County Kentucky
29.6,Madison County Kentucky
34.1,Magoffin County Kentucky
33.8,Marion County Kentucky
34.2,Marshall County Kentucky
38.5,Martin County Kentucky
31.8,Mason County Kentucky
36.2,Meade County Kentucky
35.8,Menifee County Kentucky
33.1,Mercer County Kentucky
34.3,Metcalfe County Kentucky
35.8,Monroe County Kentucky
32.9,Montgomery County Kentucky
36.4,Morgan County Kentucky
34.2,Muhlenberg County Kentucky
30.2,Nelson County Kentucky
31.4,Nicholas County Kentucky
34.7,Ohio County Kentucky
28.9,Oldham County Kentucky
33.7,Owen County Kentucky
35.5,Owsley County Kentucky
33.2,Pendleton County Kentucky
41,Perry County Kentucky
36.6,Pike County Kentucky
33.2,Powell County Kentucky
31.5,Pulaski County Kentucky
32,Robertson County Kentucky
37.4,Rockcastle County Kentucky
34.1,Rowan County Kentucky
32.2,Russell County Kentucky
32.6,Scott County Kentucky
33,Shelby County Kentucky
30.4,Simpson County Kentucky
33.9,Spencer County Kentucky
31.9,Taylor County Kentucky
32.9,Todd County Kentucky
33.4,Trigg County Kentucky
35.2,Trimble County Kentucky
36.3,Union County Kentucky
27.7,Warren County Kentucky
33.1,Washington County Kentucky
31.5,Wayne County Kentucky
33.7,Webster County Kentucky
35.8,Whitley County Kentucky
31.8,Wolfe County Kentucky
31.6,Woodford County Kentucky
32.2,Acadia Parish Louisiana
37.6,Allen Parish Louisiana
34.5,Ascension Parish Louisiana
33.4,Assumption Parish Louisiana
39,Avoyelles Parish Louisiana
33.1,Beauregard Parish Louisiana
39,Bienville Parish Louisiana
33.9,Bossier Parish Louisiana
33.9,Caddo Parish Louisiana
34.6,Calcasieu Parish Louisiana
40.8,Caldwell Parish Louisiana
36.2,Cameron Parish Louisiana
35.9,Catahoula Parish Louisiana
35.5,Claiborne Parish Louisiana
35.4,Concordia Parish Louisiana
36.9,De Soto Parish Louisiana
33.6,East Baton Rouge Parish Louisiana
41.5,East Carroll Parish Louisiana
35.5,East Feliciana Parish Louisiana
31.5,Evangeline Parish Louisiana
35.5,Franklin Parish Louisiana
33.2,Grant Parish Louisiana
36.9,Iberia Parish Louisiana
38.4,Iberville Parish Louisiana
35.2,Jackson Parish Louisiana
32,Jefferson Parish Louisiana
34.6,Jefferson Davis Parish Louisiana
29.5,Lafayette Parish Louisiana
38,Lafourche Parish Louisiana
35.4,La Salle Parish Louisiana
32.6,Lincoln Parish Louisiana
33.2,Livingston Parish Louisiana
40.2,Madison Parish Louisiana
39,Morehouse Parish Louisiana
39,Natchitoches Parish Louisiana
30.9,Orleans Parish Louisiana
33.5,Ouachita Parish Louisiana
33.8,Plaquemines Parish Louisiana
32.3,Pointe Coupee Parish Louisiana
34.5,Rapides Parish Louisiana
33.8,Red River Parish Louisiana
38.8,Richland Parish Louisiana
36.5,Sabine Parish Louisiana
36,St. Bernard Parish Louisiana
33.4,St. Charles Parish Louisiana
37.5,St. Helena Parish Louisiana
36.2,St. James Parish Louisiana
36.4,St. John the Baptist Pa Louisiana
41.4,St. Landry Parish Louisiana
35.6,St. Martin Parish Louisiana
38,St. Mary Parish Louisiana
29,St. Tammany Parish Louisiana
36.8,Tangipahoa Parish Louisiana
35.3,Tensas Parish Louisiana
39.9,Terrebonne Parish Louisiana
36.5,Union Parish Louisiana
33,Vermilion Parish Louisiana
37.5,Vernon Parish Louisiana
38.6,Washington Parish Louisiana
33.9,Webster Parish Louisiana
32.8,West Baton Rouge Parish Louisiana
37.2,West Carroll Parish Louisiana
34.9,West Feliciana Parish Louisiana
34.2,Winn Parish Louisiana
31.3,Androscoggin County Maine
32.9,Aroostook County Maine
21.9,Cumberland County Maine
30.2,Franklin County Maine
24.5,Hancock County Maine
30.1,Kennebec County Maine
26,Knox County Maine
23.5,Lincoln County Maine
30.3,Oxford County Maine
31.2,Penobscot County Maine
32.5,Piscataquis County Maine
25,Sagadahoc County Maine
33.6,Somerset County Maine
29,Waldo County Maine
32.4,Washington County Maine
26.7,York County Maine
28.4,Allegany County Maryland
28,Anne Arundel County Maryland
27.6,Baltimore County Maryland
28.4,Calvert County Maryland
33.9,Caroline County Maryland
28.3,Carroll County Maryland
32.5,Cecil County Maryland
33.6,Charles County Maryland
34.1,Dorchester County Maryland
26.7,Frederick County Maryland
31.5,Garrett County Maryland
28.1,Harford County Maryland
24.6,Howard County Maryland
27.2,Kent County Maryland
18.4,Montgomery County Maryland
33.9,Prince George's County Maryland
25.9,Queen Anne's County Maryland
28.1,St. Mary's County Maryland
37.7,Somerset County Maryland
26.9,Talbot County Maryland
31.7,Washington County Maryland
33.7,Wicomico County Maryland
32.2,Worcester County Maryland
33.4,Baltimore city Maryland
18,Barnstable County Massachusetts
22,Berkshire County Massachusetts
29.1,Bristol County Massachusetts
19.6,Dukes County Massachusetts
23.5,Essex County Massachusetts
24.9,Franklin County Massachusetts
29.2,Hampden County Massachusetts
22.4,Hampshire County Massachusetts
23.3,Middlesex County Massachusetts
23.9,Nantucket County Massachusetts
19.8,Norfolk County Massachusetts
24.7,Plymouth County Massachusetts
21.5,Suffolk County Massachusetts
25.6,Worcester County Massachusetts
30.1,Alcona County Michigan
32.6,Alger County Michigan
34.2,Allegan County Michigan
33.4,Alpena County Michigan
31.2,Antrim County Michigan
34.3,Arenac County Michigan
32,Baraga County Michigan
37,Barry County Michigan
33.5,Bay County Michigan
31.6,Benzie County Michigan
36.5,Berrien County Michigan
35.1,Branch County Michigan
37.1,Calhoun County Michigan
31.4,Cass County Michigan
27.1,Charlevoix County Michigan
32.7,Cheboygan County Michigan
37.9,Chippewa County Michigan
29.3,Clare County Michigan
33.2,Clinton County Michigan
29.7,Crawford County Michigan
31.4,Delta County Michigan
29.8,Dickinson County Michigan
32.9,Eaton County Michigan
28.9,Emmet County Michigan
36,Genesee County Michigan
34.2,Gladwin County Michigan
28.3,Gogebic County Michigan
31.4,Grand Traverse County Michigan
37,Gratiot County Michigan
30.3,Hillsdale County Michigan
26.7,Houghton County Michigan
29,Huron County Michigan
30.5,Ingham County Michigan
33.7,Ionia County Michigan
34.2,Iosco County Michigan
31.3,Iron County Michigan
31.1,Isabella County Michigan
34.4,Jackson County Michigan
30.7,Kalamazoo County Michigan
30.4,Kalkaska County Michigan
30.7,Kent County Michigan
32.2,Keweenaw County Michigan
31.6,Lake County Michigan
33.5,Lapeer County Michigan
26.5,Leelanau County Michigan
32.3,Lenawee County Michigan
26.6,Livingston County Michigan
34.5,Luce County Michigan
33.8,Mackinac County Michigan
30,Macomb County Michigan
28.7,Manistee County Michigan
29.5,Marquette County Michigan
32.3,Mason County Michigan
30.9,Mecosta County Michigan
31.6,Menominee County Michigan
30.7,Midland County Michigan
32.9,Missaukee County Michigan
33.4,Monroe County Michigan
32,Montcalm County Michigan
31.7,Montmorency County Michigan
35.5,Muskegon County Michigan
35.3,Newaygo County Michigan
26.9,Oakland County Michigan
34.9,Oceana County Michigan
34.4,Ogemaw County Michigan
33.9,Ontonagon County Michigan
33.9,Osceola County Michigan
30.4,Oscoda County Michigan
31.7,Otsego County Michigan
25.5,Ottawa County Michigan
33.3,Presque Isle County Michigan
33.3,Roscommon County Michigan
39.7,Saginaw County Michigan
30.5,St. Clair County Michigan
33,St. Joseph County Michigan
36,Sanilac County Michigan
27.5,Schoolcraft County Michigan
34.6,Shiawassee County Michigan
30.9,Tuscola County Michigan
31.8,Van Buren County Michigan
23.3,Washtenaw County Michigan
34.3,Wayne County Michigan
32.5,Wexford County Michigan
27.4,Aitkin County Minnesota
30.7,Anoka County Minnesota
27.9,Becker County Minnesota
28.3,Beltrami County Minnesota
29.1,Benton County Minnesota
28.4,Big Stone County Minnesota
25.2,Blue Earth County Minnesota
28.7,Brown County Minnesota
27.9,Carlton County Minnesota
24.7,Carver County Minnesota
28.4,Cass County Minnesota
31.1,Chippewa County Minnesota
28.5,Chisago County Minnesota
31.4,Clay County Minnesota
29.9,Clearwater County Minnesota
26.1,Cook County Minnesota
28.6,Cottonwood County Minnesota
26.8,Crow Wing County Minnesota
25.4,Dakota County Minnesota
33.2,Dodge County Minnesota
26.9,Douglas County Minnesota
29.7,Faribault County Minnesota
27.2,Fillmore County Minnesota
30.6,Freeborn County Minnesota
28,Goodhue County Minnesota
27.2,Grant County Minnesota
21.9,Hennepin County Minnesota
27.7,Houston County Minnesota
28.6,Hubbard County Minnesota
27.7,Isanti County Minnesota
28,Itasca County Minnesota
29.8,Jackson County Minnesota
26.4,Kanabec County Minnesota
29.1,Kandiyohi County Minnesota
31.6,Kittson County Minnesota
29.7,Koochiching County Minnesota
29.2,Lac qui Parle County Minnesota
29.5,Lake County Minnesota
28.1,Lake of the Woods Count Minnesota
30.3,Le Sueur County Minnesota
27.5,Lincoln County Minnesota
27.8,Lyon County Minnesota
31.9,McLeod County Minnesota
30.6,Mahnomen County Minnesota
26.9,Marshall County Minnesota
27.2,Martin County Minnesota
29.6,Meeker County Minnesota
28.8,Mille Lacs County Minnesota
27.8,Morrison County Minnesota
27.9,Mower County Minnesota
31.8,Murray County Minnesota
28.9,Nicollet County Minnesota
27.7,Nobles County Minnesota
32.8,Norman County Minnesota
23.8,Olmsted County Minnesota
28.2,Otter Tail County Minnesota
27.6,Pennington County Minnesota
28.4,Pine County Minnesota
28.9,Pipestone County Minnesota
30,Polk County Minnesota
28.1,Pope County Minnesota
24.6,Ramsey County Minnesota
30.3,Red Lake County Minnesota
30.5,Redwood County Minnesota
33,Renville County Minnesota
25.9,Rice County Minnesota
24.5,Rock County Minnesota
34.2,Roseau County Minnesota
27.3,St. Louis County Minnesota
24,Scott County Minnesota
30.5,Sherburne County Minnesota
29.1,Sibley County Minnesota
27.7,Stearns County Minnesota
26.6,Steele County Minnesota
28.3,Stevens County Minnesota
29.1,Swift County Minnesota
29.7,Todd County Minnesota
29,Traverse County Minnesota
26.9,Wabasha County Minnesota
30.8,Wadena County Minnesota
31,Waseca County Minnesota
24.3,Washington County Minnesota
30.8,Watonwan County Minnesota
30.2,Wilkin County Minnesota
27.3,Winona County Minnesota
26.5,Wright County Minnesota
25.3,Yellow Medicine County Minnesota
36.1,Adams County Mississippi
32.1,Alcorn County Mississippi
34.7,Amite County Mississippi
37.9,Attala County Mississippi
35.8,Benton County Mississippi
35.6,Bolivar County Mississippi
33.6,Calhoun County Mississippi
33.1,Carroll County Mississippi
37.1,Chickasaw County Mississippi
34.8,Choctaw County Mississippi
41.4,Claiborne County Mississippi
34.9,Clarke County Mississippi
39.4,Clay County Mississippi
47.4,Coahoma County Mississippi
35.4,Copiah County Mississippi
38.6,Covington County Mississippi
32.8,DeSoto County Mississippi
36.4,Forrest County Mississippi
41.1,Franklin County Mississippi
37.4,George County Mississippi
37.7,Greene County Mississippi
37.8,Grenada County Mississippi
33.3,Hancock County Mississippi
34.2,Harrison County Mississippi
37,Hinds County Mississippi
41.1,Holmes County Mississippi
42.3,Humphreys County Mississippi
38.1,Issaquena County Mississippi
36.5,Itawamba County Mississippi
33.1,Jackson County Mississippi
40.3,Jasper County Mississippi
44.8,Jefferson County Mississippi
36.9,Jefferson Davis County Mississippi
36.8,Jones County Mississippi
36,Kemper County Mississippi
33,Lafayette County Mississippi
33.6,Lamar County Mississippi
36.7,Lauderdale County Mississippi
37.8,Lawrence County Mississippi
35.9,Leake County Mississippi
30.1,Lee County Mississippi
40.6,Leflore County Mississippi
36.6,Lincoln County Mississippi
36.3,Lowndes County Mississippi
31.6,Madison County Mississippi
37.1,Marion County Mississippi
38.6,Marshall County Mississippi
34.4,Monroe County Mississippi
36.3,Montgomery County Mississippi
35.5,Neshoba County Mississippi
31.7,Newton County Mississippi
43.6,Noxubee County Mississippi
31.5,Oktibbeha County Mississippi
36,Panola County Mississippi
33,Pearl River County Mississippi
32.5,Perry County Mississippi
37.8,Pike County Mississippi
36.3,Pontotoc County Mississippi
33.1,Prentiss County Mississippi
40.7,Quitman County Mississippi
34,Rankin County Mississippi
38.9,Scott County Mississippi
40.8,Sharkey County Mississippi
36,Simpson County Mississippi
33.6,Smith County Mississippi
32.2,Stone County Mississippi
43.9,Sunflower County Mississippi
38.9,Tallahatchie County Mississippi
35,Tate County Mississippi
34.5,Tippah County Mississippi
29.7,Tishomingo County Mississippi
40.7,Tunica County Mississippi
33.8,Union County Mississippi
39.3,Walthall County Mississippi
39.8,Warren County Mississippi
40,Washington County Mississippi
36.6,Wayne County Mississippi
35.3,Webster County Mississippi
42.4,Wilkinson County Mississippi
35.7,Winston County Mississippi
38.1,Yalobusha County Mississippi
38.3,Yazoo County Mississippi
30.5,Adair County Missouri
28.9,Andrew County Missouri
29,Atchison County Missouri
29.5,Audrain County Missouri
29.8,Barry County Missouri
30.9,Barton County Missouri
33,Bates County Missouri
34.8,Benton County Missouri
35.7,Bollinger County Missouri
25.7,Boone County Missouri
38.3,Buchanan County Missouri
32.9,Butler County Missouri
36.6,Caldwell County Missouri
34.6,Callaway County Missouri
29.4,Camden County Missouri
27.1,Cape Girardeau County Missouri
31.6,Carroll County Missouri
32.8,Carter County Missouri
33.1,Cass County Missouri
31.3,Cedar County Missouri
31.9,Chariton County Missouri
29.3,Christian County Missouri
33.4,Clark County Missouri
28.4,Clay County Missouri
32.2,Clinton County Missouri
30.3,Cole County Missouri
29.3,Cooper County Missouri
32.3,Crawford County Missouri
32,Dade County Missouri
32.9,Dallas County Missouri
31.1,Daviess County Missouri
35.4,DeKalb County Missouri
34.3,Dent County Missouri
32,Douglas County Missouri
35.5,Dunklin County Missouri
34.5,Franklin County Missouri
30.7,Gasconade County Missouri
33.3,Gentry County Missouri
29.4,Greene County Missouri
32.5,Grundy County Missouri
31.5,Harrison County Missouri
33.1,Henry County Missouri
33.3,Hickory County Missouri
29.6,Holt County Missouri
31.6,Howard County Missouri
29.3,Howell County Missouri
30.9,Iron County Missouri
32,Jackson County Missouri
32.6,Jasper County Missouri
35.1,Jefferson County Missouri
32.5,Johnson County Missouri
32.9,Knox County Missouri
31.9,Laclede County Missouri
31.1,Lafayette County Missouri
30,Lawrence County Missouri
34.4,Lewis County Missouri
36.5,Lincoln County Missouri
35.4,Linn County Missouri
28.1,Livingston County Missouri
31.7,McDonald County Missouri
30.9,Macon County Missouri
36,Madison County Missouri
30.8,Maries County Missouri
28.3,Marion County Missouri
32.4,Mercer County Missouri
34.9,Miller County Missouri
33.6,Mississippi County Missouri
31.3,Moniteau County Missouri
32.1,Monroe County Missouri
31.2,Montgomery County Missouri
28.5,Morgan County Missouri
33.2,New Madrid County Missouri
32.2,Newton County Missouri
30.3,Nodaway County Missouri
32.3,Oregon County Missouri
29.2,Osage County Missouri
29.3,Ozark County Missouri
35.4,Pemiscot County Missouri
32.7,Perry County Missouri
32.4,Pettis County Missouri
32.7,Phelps County Missouri
33.1,Pike County Missouri
29.2,Platte County Missouri
34,Polk County Missouri
34.4,Pulaski County Missouri
29.5,Putnam County Missouri
32.3,Ralls County Missouri
34.3,Randolph County Missouri
31.3,Ray County Missouri
34.8,Reynolds County Missouri
33.8,Ripley County Missouri
30.6,St. Charles County Missouri
33.6,St. Clair County Missouri
28.6,Ste. Genevieve County Missouri
32,St. Francois County Missouri
28.3,St. Louis County Missouri
33.8,Saline County Missouri
30.9,Schuyler County Missouri
35.5,Scotland County Missouri
32.3,Scott County Missouri
36.6,Shannon County Missouri
31.7,Shelby County Missouri
32.9,Stoddard County Missouri
30.9,Stone County Missouri
30.2,Sullivan County Missouri
31.3,Taney County Missouri
33.8,Texas County Missouri
30.6,Vernon County Missouri
31.4,Warren County Missouri
32.6,Washington County Missouri
27.6,Wayne County Missouri
32.2,Webster County Missouri
29.8,Worth County Missouri
34.7,Wright County Missouri
32.9,St. Louis city Missouri
24.6,Beaverhead County Montana
35.3,Big Horn County Montana
33.5,Blaine County Montana
29.5,Broadwater County Montana
25.4,Carbon County Montana
23.9,Carter County Montana
26.8,Cascade County Montana
29.1,Chouteau County Montana
24.2,Custer County Montana
24.4,Daniels County Montana
26.6,Dawson County Montana
27.4,Deer Lodge County Montana
24.5,Fallon County Montana
24.7,Fergus County Montana
21,Flathead County Montana
17.5,Gallatin County Montana
24.3,Garfield County Montana
31.5,Glacier County Montana
28.6,Golden Valley County Montana
20.9,Granite County Montana
32.7,Hill County Montana
20.1,Jefferson County Montana
25.5,Judith Basin County Montana
27.3,Lake County Montana
23.8,Lewis and Clark County Montana
27.1,Liberty County Montana
26.2,Lincoln County Montana
25,McCone County Montana
22.7,Madison County Montana
25.6,Meagher County Montana
29.7,Mineral County Montana
20.5,Missoula County Montana
24,Musselshell County Montana
22.7,Park County Montana
24.4,Petroleum County Montana
26.6,Phillips County Montana
29,Pondera County Montana
25.1,Powder River County Montana
25.2,Powell County Montana
26.9,Prairie County Montana
20.9,Ravalli County Montana
30.9,Richland County Montana
35.8,Roosevelt County Montana
32.7,Rosebud County Montana
26.6,Sanders County Montana
27.5,Sheridan County Montana
27.4,Silver Bow County Montana
25.2,Stillwater County Montana
21.8,Sweet Grass County Montana
24.2,Teton County Montana
28.7,Toole County Montana
24.8,Treasure County Montana
27.4,Valley County Montana
24.5,Wheatland County Montana
28.3,Wibaux County Montana
27.1,Yellowstone County Montana
28.9,Adams County Nebraska
28.1,Antelope County Nebraska
29.3,Arthur County Nebraska
33.1,Banner County Nebraska
31.3,Blaine County Nebraska
27.9,Boone County Nebraska
32.2,Box Butte County Nebraska
30.9,Boyd County Nebraska
31.7,Brown County Nebraska
30.1,Buffalo County Nebraska
31.4,Burt County Nebraska
27.8,Butler County Nebraska
31.8,Cass County Nebraska
28.1,Cedar County Nebraska
26.7,Chase County Nebraska
27,Cherry County Nebraska
28.4,Cheyenne County Nebraska
34.7,Clay County Nebraska
33.9,Colfax County Nebraska
29.8,Cuming County Nebraska
31.7,Custer County Nebraska
33.7,Dakota County Nebraska
29.8,Dawes County Nebraska
32.2,Dawson County Nebraska
27.5,Deuel County Nebraska
32.5,Dixon County Nebraska
29.8,Dodge County Nebraska
28.4,Douglas County Nebraska
30.1,Dundy County Nebraska
29.2,Fillmore County Nebraska
31.7,Franklin County Nebraska
31.9,Frontier County Nebraska
32.2,Furnas County Nebraska
34,Gage County Nebraska
26.3,Garden County Nebraska
27.6,Garfield County Nebraska
29.5,Gosper County Nebraska
28.4,Grant County Nebraska
33.2,Greeley County Nebraska
31.2,Hall County Nebraska
29.9,Hamilton County Nebraska
29.3,Harlan County Nebraska
27.7,Hayes County Nebraska
33.8,Hitchcock County Nebraska
30.3,Holt County Nebraska
31.6,Hooker County Nebraska
31.5,Howard County Nebraska
32.2,Jefferson County Nebraska
30,Johnson County Nebraska
29.4,Kearney County Nebraska
28.4,Keith County Nebraska
27.1,Keya Paha County Nebraska
31.4,Kimball County Nebraska
27.9,Knox County Nebraska
26.7,Lancaster County Nebraska
32.4,Lincoln County Nebraska
28.8,Logan County Nebraska
30,Loup County Nebraska
28.2,McPherson County Nebraska
29.4,Madison County Nebraska
33.1,Merrick County Nebraska
29.3,Morrill County Nebraska
30.5,Nance County Nebraska
34.5,Nemaha County Nebraska
29.5,Nuckolls County Nebraska
34.5,Otoe County Nebraska
33,Pawnee County Nebraska
29.8,Perkins County Nebraska
33.3,Phelps County Nebraska
34.6,Pierce County Nebraska
29.9,Platte County Nebraska
33,Polk County Nebraska
30.2,Red Willow County Nebraska
32.6,Richardson County Nebraska
30.3,Rock County Nebraska
31.9,Saline County Nebraska
27.8,Sarpy County Nebraska
30.5,Saunders County Nebraska
32.4,Scotts Bluff County Nebraska
29,Seward County Nebraska
29.7,Sheridan County Nebraska
33.6,Sherman County Nebraska
27.7,Sioux County Nebraska
31.1,Stanton County Nebraska
27.8,Thayer County Nebraska
32.2,Thomas County Nebraska
39.9,Thurston County Nebraska
29.8,Valley County Nebraska
30.7,Washington County Nebraska
29.1,Wayne County Nebraska
32.3,Webster County Nebraska
27,Wheeler County Nebraska
32.6,York County Nebraska
31.6,Churchill County Nevada
25.1,Clark County Nevada
22.5,Douglas County Nevada
32.7,Elko County Nevada
29.1,Esmeralda County Nevada
25.7,Eureka County Nevada
27.1,Humboldt County Nevada
27.1,Lander County Nevada
26.8,Lincoln County Nevada
30.9,Lyon County Nevada
29.5,Mineral County Nevada
30.1,Nye County Nevada
29.3,Pershing County Nevada
23.7,Storey County Nevada
22.5,Washoe County Nevada
26.1,White Pine County Nevada
23,Carson City Nevada
26.9,Belknap County New Hampshire
24.1,Carroll County New Hampshire
25.9,Cheshire County New Hampshire
31.5,Coos County New Hampshire
25.5,Grafton County New Hampshire
26.9,Hillsborough County New Hampshire
26.4,Merrimack County New Hampshire
26.3,Rockingham County New Hampshire
30.1,Strafford County New Hampshire
26.8,Sullivan County New Hampshire
27,Atlantic County New Jersey
21.4,Bergen County New Jersey
27.1,Burlington County New Jersey
27.5,Camden County New Jersey
24.8,Cape May County New Jersey
33.4,Cumberland County New Jersey
25.9,Essex County New Jersey
28.2,Gloucester County New Jersey
23.9,Hudson County New Jersey
20,Hunterdon County New Jersey
25.1,Mercer County New Jersey
23.4,Middlesex County New Jersey
22.4,Monmouth County New Jersey
20.8,Morris County New Jersey
26.4,Ocean County New Jersey
24.7,Passaic County New Jersey
32.8,Salem County New Jersey
21.1,Somerset County New Jersey
25.8,Sussex County New Jersey
23.2,Union County New Jersey
25.6,Warren County New Jersey
19.3,Bernalillo County New Mexico
24.8,Catron County New Mexico
30.6,Chaves County New Mexico
31.2,Cibola County New Mexico
24.8,Colfax County New Mexico
29.2,Curry County New Mexico
23.2,De Baca County New Mexico
25.4,Doña Ana County New Mexico
28.7,Eddy County New Mexico
23.7,Grant County New Mexico
25.9,Guadalupe County New Mexico
25.3,Harding County New Mexico
26.4,Hidalgo County New Mexico
32.8,Lea County New Mexico
22.9,Lincoln County New Mexico
18.5,Los Alamos County New Mexico
26.1,Luna County New Mexico
35.8,McKinley County New Mexico
23.4,Mora County New Mexico
24.5,Otero County New Mexico
25.3,Quay County New Mexico
24,Rio Arriba County New Mexico
26.7,Roosevelt County New Mexico
25,Sandoval County New Mexico
30.3,San Juan County New Mexico
22.4,San Miguel County New Mexico
13.8,Santa Fe County New Mexico
23.3,Sierra County New Mexico
26.5,Socorro County New Mexico
18,Taos County New Mexico
25.9,Torrance County New Mexico
26,Union County New Mexico
28.4,Valencia County New Mexico
25.9,Albany County New York
29.8,Allegany County New York
28.4,Bronx County New York
29,Broome County New York
27.5,Cattaraugus County New York
24.8,Cayuga County New York
27.5,Chautauqua County New York
29.2,Chemung County New York
28.8,Chenango County New York
29.6,Clinton County New York
23.9,Columbia County New York
27,Cortland County New York
25.8,Delaware County New York
26.2,Dutchess County New York
28.9,Erie County New York
27.2,Essex County New York
28.9,Franklin County New York
28.3,Fulton County New York
28.7,Genesee County New York
30.3,Greene County New York
26.1,Hamilton County New York
31.7,Herkimer County New York
29,Jefferson County New York
23.2,Kings County New York
25.9,Lewis County New York
28.8,Livingston County New York
27.3,Madison County New York
30.2,Monroe County New York
26.9,Montgomery County New York
21.6,Nassau County New York
15.7,New York County New York
29.5,Niagara County New York
27.5,Oneida County New York
28.2,Onondaga County New York
28,Ontario County New York
23.8,Orange County New York
31.9,Orleans County New York
33.9,Oswego County New York
27.4,Otsego County New York
31,Putnam County New York
22.9,Queens County New York
26.4,Rensselaer County New York
27.6,Richmond County New York
24.3,Rockland County New York
30,St. Lawrence County New York
25.9,Saratoga County New York
27.4,Schenectady County New York
29.9,Schoharie County New York
28.6,Schuyler County New York
28.3,Seneca County New York
30.9,Steuben County New York
24.7,Suffolk County New York
29.3,Sullivan County New York
28.9,Tioga County New York
21.7,Tompkins County New York
27.3,Ulster County New York
28.8,Warren County New York
28.3,Washington County New York
31.4,Wayne County New York
17.2,Westchester County New York
29.6,Wyoming County New York
25.9,Yates County New York
34.1,Alamance County North Carolina
27.2,Alexander County North Carolina
24.7,Alleghany County North Carolina
34.6,Anson County North Carolina
22.5,Ashe County North Carolina
28.9,Avery County North Carolina
34.3,Beaufort County North Carolina
35,Bertie County North Carolina
36.1,Bladen County North Carolina
29.5,Brunswick County North Carolina
23.6,Buncombe County North Carolina
28.8,Burke County North Carolina
30.9,Cabarrus County North Carolina
29.5,Caldwell County North Carolina
30.2,Camden County North Carolina
29,Carteret County North Carolina
32.5,Caswell County North Carolina
28.4,Catawba County North Carolina
25.7,Chatham County North Carolina
27.5,Cherokee County North Carolina
30,Chowan County North Carolina
25.8,Clay County North Carolina
30.2,Cleveland County North Carolina
32.1,Columbus County North Carolina
31.9,Craven County North Carolina
33.8,Cumberland County North Carolina
29.2,Currituck County North Carolina
28.1,Dare County North Carolina
29,Davidson County North Carolina
28.1,Davie County North Carolina
36.1,Duplin County North Carolina
29.4,Durham County North Carolina
37,Edgecombe County North Carolina
26,Forsyth County North Carolina
33.4,Franklin County North Carolina
27.3,Gaston County North Carolina
32.8,Gates County North Carolina
29.5,Graham County North Carolina
30.2,Granville County North Carolina
31.8,Greene County North Carolina
27.4,Guilford County North Carolina
37.9,Halifax County North Carolina
33.1,Harnett County North Carolina
25.9,Haywood County North Carolina
21.9,Henderson County North Carolina
34.1,Hertford County North Carolina
33.1,Hoke County North Carolina
31.5,Hyde County North Carolina
27.9,Iredell County North Carolina
32.8,Jackson County North Carolina
33.4,Johnston County North Carolina
34.1,Jones County North Carolina
29.2,Lee County North Carolina
34.2,Lenoir County North Carolina
27.9,Lincoln County North Carolina
33.8,McDowell County North Carolina
24.5,Macon County North Carolina
30,Madison County North Carolina
33.9,Martin County North Carolina
25.5,Mecklenburg County North Carolina
29.1,Mitchell County North Carolina
31.3,Montgomery County North Carolina
28.5,Moore County North Carolina
33.3,Nash County North Carolina
25.5,New Hanover County North Carolina
30.7,Northampton County North Carolina
27.8,Onslow County North Carolina
20.8,Orange County North Carolina
30.2,Pamlico County North Carolina
32.6,Pasquotank County North Carolina
29.2,Pender County North Carolina
31.9,Perquimans County North Carolina
32.6,Person County North Carolina
35.7,Pitt County North Carolina
