Percent Obese,CountyState
22.8,Monterey County California
23.6,Napa County California
18.5,Nevada County California
20.4,Orange County California
22.8,Placer County California
23,Plumas County California
27,Riverside County California
27.7,Sacramento County California
24.3,San Benito County California
28.2,San Bernardino County California
23.1,San Diego County California
16,San Francisco County California
31,San Joaquin County California
20,San Luis Obispo County California
20,San Mateo County California
19.2,Santa Barbara County California
21,Santa Clara County California
20.1,Santa Cruz County California
28,Shasta County California
23.4,Sierra County California
23.3,Siskiyou County California
27.1,Solano County California
22.5,Sonoma County California
30.8,Stanislaus County California
25.9,Sutter County California
26,Tehama County California
25.1,Trinity County California
29.5,Tulare County California
22.7,Tuolumne County California
21.9,Ventura County California
22.9,Yolo County California
30.5,Yuba County California
25,Adams County Colorado
20.5,Alamosa County Colorado
20.7,Arapahoe County Colorado
17,Archuleta County Colorado
21.8,Baca County Colorado
24,Bent County Colorado
14.9,Boulder County Colorado
20.2,Broomfield County Colorado
16.2,Chaffee County Colorado
23.3,Cheyenne County Colorado
16.6,Clear Creek County Colorado
17.7,Conejos County Colorado
20.5,Costilla County Colorado
24.3,Crowley County Colorado
21.2,Custer County Colorado
21.5,Delta County Colorado
18.2,Denver County Colorado
20.8,Dolores County Colorado
16.2,Douglas County Colorado
13.2,Eagle County Colorado
20.2,Elbert County Colorado
21.4,El Paso County Colorado
22.4,Fremont County Colorado
17.4,Garfield County Colorado
19.7,Gilpin County Colorado
18,Grand County Colorado
15.9,Gunnison County Colorado
19.5,Hinsdale County Colorado
20.9,Huerfano County Colorado
21.8,Jackson County Colorado
19.6,Jefferson County Colorado
24.9,Kiowa County Colorado
27.2,Kit Carson County Colorado
19.2,Lake County Colorado
16.7,La Plata County Colorado
19.3,Larimer County Colorado
24.3,Las Animas County Colorado
23.1,Lincoln County Colorado
23.7,Logan County Colorado
22.3,Mesa County Colorado
19.7,Mineral County Colorado
24.1,Moffat County Colorado
21.8,Montezuma County Colorado
20.1,Montrose County Colorado
28.8,Morgan County Colorado
25.5,Otero County Colorado
17.5,Ouray County Colorado
18.4,Park County Colorado
22.6,Phillips County Colorado
14.2,Pitkin County Colorado
25.5,Prowers County Colorado
26.6,Pueblo County Colorado
21.1,Rio Blanco County Colorado
22.7,Rio Grande County Colorado
13.4,Routt County Colorado
23,Saguache County Colorado
20.2,San Juan County Colorado
16.9,San Miguel County Colorado
24.1,Sedgwick County Colorado
14.5,Summit County Colorado
17.8,Teller County Colorado
23.2,Washington County Colorado
25.6,Weld County Colorado
25.1,Yuma County Colorado
18.6,Fairfield County Connecticut
24.6,Hartford County Connecticut
21.9,Litchfield County Connecticut
23.9,Middlesex County Connecticut
27.4,New Haven County Connecticut
25,New London County Connecticut
23.4,Tolland County Connecticut
30,Windham County Connecticut
33.8,Kent County Delaware
26.7,New Castle County Delaware
29.9,Sussex County Delaware
21,District of Columbia District of Columbia
25.2,Alachua County Florida
36.7,Baker County Florida
28.5,Bay County Florida
35.7,Bradford County Florida
28.4,Brevard County Florida
24.1,Broward County Florida
36.1,Calhoun County Florida
25.7,Charlotte County Florida
29.3,Citrus County Florida
28.2,Clay County Florida
20.9,Collier County Florida
34.9,Columbia County Florida
34.4,DeSoto County Florida
35.7,Dixie County Florida
28.4,Duval County Florida
30,Escambia County Florida
28.4,Flagler County Florida
26.1,Franklin County Florida
37.1,Gadsden County Florida
32.1,Gilchrist County Florida
35.5,Glades County Florida
31.1,Gulf County Florida
37.3,Hamilton County Florida
36.9,Hardee County Florida
34.4,Hendry County Florida
28.7,Hernando County Florida
30.2,Highlands County Florida
26.8,Hillsborough County Florida
30.6,Holmes County Florida
21.8,Indian River County Florida
33.9,Jackson County Florida
35.1,Jefferson County Florida
34.7,Lafayette County Florida
29.1,Lake County Florida
25.9,Lee County Florida
28.2,Leon County Florida
33.7,Levy County Florida
35.7,Liberty County Florida
36.3,Madison County Florida
25.1,Manatee County Florida
31.6,Marion County Florida
20.1,Martin County Florida
21.8,Miami-Dade County Florida
18.9,Monroe County Florida
27.8,Nassau County Florida
28.5,Okaloosa County Florida
31.7,Okeechobee County Florida
25.7,Orange County Florida
29,Osceola County Florida
22.4,Palm Beach County Florida
28.5,Pasco County Florida
23.8,Pinellas County Florida
32.1,Polk County Florida
33.8,Putnam County Florida
22.6,St. Johns County Florida
28.7,St. Lucie County Florida
28,Santa Rosa County Florida
20.2,Sarasota County Florida
24.9,Seminole County Florida
28.1,Sumter County Florida
31,Suwannee County Florida
35.9,Taylor County Florida
38,Union County Florida
25.8,Volusia County Florida
36.2,Wakulla County Florida
26.7,Walton County Florida
36.4,Washington County Florida
34.3,Appling County Georgia
30.8,Atkinson County Georgia
30.8,Bacon County Georgia
32.6,Baker County Georgia
32,Baldwin County Georgia
28.2,Banks County Georgia
32.2,Barrow County Georgia
29.4,Bartow County Georgia
33.4,Ben Hill County Georgia
30.1,Berrien County Georgia
30.3,Bibb County Georgia
30.1,Bleckley County Georgia
31,Brantley County Georgia
33.3,Brooks County Georgia
28.3,Bryan County Georgia
33,Bulloch County Georgia
35.9,Burke County Georgia
33.6,Butts County Georgia
31.7,Calhoun County Georgia
28.6,Camden County Georgia
32,Candler County Georgia
31.4,Carroll County Georgia
31,Catoosa County Georgia
31.5,Charlton County Georgia
26.8,Chatham County Georgia
30.5,Chattahoochee County Georgia
32.8,Chattooga County Georgia
27.9,Cherokee County Georgia
26.7,Clarke County Georgia
33.6,Clay County Georgia
36.1,Clayton County Georgia
32.7,Clinch County Georgia
23.4,Cobb County Georgia
30.5,Coffee County Georgia
32.6,Colquitt County Georgia
26.4,Columbia County Georgia
31.7,Cook County Georgia
29.6,Coweta County Georgia
30.7,Crawford County Georgia
33.8,Crisp County Georgia
30.9,Dade County Georgia
27.5,Dawson County Georgia
31.7,Decatur County Georgia
25.5,DeKalb County Georgia
35.8,Dodge County Georgia
31.7,Dooly County Georgia
38.1,Dougherty County Georgia
34.6,Douglas County Georgia
30.5,Early County Georgia
28.3,Echols County Georgia
31,Effingham County Georgia
35.5,Elbert County Georgia
30,Emanuel County Georgia
34.8,Evans County Georgia
29,Fannin County Georgia
25,Fayette County Georgia
27.4,Floyd County Georgia
21.9,Forsyth County Georgia
26.5,Franklin County Georgia
22.9,Fulton County Georgia
29.1,Gilmer County Georgia
28.6,Glascock County Georgia
28.2,Glynn County Georgia
28.5,Gordon County Georgia
32.3,Grady County Georgia
31.9,Greene County Georgia
25.3,Gwinnett County Georgia
27.6,Habersham County Georgia
29,Hall County Georgia
38.7,Hancock County Georgia
31.6,Haralson County Georgia
28.2,Harris County Georgia
28.4,Hart County Georgia
28.9,Heard County Georgia
28.5,Henry County Georgia
29.9,Houston County Georgia
31,Irwin County Georgia
26.4,Jackson County Georgia
29.8,Jasper County Georgia
28.5,Jeff Davis County Georgia
37.8,Jefferson County Georgia
31.9,Jenkins County Georgia
32.5,Johnson County Georgia
31,Jones County Georgia
33.2,Lamar County Georgia
29.2,Lanier County Georgia
35.2,Laurens County Georgia
30.8,Lee County Georgia
33.1,Liberty County Georgia
35.4,Lincoln County Georgia
30.5,Long County Georgia
31.3,Lowndes County Georgia
28.8,Lumpkin County Georgia
32.5,McDuffie County Georgia
31.5,McIntosh County Georgia
34.2,Macon County Georgia
31.7,Madison County Georgia
31.9,Marion County Georgia
32.3,Meriwether County Georgia
31.6,Miller County Georgia
31.3,Mitchell County Georgia
32.6,Monroe County Georgia
32.7,Montgomery County Georgia
31.5,Morgan County Georgia
27.7,Murray County Georgia
35.8,Muscogee County Georgia
31.7,Newton County Georgia
26.7,Oconee County Georgia
28.9,Oglethorpe County Georgia
25.6,Paulding County Georgia
33.7,Peach County Georgia
25.9,Pickens County Georgia
30.6,Pierce County Georgia
31.3,Pike County Georgia
26.4,Polk County Georgia
30.7,Pulaski County Georgia
32.3,Putnam County Georgia
31.2,Quitman County Georgia
29.2,Rabun County Georgia
36.5,Randolph County Georgia
33,Richmond County Georgia
33.1,Rockdale County Georgia
29,Schley County Georgia
33.8,Screven County Georgia
32.2,Seminole County Georgia
34,Spalding County Georgia
31.7,Stephens County Georgia
34.6,Stewart County Georgia
37.2,Sumter County Georgia
34.8,Talbot County Georgia
35.2,Taliaferro County Georgia
31.5,Tattnall County Georgia
33,Taylor County Georgia
30.6,Telfair County Georgia
38.6,Terrell County Georgia
32.6,Thomas County Georgia
32,Tift County Georgia
33.6,Toombs County Georgia
27.4,Towns County Georgia
34.8,Treutlen County Georgia
30.9,Troup County Georgia
32.6,Turner County Georgia
32,Twiggs County Georgia
26.6,Union County Georgia
34.4,Upson County Georgia
32,Walker County Georgia
28.3,Walton County Georgia
34.1,Ware County Georgia
37.2,Warren County Georgia
34.7,Washington County Georgia
33.4,Wayne County Georgia
31.1,Webster County Georgia
31.6,Wheeler County Georgia
28.6,White County Georgia
28.4,Whitfield County Georgia
31,Wilcox County Georgia
32.7,Wilkes County Georgia
32.1,Wilkinson County Georgia
31.6,Worth County Georgia
24.1,Hawaii County Hawaii
21.8,Honolulu County Hawaii
24.4,Kalawao County Hawaii
21.7,Kauai County Hawaii
23.3,Maui County Hawaii
23.5,Ada County Idaho
27.3,Adams County Idaho
29.2,Bannock County Idaho
26.6,Bear Lake County Idaho
26.6,Benewah County Idaho
33.7,Bingham County Idaho
18.4,Blaine County Idaho
25.8,Boise County Idaho
23.7,Bonner County Idaho
28.4,Bonneville County Idaho
25.6,Boundary County Idaho
30,Butte County Idaho
25.6,Camas County Idaho
30,Canyon County Idaho
24.7,Caribou County Idaho
30.8,Cassia County Idaho
29,Clark County Idaho
31.6,Clearwater County Idaho
26.9,Custer County Idaho
29.5,Elmore County Idaho
28.2,Franklin County Idaho
23.7,Fremont County Idaho
29.8,Gem County Idaho
30.8,Gooding County Idaho
28.1,Idaho County Idaho
27.5,Jefferson County Idaho
32.3,Jerome County Idaho
24.1,Kootenai County Idaho
24.8,Latah County Idaho
21.7,Lemhi County Idaho
29.3,Lewis County Idaho
25.7,Lincoln County Idaho
26,Madison County Idaho
30.1,Minidoka County Idaho
32.2,Nez Perce County Idaho
31.7,Oneida County Idaho
30.1,Owyhee County Idaho
27.5,Payette County Idaho
29.9,Power County Idaho
30.4,Shoshone County Idaho
25.5,Teton County Idaho
25.3,Twin Falls County Idaho
25.8,Valley County Idaho
28.9,Washington County Idaho
30.3,Adams County Illinois
32.7,Alexander County Illinois
28.9,Bond County Illinois
30.6,Boone County Illinois
30,Brown County Illinois
31,Bureau County Illinois
29.5,Calhoun County Illinois
30.5,Carroll County Illinois
30.3,Cass County Illinois
27.4,Champaign County Illinois
32.2,Christian County Illinois
31.1,Clark County Illinois
29.6,Clay County Illinois
28,Clinton County Illinois
29.4,Coles County Illinois
26.2,Cook County Illinois
32.6,Crawford County Illinois
28.7,Cumberland County Illinois
30.1,DeKalb County Illinois
30.3,De Witt County Illinois
30.2,Douglas County Illinois
24.8,DuPage County Illinois
32.5,Edgar County Illinois
27.3,Edwards County Illinois
27.1,Effingham County Illinois
32.2,Fayette County Illinois
30.7,Ford County Illinois
29.7,Franklin County Illinois
30.3,Fulton County Illinois
29.9,Gallatin County Illinois
30.4,Greene County Illinois
34.2,Grundy County Illinois
29.1,Hamilton County Illinois
28.1,Hancock County Illinois
31.1,Hardin County Illinois
31.1,Henderson County Illinois
28.5,Henry County Illinois
32.4,Iroquois County Illinois
27.9,Jackson County Illinois
30,Jasper County Illinois
33,Jefferson County Illinois
28.4,Jersey County Illinois
26.8,Jo Daviess County Illinois
