County,Percent Smokers,State Ab,State,CountyState
Wade Hampton Census Area,37.8, Alaska, Alaska,Wade Hampton Census Area  Alaska
Apache County,24.2, Arizona, Arizona,Apache County  Arizona
Cochise County,24.0, Arizona, Arizona,Cochise County  Arizona
Coconino County,20.3, Arizona, Arizona,Coconino County  Arizona
Gila County,27.0, Arizona, Arizona,Gila County  Arizona
Graham County,21.2, Arizona, Arizona,Graham County  Arizona
Greenlee County,21.4, Arizona, Arizona,Greenlee County  Arizona
La Paz County,28.5, Arizona, Arizona,La Paz County  Arizona
Maricopa County,19.6, Arizona, Arizona,Maricopa County  Arizona
Mohave County,31.0, Arizona, Arizona,Mohave County  Arizona
Navajo County,22.6, Arizona, Arizona,Navajo County  Arizona
Pima County,20.1, Arizona, Arizona,Pima County  Arizona
Pinal County,22.8, Arizona, Arizona,Pinal County  Arizona
Santa Cruz County,19.6, Arizona, Arizona,Santa Cruz County  Arizona
Yavapai County,24.9, Arizona, Arizona,Yavapai County  Arizona
Yuma County,18.9, Arizona, Arizona,Yuma County  Arizona
Arkansas County,27.9, Arkansas, Arkansas,Arkansas County  Arkansas
Ashley County,27.6, Arkansas, Arkansas,Ashley County  Arkansas
Baxter County,28.3, Arkansas, Arkansas,Baxter County  Arkansas
Benton County,21.9, Arkansas, Arkansas,Benton County  Arkansas
Boone County,26.9, Arkansas, Arkansas,Boone County  Arkansas
Bradley County,28.0, Arkansas, Arkansas,Bradley County  Arkansas
Calhoun County,29.8, Arkansas, Arkansas,Calhoun County  Arkansas
Carroll County,26.2, Arkansas, Arkansas,Carroll County  Arkansas
Chicot County,26.5, Arkansas, Arkansas,Chicot County  Arkansas
Clark County,24.1, Arkansas, Arkansas,Clark County  Arkansas
Clay County,31.6, Arkansas, Arkansas,Clay County  Arkansas
Cleburne County,27.4, Arkansas, Arkansas,Cleburne County  Arkansas
Cleveland County,27.3, Arkansas, Arkansas,Cleveland County  Arkansas
Columbia County,24.5, Arkansas, Arkansas,Columbia County  Arkansas
Conway County,27.5, Arkansas, Arkansas,Conway County  Arkansas
Craighead County,24.9, Arkansas, Arkansas,Craighead County  Arkansas
Crawford County,27.8, Arkansas, Arkansas,Crawford County  Arkansas
Crittenden County,28.4, Arkansas, Arkansas,Crittenden County  Arkansas
Cross County,30.3, Arkansas, Arkansas,Cross County  Arkansas
Dallas County,30.7, Arkansas, Arkansas,Dallas County  Arkansas
Desha County,26.4, Arkansas, Arkansas,Desha County  Arkansas
Drew County,24.0, Arkansas, Arkansas,Drew County  Arkansas
Faulkner County,23.1, Arkansas, Arkansas,Faulkner County  Arkansas
Franklin County,28.7, Arkansas, Arkansas,Franklin County  Arkansas
Fulton County,29.3, Arkansas, Arkansas,Fulton County  Arkansas
Garland County,29.9, Arkansas, Arkansas,Garland County  Arkansas
Grant County,28.7, Arkansas, Arkansas,Grant County  Arkansas
Greene County,29.5, Arkansas, Arkansas,Greene County  Arkansas
Hempstead County,26.7, Arkansas, Arkansas,Hempstead County  Arkansas
Hot Spring County,30.7, Arkansas, Arkansas,Hot Spring County  Arkansas
Howard County,29.1, Arkansas, Arkansas,Howard County  Arkansas
Independence County,26.9, Arkansas, Arkansas,Independence County  Arkansas
Izard County,28.7, Arkansas, Arkansas,Izard County  Arkansas
Jackson County,32.0, Arkansas, Arkansas,Jackson County  Arkansas
Jefferson County,28.2, Arkansas, Arkansas,Jefferson County  Arkansas
Johnson County,27.6, Arkansas, Arkansas,Johnson County  Arkansas
Lafayette County,28.8, Arkansas, Arkansas,Lafayette County  Arkansas
Lawrence County,29.6, Arkansas, Arkansas,Lawrence County  Arkansas
Lee County,31.9, Arkansas, Arkansas,Lee County  Arkansas
Lincoln County,30.2, Arkansas, Arkansas,Lincoln County  Arkansas
Little River County,29.0, Arkansas, Arkansas,Little River County  Arkansas
Logan County,29.8, Arkansas, Arkansas,Logan County  Arkansas
Lonoke County,25.5, Arkansas, Arkansas,Lonoke County  Arkansas
Madison County,29.2, Arkansas, Arkansas,Madison County  Arkansas
Marion County,29.1, Arkansas, Arkansas,Marion County  Arkansas
Miller County,31.4, Arkansas, Arkansas,Miller County  Arkansas
Mississippi County,29.9, Arkansas, Arkansas,Mississippi County  Arkansas
Monroe County,28.2, Arkansas, Arkansas,Monroe County  Arkansas
Montgomery County,28.4, Arkansas, Arkansas,Montgomery County  Arkansas
Nevada County,27.8, Arkansas, Arkansas,Nevada County  Arkansas
Newton County,26.7, Arkansas, Arkansas,Newton County  Arkansas
Ouachita County,26.9, Arkansas, Arkansas,Ouachita County  Arkansas
Perry County,30.2, Arkansas, Arkansas,Perry County  Arkansas
Phillips County,28.9, Arkansas, Arkansas,Phillips County  Arkansas
Pike County,27.8, Arkansas, Arkansas,Pike County  Arkansas
