County,State,Life expectancy 2010
Inyo County, California,78.49
Kern County, California,77.28
Kings County, California,78.77
Lake County, California,75.66
Lassen County, California,78.60
Los Angeles County, California,80.73
Madera County, California,78.91
Marin County, California,83.09
Mariposa County, California,79.83
Mendocino County, California,78.25
Merced County, California,78.78
Modoc County, California,77.49
Mono County, California,82.62
Monterey County, California,81.34
Napa County, California,80.20
Nevada County, California,81.06
Orange County, California,81.85
Placer County, California,81.04
Plumas County, California,78.22
Riverside County, California,79.75
Sacramento County, California,78.86
San Benito County, California,81.38
San Bernardino County, California,78.23
San Diego County, California,80.86
San Francisco County, California,81.11
San Joaquin County, California,78.12
San Luis Obispo County, California,80.82
San Mateo County, California,82.35
Santa Barbara County, California,81.38
Santa Clara County, California,82.70
Santa Cruz County, California,81.15
Shasta County, California,76.59
Sierra County, California,78.95
Siskiyou County, California,77.51
Solano County, California,79.15
Sonoma County, California,80.35
Stanislaus County, California,77.94
Sutter County, California,78.56
Tehama County, California,77.66
Trinity County, California,77.07
Tulare County, California,77.86
Tuolumne County, California,79.23
Ventura County, California,81.39
Yolo County, California,80.07
Yuba County, California,76.10
Adams County, Colorado,79.85
Alamosa County, Colorado,77.36
Arapahoe County, Colorado,79.85
Archuleta County, Colorado,81.87
Baca County, Colorado,77.98
Bent County, Colorado,76.78
Boulder County, Colorado,79.85
Broomfield County, Colorado,79.85
Chaffee County, Colorado,80.76
Cheyenne County, Colorado,79.60
Clear Creek County, Colorado,81.25
Conejos County, Colorado,78.07
Costilla County, Colorado,77.90
Crowley County, Colorado,77.88
Custer County, Colorado,81.20
Delta County, Colorado,78.93
Denver County, Colorado,79.85
Dolores County, Colorado,79.45
Douglas County, Colorado,83.27
Eagle County, Colorado,85.35
El Paso County, Colorado,79.82
Elbert County, Colorado,81.37
Fremont County, Colorado,77.77
Garfield County, Colorado,80.37
Gilpin County, Colorado,80.56
Grand County, Colorado,82.35
Gunnison County, Colorado,81.57
Hinsdale County, Colorado,83.24
Huerfano County, Colorado,77.44
Jackson County, Colorado,80.23
Jefferson County, Colorado,79.85
Kiowa County, Colorado,78.66
Kit Carson County, Colorado,79.37
La Plata County, Colorado,81.39
Lake County, Colorado,79.64
Larimer County, Colorado,81.47
Las Animas County, Colorado,77.57
Lincoln County, Colorado,79.48
Logan County, Colorado,79.46
Mesa County, Colorado,78.89
Mineral County, Colorado,81.23
Moffat County, Colorado,78.54
Montezuma County, Colorado,77.51
Montrose County, Colorado,79.50
Morgan County, Colorado,78.85
Otero County, Colorado,76.72
Ouray County, Colorado,82.68
Park County, Colorado,82.09
Phillips County, Colorado,80.27
Pitkin County, Colorado,86.00
Prowers County, Colorado,77.55
Pueblo County, Colorado,77.53
Rio Blanco County, Colorado,79.19
Rio Grande County, Colorado,77.72
Routt County, Colorado,82.30
Saguache County, Colorado,79.55
San Juan County, Colorado,79.63
San Miguel County, Colorado,83.42
Sedgwick County, Colorado,78.26
Summit County, Colorado,86.33
Teller County, Colorado,80.60
Washington County, Colorado,79.99
Weld County, Colorado,79.85
Yuma County, Colorado,79.29
Fairfield County, Connecticut,81.55
Hartford County, Connecticut,80.07
Litchfield County, Connecticut,80.69
Middlesex County, Connecticut,80.78
New Haven County, Connecticut,79.79
New London County, Connecticut,80.26
Tolland County, Connecticut,81.19
Windham County, Connecticut,78.87
Kent County, Delaware,77.34
New Castle County, Delaware,78.49
Sussex County, Delaware,78.46
District of Columbia, District of Columbia,76.19
Alachua County, Florida,78.27
Baker County, Florida,75.10
Bay County, Florida,76.67
Bradford County, Florida,75.84
Brevard County, Florida,78.55
Broward County, Florida,79.23
Calhoun County, Florida,75.91
Charlotte County, Florida,80.22
Citrus County, Florida,77.20
Clay County, Florida,77.93
Collier County, Florida,82.55
Columbia County, Florida,75.24
DeSoto County, Florida,79.13
Dixie County, Florida,75.21
Duval County, Florida,76.31
Escambia County, Florida,76.17
Flagler County, Florida,79.57
Franklin County, Florida,76.45
Gadsden County, Florida,74.76
Gilchrist County, Florida,76.73
Glades County, Florida,79.20
Gulf County, Florida,76.52
Hamilton County, Florida,75.77
Hardee County, Florida,78.23
Hendry County, Florida,76.71
Hernando County, Florida,77.42
Highlands County, Florida,78.79
Hillsborough County, Florida,78.20
Holmes County, Florida,74.78
Indian River County, Florida,80.08
