State,County,Obesity,Min Wage,Life expectancy 2010,Percent Smokers,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,Unemployment_rate_2010
Alabama,Cullman County,32.4,7.25,75.48,27.6,2769,19118,21887,10.4
Alabama,Dale County,35.3,7.25,76.33,24.3,3104,16622,19726,8.8
Alabama,Dallas County,41.4,7.25,72.48,27.7,6924,25741,32665,16.9
Arkansas,Dallas County,33,7.25,72.48,27.7,6924,25741,32665,16.9
Iowa,Dallas County,29.4,7.25,72.48,27.7,6924,25741,32665,16.9
Missouri,Dallas County,32.9,7.35,72.48,27.7,6924,25741,32665,16.9
Texas,Dallas County,30.3,7.25,72.48,27.7,6924,25741,32665,16.9
Alabama,DeKalb County,32.4,7.25,75.33,27.2,2455,22504,24959,12.7
Georgia,DeKalb County,25.5,7.25,75.33,27.2,2455,22504,24959,12.7
Illinois,DeKalb County,30.1,7.25,75.33,27.2,2455,22504,24959,12.7
Indiana,DeKalb County,29,7.25,75.33,27.2,2455,22504,24959,12.7
Missouri,DeKalb County,35.4,7.35,75.33,27.2,2455,22504,24959,12.7
Tennessee,DeKalb County,31.9,7.25,75.33,27.2,2455,22504,24959,12.7
Alabama,Elmore County,30.6,7.25,75.95,26.9,2848,18377,21225,9.1
Idaho,Elmore County,29.5,7.25,75.95,26.9,2848,18377,21225,9.1
Alabama,Escambia County,36.9,7.25,74.3,28.6,2245,15798,18043,11.8
Florida,Escambia County,30,7.79,74.3,28.6,2245,15798,18043,11.8
Alabama,Etowah County,31.8,7.25,73.86,29.1,4446,28869,33315,10.9
Alabama,Fayette County,36.4,7.25,74.26,26.8,1427,5977,7404,13.0
Georgia,Fayette County,25,7.25,74.26,26.8,1427,5977,7404,13.0
Illinois,Fayette County,32.2,7.25,74.26,26.8,1427,5977,7404,13.0
Indiana,Fayette County,34.4,7.25,74.26,26.8,1427,5977,7404,13.0
Iowa,Fayette County,34.9,7.25,74.26,26.8,1427,5977,7404,13.0
Kentucky,Fayette County,28.9,7.25,74.26,26.8,1427,5977,7404,13.0
Ohio,Fayette County,31.3,7.85,74.26,26.8,1427,5977,7404,13.0
Pennsylvania,Fayette County,34.6,7.25,74.26,26.8,1427,5977,7404,13.0
Tennessee,Fayette County,36.9,7.25,74.26,26.8,1427,5977,7404,13.0
Texas,Fayette County,27.8,7.25,74.26,26.8,1427,5977,7404,13.0
West Virginia,Fayette County,33.4,7.25,74.26,26.8,1427,5977,7404,13.0
Alabama,Franklin County,34.3,7.25,73.57,26.9,1656,10694,12350,10.7
Arkansas,Franklin County,33.6,7.25,73.57,26.9,1656,10694,12350,10.7
Florida,Franklin County,26.1,7.79,73.57,26.9,1656,10694,12350,10.7
Georgia,Franklin County,26.5,7.25,73.57,26.9,1656,10694,12350,10.7
Idaho,Franklin County,28.2,7.25,73.57,26.9,1656,10694,12350,10.7
Illinois,Franklin County,29.7,7.25,73.57,26.9,1656,10694,12350,10.7
Indiana,Franklin County,28.6,7.25,73.57,26.9,1656,10694,12350,10.7
Iowa,Franklin County,31,7.25,73.57,26.9,1656,10694,12350,10.7
Kansas,Franklin County,33.3,7.25,73.57,26.9,1656,10694,12350,10.7
Kentucky,Franklin County,31.9,7.25,73.57,26.9,1656,10694,12350,10.7
Maine,Franklin County,30.2,7.5,73.57,26.9,1656,10694,12350,10.7
Massachusetts,Franklin County,24.9,8.0,73.57,26.9,1656,10694,12350,10.7
Mississippi,Franklin County,41.1,7.25,73.57,26.9,1656,10694,12350,10.7
Missouri,Franklin County,34.5,7.35,73.57,26.9,1656,10694,12350,10.7
Nebraska,Franklin County,31.7,7.25,73.57,26.9,1656,10694,12350,10.7
