State,County,Obesity,Min Wage,Life expectancy 2010,Percent Smokers,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,Unemployment_rate_2010
New Jersey,Union County,23.2,7.25,73.76,27.5,206,36697,36903,11.3
New Mexico,Union County,26,7.5,73.76,27.5,206,36697,36903,11.3
North Carolina,Union County,27.4,7.25,73.76,27.5,206,36697,36903,11.3
Ohio,Union County,34.2,7.85,73.76,27.5,206,36697,36903,11.3
Oregon,Union County,28,8.95,73.76,27.5,206,36697,36903,11.3
Pennsylvania,Union County,29.5,7.25,73.76,27.5,206,36697,36903,11.3
South Carolina,Union County,35.9,7.25,73.76,27.5,206,36697,36903,11.3
South Dakota,Union County,30.1,7.25,73.76,27.5,206,36697,36903,11.3
Tennessee,Union County,34,7.25,73.76,27.5,206,36697,36903,11.3
Arkansas,Van Buren County,33.2,7.25,77.27,29.0,247,3588,3835,11.2
Iowa,Van Buren County,30.2,7.25,77.27,29.0,247,3588,3835,11.2
Michigan,Van Buren County,31.8,7.25,77.27,29.0,247,3588,3835,11.2
Tennessee,Van Buren County,33.5,7.25,77.27,29.0,247,3588,3835,11.2
Arkansas,White County,33.4,7.25,76.12,24.2,648,5098,5746,8.2
Georgia,White County,28.6,7.25,76.12,24.2,648,5098,5746,8.2
Illinois,White County,30.6,7.25,76.12,24.2,648,5098,5746,8.2
Indiana,White County,34.6,7.25,76.12,24.2,648,5098,5746,8.2
Tennessee,White County,30.3,7.25,76.12,24.2,648,5098,5746,8.2
Arkansas,Woodruff County,35.6,7.25,73.41,29.4,349,4376,4725,10.4
Arkansas,Yell County,32.5,7.25,75.66,28.0,344,4220,4564,8.1
California,Alameda County,20.7,8.0,80.92,13.9,45,3498,3543,10.9
California,Alpine County,24,8.0,78.83,19.1,401,4709,5110,12.9
California,Amador County,23,8.0,79.56,22.7,253,2639,2892,14.1
California,Butte County,24.3,8.0,77.95,21.1,400,5279,5679,13.9
Idaho,Butte County,30,7.25,77.95,21.1,400,5279,5679,13.9
South Dakota,Butte County,30.3,7.25,77.95,21.1,400,5279,5679,13.9
California,Calaveras County,25.8,8.0,79.71,20.2,280,7009,7289,14.4
California,Colusa County,22.6,8.0,79.65,19.8,221,2653,2874,20.8
California,Contra Costa County,23.7,8.0,80.95,13.9,73,583,656,11.0
California,Del Norte County,25.5,8.0,76.21,27.4,220,3223,3443,13.2
California,El Dorado County,20.3,8.0,80.83,17.2,100,4953,5053,12.2
California,Fresno County,29.4,8.0,78.63,17.3,368,5034,5402,16.7
California,Glenn County,26.8,8.0,78.17,21.6,220,2964,3184,15.4
California,Humboldt County,26.5,8.0,77.23,22.8,367,5604,5971,10.6
Iowa,Humboldt County,33.6,7.25,77.23,22.8,367,5604,5971,10.6
Nevada,Humboldt County,27.1,7.25,77.23,22.8,367,5604,5971,10.6
California,Imperial County,23.5,8.0,79.92,16.9,247,7334,7581,28.8
California,Inyo County,23.8,8.0,78.49,20.8,231,6711,6942,9.7
California,Kern County,27.8,8.0,77.28,18.6,83,4641,4724,15.7
California,Kings County,24.2,8.0,78.77,17.9,230,7281,7511,16.1
New York,Kings County,23.2,7.25,78.77,17.9,230,7281,7511,16.1
California,Lake County,26.7,8.0,75.66,24.8,110,9011,9121,15.1
Colorado,Lake County,19.2,7.78,75.66,24.8,110,9011,9121,15.1
Florida,Lake County,29.1,7.79,75.66,24.8,110,9011,9121,15.1
Illinois,Lake County,25.2,7.25,75.66,24.8,110,9011,9121,15.1
Indiana,Lake County,35.9,7.25,75.66,24.8,110,9011,9121,15.1
Michigan,Lake County,31.6,7.25,75.66,24.8,110,9011,9121,15.1
Minnesota,Lake County,29.5,7.25,75.66,24.8,110,9011,9121,15.1
Montana,Lake County,27.3,7.25,75.66,24.8,110,9011,9121,15.1
Ohio,Lake County,28.3,7.85,75.66,24.8,110,9011,9121,15.1
Oregon,Lake County,29.9,8.95,75.66,24.8,110,9011,9121,15.1
South Dakota,Lake County,30.5,7.25,75.66,24.8,110,9011,9121,15.1
Tennessee,Lake County,32.9,7.25,75.66,24.8,110,9011,9121,15.1
California,Lassen County,25.6,8.0,78.6,24.5,276,4217,4493,14.0
California,Los Angeles County,21.3,8.0,80.73,14.3,493,8676,9169,12.5
California,Madera County,29.7,8.0,78.91,19.9,331,10287,10618,16.6
California,Marin County,15.4,8.0,83.09,12.4,295,10042,10337,7.9
California,Mariposa County,23.8,8.0,79.83,19.3,133,11653,11786,12.9
California,Mendocino County,24.8,8.0,78.25,23.7,923,14837,15760,11.6
California,Merced County,31.3,8.0,78.78,18.1,88,4628,4716,18.0
California,Modoc County,25.1,8.0,77.49,21.7,75,4550,4625,15.2
California,Mono County,20.8,8.0,82.62,18.0,86,4440,4526,10.2
California,Monterey County,22.8,8.0,81.34,15.4,73,4362,4435,12.7
California,Napa County,23.6,8.0,80.2,15.6,206,5669,5875,10.3
California,Orange County,20.4,8.0,81.85,12.5,96,3626,3722,9.7
Florida,Orange County,25.7,7.79,81.85,12.5,96,3626,3722,9.7
Indiana,Orange County,31.2,7.25,81.85,12.5,96,3626,3722,9.7
New York,Orange County,23.8,7.25,81.85,12.5,96,3626,3722,9.7
North Carolina,Orange County,20.8,7.25,81.85,12.5,96,3626,3722,9.7
Texas,Orange County,32.9,7.25,81.85,12.5,96,3626,3722,9.7
Vermont,Orange County,28.1,7.25,81.85,12.5,96,3626,3722,9.7
Virginia,Orange County,32.6,7.25,81.85,12.5,96,3626,3722,9.7
California,Placer County,22.8,8.0,81.04,14.9,17,1509,1526,11.6
California,Plumas County,23,8.0,78.22,21.2,1243,14905,16148,18.2
California,Riverside County,27,8.0,79.75,17.7,1625,21232,22857,13.8
California,Sacramento County,27.7,8.0,78.86,17.5,281,3927,4208,12.6
California,San Benito County,24.3,8.0,81.38,15.3,75,2858,2933,15.1
California,San Bernardino County,28.2,8.0,78.23,18.7,377,40781,41158,13.5
California,San Diego County,23.1,8.0,80.86,14.7,435,36220,36655,10.8
California,San Joaquin County,31,8.0,78.12,19.1,216,3492,3708,16.5
California,San Luis Obispo County,20,8.0,80.82,14.1,107,3074,3181,10.1
California,San Mateo County,20,8.0,82.35,11.7,115,4507,4622,8.4
California,Santa Barbara County,19.2,8.0,81.38,13.7,77,4606,4683,9.7
California,Santa Clara County,21,8.0,82.7,11.4,85,6039,6124,10.4
California,Shasta County,28,8.0,76.59,23.6,187,3039,3226,16.8
California,Sierra County,23.4,8.0,78.95,22.3,2068,14628,16696,15.3
New Mexico,Sierra County,23.3,7.5,78.95,22.3,2068,14628,16696,15.3
California,Siskiyou County,23.3,8.0,77.51,22.0,31,3419,3450,16.8
California,Solano County,27.1,8.0,79.15,16.7,932,10970,11902,12.6
California,Sonoma County,22.5,8.0,80.35,17.4,222,7473,7695,10.8
California,Stanislaus County,30.8,8.0,77.94,19.4,284,12044,12328,16.9
California,Sutter County,25.9,8.0,78.56,19.3,291,11756,12047,18.4
California,Tehama County,26,8.0,77.66,24.6,353,16327,16680,15.4
California,Trinity County,25.1,8.0,77.07,24.0,525,15461,15986,17.0
Texas,Trinity County,31.5,7.25,77.07,24.0,525,15461,15986,17.0
California,Tulare County,29.5,8.0,77.86,17.3,90,2616,2706,17.2
California,Tuolumne County,22.7,8.0,79.23,23.1,10022,104862,114884,15.2
California,Ventura County,21.9,8.0,81.39,14.5,372,6017,6389,10.8
California,Yolo County,22.9,8.0,80.07,13.7,1170,17004,18174,12.1
California,Yuba County,30.5,8.0,76.1,21.6,278,12326,12604,17.8
Colorado,Adams County,25,7.78,79.85,22.6,126,3896,4022,10.0
Idaho,Adams County,27.3,7.25,79.85,22.6,126,3896,4022,10.0
Illinois,Adams County,30.3,7.25,79.85,22.6,126,3896,4022,10.0
Indiana,Adams County,30.4,7.25,79.85,22.6,126,3896,4022,10.0
Iowa,Adams County,33.8,7.25,79.85,22.6,126,3896,4022,10.0
Mississippi,Adams County,36.1,7.25,79.85,22.6,126,3896,4022,10.0
Nebraska,Adams County,28.9,7.25,79.85,22.6,126,3896,4022,10.0
North Dakota,Adams County,33.1,7.25,79.85,22.6,126,3896,4022,10.0
Ohio,Adams County,30.7,7.85,79.85,22.6,126,3896,4022,10.0
Pennsylvania,Adams County,28.3,7.25,79.85,22.6,126,3896,4022,10.0
Washington,Adams County,37.3,9.19,79.85,22.6,126,3896,4022,10.0
Wisconsin,Adams County,30.2,7.25,79.85,22.6,126,3896,4022,10.0
Colorado,Alamosa County,20.5,7.78,77.36,20.3,404,20605,21009,9.0
Colorado,Arapahoe County,20.7,7.78,79.85,18.2,505,21441,21946,8.6
Colorado,Archuleta County,17,7.78,81.87,19.5,325,5691,6016,10.6
Colorado,Baca County,21.8,7.78,77.98,22.7,1084,9571,10655,4.9
Colorado,Bent County,24,7.78,76.78,28.9,92,4162,4254,8.1
Colorado,Chaffee County,16.2,7.78,80.76,22.8,423,8522,8945,7.7
Colorado,Cheyenne County,23.3,7.78,79.6,21.6,42,750,792,4.1
Kansas,Cheyenne County,32.1,7.25,79.6,21.6,42,750,792,4.1
Nebraska,Cheyenne County,28.4,7.25,79.6,21.6,42,750,792,4.1
Colorado,Clear Creek County,16.6,7.78,81.25,18.5,137,5619,5756,8.1
Colorado,Conejos County,17.7,7.78,78.07,19.1,1532,47253,48785,9.6
Colorado,Costilla County,20.5,7.78,77.9,22.3,912,29750,30662,10.6
Colorado,Crowley County,24.3,7.78,77.88,27.6,842,26298,27140,9.1
Colorado,Custer County,21.2,7.78,81.2,23.0,876,31567,32443,6.6
Idaho,Custer County,26.9,7.25,81.2,23.0,876,31567,32443,6.6
Montana,Custer County,24.2,7.25,81.2,23.0,876,31567,32443,6.6
Nebraska,Custer County,31.7,7.25,81.2,23.0,876,31567,32443,6.6
Oklahoma,Custer County,28.9,7.25,81.2,23.0,876,31567,32443,6.6
South Dakota,Custer County,24.9,7.25,81.2,23.0,876,31567,32443,6.6
Colorado,Delta County,21.5,7.78,78.93,23.7,256,14064,14320,10.7
Michigan,Delta County,31.4,7.25,78.93,23.7,256,14064,14320,10.7
Texas,Delta County,29.9,7.25,78.93,23.7,256,14064,14320,10.7
Colorado,Dolores County,20.8,7.78,79.45,21.9,828,28594,29422,17.7
Colorado,Douglas County,16.2,7.78,83.27,11.3,208,11091,11299,7.0
Georgia,Douglas County,34.6,7.25,83.27,11.3,208,11091,11299,7.0
Illinois,Douglas County,30.2,7.25,83.27,11.3,208,11091,11299,7.0
Kansas,Douglas County,25.1,7.25,83.27,11.3,208,11091,11299,7.0
Minnesota,Douglas County,26.9,7.25,83.27,11.3,208,11091,11299,7.0
Missouri,Douglas County,32,7.35,83.27,11.3,208,11091,11299,7.0
Nebraska,Douglas County,28.4,7.25,83.27,11.3,208,11091,11299,7.0
Nevada,Douglas County,22.5,7.25,83.27,11.3,208,11091,11299,7.0
Oregon,Douglas County,32.8,8.95,83.27,11.3,208,11091,11299,7.0
South Dakota,Douglas County,29.3,7.25,83.27,11.3,208,11091,11299,7.0
Washington,Douglas County,28.8,9.19,83.27,11.3,208,11091,11299,7.0
Wisconsin,Douglas County,29.7,7.25,83.27,11.3,208,11091,11299,7.0
Colorado,Eagle County,13.2,7.78,85.35,14.0,138,7639,7777,8.5
Colorado,Elbert County,20.2,7.78,81.37,16.7,714,19599,20313,8.1
Georgia,Elbert County,35.5,7.25,81.37,16.7,714,19599,20313,8.1
Colorado,El Paso County,21.4,7.78,79.82,19.6,287,3514,3801,9.3
Texas,El Paso County,23.4,7.25,79.82,19.6,287,3514,3801,9.3
Colorado,Fremont County,22.4,7.78,77.77,29.7,67,6277,6344,11.7
Idaho,Fremont County,23.7,7.25,77.77,29.7,67,6277,6344,11.7
Iowa,Fremont County,33.3,7.25,77.77,29.7,67,6277,6344,11.7
Wyoming,Fremont County,25.6,5.15,77.77,29.7,67,6277,6344,11.7
Colorado,Garfield County,17.4,7.78,80.37,20.6,8,10742,10750,10.3
Montana,Garfield County,24.3,7.25,80.37,20.6,8,10742,10750,10.3
Nebraska,Garfield County,27.6,7.25,80.37,20.6,8,10742,10750,10.3
Oklahoma,Garfield County,32.8,7.25,80.37,20.6,8,10742,10750,10.3
Utah,Garfield County,26.1,7.25,80.37,20.6,8,10742,10750,10.3
Washington,Garfield County,33.7,9.19,80.37,20.6,8,10742,10750,10.3
Colorado,Gilpin County,19.7,7.78,80.56,19.9,2,1640,1642,8.0
Colorado,Grand County,18,7.78,82.35,19.6,56583,138893,195476,8.8
Utah,Grand County,20.6,7.25,82.35,19.6,56583,138893,195476,8.8
Colorado,Gunnison County,15.9,7.78,81.57,14.1,21,273,294,6.4
Colorado,Hinsdale County,19.5,7.78,83.24,14.9,1251,3579,4830,5.7
Colorado,Huerfano County,20.9,7.78,77.44,22.6,9383,39586,48969,14.0
Colorado,Kiowa County,24.9,7.78,78.66,20.4,31951,77527,109478,6.4
Kansas,Kiowa County,29.3,7.25,78.66,20.4,31951,77527,109478,6.4
Oklahoma,Kiowa County,32.1,7.25,78.66,20.4,31951,77527,109478,6.4
Colorado,Kit Carson County,27.2,7.78,79.37,24.3,2768,7031,9799,4.5
Colorado,La Plata County,16.7,7.78,81.39,17.2,97748,279376,377124,7.1
Colorado,Larimer County,19.3,7.78,81.47,17.0,1540,4506,6046,7.6
Colorado,Las Animas County,24.3,7.78,77.57,24.6,5360,21272,26632,10.6
Colorado,Mesa County,22.3,7.78,78.89,22.7,55367,185503,240870,11.0
Colorado,Mineral County,19.7,7.78,81.23,16.2,9327,30200,39527,7.0
Montana,Mineral County,29.7,7.25,81.23,16.2,9327,30200,39527,7.0
Nevada,Mineral County,29.5,7.25,81.23,16.2,9327,30200,39527,7.0
West Virginia,Mineral County,34.2,7.25,81.23,16.2,9327,30200,39527,7.0
Colorado,Moffat County,24.1,7.78,78.54,24.0,3661,12638,16299,9.9
Colorado,Montezuma County,21.8,7.78,77.51,20.1,1485,4291,5776,9.1
Colorado,Montrose County,20.1,7.78,79.5,21.0,422099,1355708,1777807,11.0
Colorado,Otero County,25.5,7.78,76.72,25.3,2373,11790,14163,9.2
New Mexico,Otero County,24.5,7.5,76.72,25.3,2373,11790,14163,9.2
Colorado,Ouray County,17.5,7.78,82.68,15.1,744,1927,2671,9.8
Colorado,Park County,18.4,7.78,82.09,19.8,4447,18456,22903,8.1
Montana,Park County,22.7,7.25,82.09,19.8,4447,18456,22903,8.1
Wyoming,Park County,21.2,5.15,82.09,19.8,4447,18456,22903,8.1
Colorado,Pitkin County,14.2,7.78,86.0,13.8,381,1725,2106,8.1
Colorado,Prowers County,25.5,7.78,77.55,22.5,173,916,1089,7.0
Colorado,Pueblo County,26.6,7.78,77.53,25.6,19364,45548,64912,10.4
Colorado,Rio Blanco County,21.1,7.78,79.19,19.0,2134,9081,11215,8.9
Colorado,Rio Grande County,22.7,7.78,77.72,20.2,2232,7612,9844,10.6
Colorado,Routt County,13.4,7.78,82.3,14.9,71435,235621,307056,9.3
Colorado,Saguache County,23,7.78,79.55,21.6,6107,21096,27203,10.1
Colorado,San Juan County,20.2,7.78,79.63,20.2,512,1794,2306,12.5
New Mexico,San Juan County,30.3,7.5,79.63,20.2,512,1794,2306,12.5
Utah,San Juan County,28.5,7.25,79.63,20.2,512,1794,2306,12.5
Washington,San Juan County,18.5,9.19,79.63,20.2,512,1794,2306,12.5
Colorado,San Miguel County,16.9,7.78,83.42,12.2,103149,297932,401081,7.8
New Mexico,San Miguel County,22.4,7.5,83.42,12.2,103149,297932,401081,7.8
Colorado,Sedgwick County,24.1,7.78,78.26,24.0,104843,244017,348860,7.4
Kansas,Sedgwick County,30,7.25,78.26,24.0,104843,244017,348860,7.4
Colorado,Summit County,14.5,7.78,86.33,14.5,2951,7945,10896,6.7
Ohio,Summit County,29.2,7.85,86.33,14.5,2951,7945,10896,6.7
Utah,Summit County,15.3,7.25,86.33,14.5,2951,7945,10896,6.7
Colorado,Teller County,17.8,7.78,80.6,23.6,152271,414881,567152,9.4
Connecticut,Fairfield County,18.6,8.25,81.55,15.1,6868,21491,28359,8.4
Ohio,Fairfield County,30.9,7.85,81.55,15.1,6868,21491,28359,8.4
South Carolina,Fairfield County,39.7,7.25,81.55,15.1,6868,21491,28359,8.4
Connecticut,Hartford County,24.6,8.25,80.07,18.1,10120,25554,35674,9.5
Connecticut,Litchfield County,21.9,8.25,80.69,20.1,16587,38753,55340,8.7
Connecticut,Middlesex County,23.9,8.25,80.78,18.9,49711,125741,175452,7.9
Massachusetts,Middlesex County,23.3,8.0,80.78,18.9,49711,125741,175452,7.9
New Jersey,Middlesex County,23.4,7.25,80.78,18.9,49711,125741,175452,7.9
Virginia,Middlesex County,28.5,7.25,80.78,18.9,49711,125741,175452,7.9
Connecticut,New Haven County,27.4,8.25,79.79,20.9,7597,29202,36799,10.0
Connecticut,New London County,25,8.25,80.26,20.0,8704,32549,41253,8.9
Connecticut,Tolland County,23.4,8.25,81.19,16.5,102,402,504,7.8
Connecticut,Windham County,30,8.25,78.87,21.3,2539,7908,10447,10.3
Vermont,Windham County,23.5,7.25,78.87,21.3,2539,7908,10447,10.3
Delaware,Kent County,33.8,7.25,77.34,24.1,21130,46685,67815,8.9
Maryland,Kent County,27.2,7.25,77.34,24.1,21130,46685,67815,8.9
Michigan,Kent County,30.7,7.25,77.34,24.1,21130,46685,67815,8.9
Rhode Island,Kent County,27.7,7.75,77.34,24.1,21130,46685,67815,8.9
Texas,Kent County,29.2,7.25,77.34,24.1,21130,46685,67815,8.9
Delaware,New Castle County,26.7,7.25,78.49,20.4,12591,37526,50117,8.3
Delaware,Sussex County,29.9,7.25,78.46,25.1,40722,101536,142258,8.5
New Jersey,Sussex County,25.8,7.25,78.46,25.1,40722,101536,142258,8.5
Virginia,Sussex County,37.3,7.25,78.46,25.1,40722,101536,142258,8.5
Florida,Alachua County,25.2,7.79,78.27,17.9,4020,12838,16858,8.0
Florida,Baker County,36.7,7.79,75.1,28.3,437,2187,2624,11.3
Georgia,Baker County,32.6,7.25,75.1,28.3,437,2187,2624,11.3
Oregon,Baker County,25.1,8.95,75.1,28.3,437,2187,2624,11.3
Florida,Bay County,28.5,7.79,76.67,26.3,54699,138245,192944,10.5
Michigan,Bay County,33.5,7.25,76.67,26.3,54699,138245,192944,10.5
Florida,Bradford County,35.7,7.79,75.84,29.5,2695,7155,9850,9.9
Pennsylvania,Bradford County,34.8,7.25,75.84,29.5,2695,7155,9850,9.9
Florida,Brevard County,28.4,7.79,78.55,24.7,22393,86636,109029,11.3
Florida,Broward County,24.1,7.79,79.23,17.9,7283,20869,28152,10.2
Florida,Charlotte County,25.7,7.79,80.22,25.7,1481,5202,6683,12.7
Virginia,Charlotte County,31.7,7.25,80.22,25.7,1481,5202,6683,12.7
Florida,Citrus County,29.3,7.79,77.2,29.2,163,1662,1825,13.7
Florida,Collier County,20.9,7.79,82.55,19.5,370,1424,1794,11.6
Florida,DeSoto County,34.4,7.79,79.13,27.6,259,1799,2058,12.2
Mississippi,DeSoto County,32.8,7.25,79.13,27.6,259,1799,2058,12.2
Florida,Dixie County,35.7,7.79,75.21,34.4,29,195,224,12.9
Florida,Duval County,28.4,7.79,76.31,24.1,137,960,1097,11.4
Texas,Duval County,30.1,7.25,76.31,24.1,137,960,1097,11.4
Florida,Flagler County,28.4,7.79,79.57,27.1,371,1272,1643,12.4
Florida,Gadsden County,37.1,7.79,74.76,23.6,85,691,776,11.8
Florida,Gilchrist County,32.1,7.79,76.73,27.9,742,5387,6129,10.8
Florida,Glades County,35.5,7.79,79.2,27.8,1498,7959,9457,9.5
Florida,Gulf County,31.1,7.79,76.52,28.9,1437,7809,9246,10.3
Florida,Hamilton County,37.3,7.79,75.77,31.4,2193,10381,12574,11.4
Illinois,Hamilton County,29.1,7.25,75.77,31.4,2193,10381,12574,11.4
Indiana,Hamilton County,22,7.25,75.77,31.4,2193,10381,12574,11.4
Iowa,Hamilton County,31.7,7.25,75.77,31.4,2193,10381,12574,11.4
Kansas,Hamilton County,34,7.25,75.77,31.4,2193,10381,12574,11.4
Nebraska,Hamilton County,29.9,7.25,75.77,31.4,2193,10381,12574,11.4
New York,Hamilton County,26.1,7.25,75.77,31.4,2193,10381,12574,11.4
Ohio,Hamilton County,28.4,7.85,75.77,31.4,2193,10381,12574,11.4
Tennessee,Hamilton County,30.6,7.25,75.77,31.4,2193,10381,12574,11.4
Texas,Hamilton County,29.1,7.25,75.77,31.4,2193,10381,12574,11.4
Florida,Hardee County,36.9,7.79,78.23,23.3,22144,124719,146863,11.5
Florida,Hendry County,34.4,7.79,76.71,24.1,22,269,291,14.0
Florida,Hernando County,28.7,7.79,77.42,28.3,693,9097,9790,13.5
Florida,Highlands County,30.2,7.79,78.79,26.3,381,5975,6356,12.5
Florida,Hillsborough County,26.8,7.79,78.2,20.8,2551,9788,12339,10.7
New Hampshire,Hillsborough County,26.9,7.25,78.2,20.8,2551,9788,12339,10.7
Florida,Holmes County,30.6,7.79,74.78,29.4,406,6389,6795,10.4
Mississippi,Holmes County,41.1,7.25,74.78,29.4,406,6389,6795,10.4
Ohio,Holmes County,29.1,7.85,74.78,29.4,406,6389,6795,10.4
Florida,Indian River County,21.8,7.79,80.08,24.3,94,3267,3361,13.9
Florida,Leon County,28.2,7.79,79.0,17.0,123,1788,1911,7.9
Texas,Leon County,29.4,7.25,79.0,17.0,123,1788,1911,7.9
Florida,Levy County,33.7,7.79,75.44,28.2,12340,102026,114366,11.9
Florida,Liberty County,35.7,7.79,76.11,27.8,1880,6717,8597,8.8
Georgia,Liberty County,33.1,7.25,76.11,27.8,1880,6717,8597,8.8
Montana,Liberty County,27.1,7.25,76.11,27.8,1880,6717,8597,8.8
Texas,Liberty County,31.9,7.25,76.11,27.8,1880,6717,8597,8.8
Florida,Manatee County,25.1,7.79,79.91,23.4,131,618,749,11.4
Florida,Martin County,20.1,7.79,80.92,22.3,135,1222,1357,10.8
Indiana,Martin County,29.1,7.25,80.92,22.3,135,1222,1357,10.8
Kentucky,Martin County,38.5,7.25,80.92,22.3,135,1222,1357,10.8
Minnesota,Martin County,27.2,7.25,80.92,22.3,135,1222,1357,10.8
North Carolina,Martin County,33.9,7.25,80.92,22.3,135,1222,1357,10.8
Texas,Martin County,29.7,7.25,80.92,22.3,135,1222,1357,10.8
Florida,Miami-Dade County,21.8,7.79,80.09,16.1,1,47,48,11.1
Florida,Nassau County,27.8,7.79,77.65,24.3,32,242,274,10.6
New York,Nassau County,21.6,7.25,77.65,24.3,32,242,274,10.6
Florida,Okaloosa County,28.5,7.79,78.3,25.5,1955,7797,9752,8.4
Florida,Okeechobee County,31.7,7.79,75.95,29.4,643,9417,10060,12.6
Florida,Osceola County,29,7.79,78.82,22.0,46,4627,4673,12.5
Iowa,Osceola County,29.8,7.25,78.82,22.0,46,4627,4673,12.5
Michigan,Osceola County,33.9,7.25,78.82,22.0,46,4627,4673,12.5
Florida,Palm Beach County,22.4,7.79,80.83,18.6,910,3900,4810,11.0
Florida,Pasco County,28.5,7.79,77.56,27.4,356,2599,2955,11.9
Florida,Pinellas County,23.8,7.79,78.47,26.6,1944,7300,9244,10.8
Florida,Putnam County,33.8,7.79,74.84,28.2,2555,16475,19030,13.4
Georgia,Putnam County,32.3,7.25,74.84,28.2,2555,16475,19030,13.4
Illinois,Putnam County,28.8,7.25,74.84,28.2,2555,16475,19030,13.4
Indiana,Putnam County,32.3,7.25,74.84,28.2,2555,16475,19030,13.4
Missouri,Putnam County,29.5,7.35,74.84,28.2,2555,16475,19030,13.4
New York,Putnam County,31,7.25,74.84,28.2,2555,16475,19030,13.4
Ohio,Putnam County,29.9,7.85,74.84,28.2,2555,16475,19030,13.4
Tennessee,Putnam County,32.5,7.25,74.84,28.2,2555,16475,19030,13.4
West Virginia,Putnam County,29.4,7.25,74.84,28.2,2555,16475,19030,13.4
Florida,Santa Rosa County,28,7.79,77.94,24.8,2822,10958,13780,9.3
Florida,Sarasota County,20.2,7.79,81.11,23.5,2268,9657,11925,11.6
Florida,Seminole County,24.9,7.79,80.08,20.3,598,9199,9797,10.6
Georgia,Seminole County,32.2,7.25,80.08,20.3,598,9199,9797,10.6
Oklahoma,Seminole County,38.7,7.25,80.08,20.3,598,9199,9797,10.6
Florida,Suwannee County,31,7.79,75.76,28.9,1209,18374,19583,9.8
Florida,Taylor County,35.9,7.79,75.67,31.7,888,9743,10631,10.6
Georgia,Taylor County,33,7.25,75.67,31.7,888,9743,10631,10.6
Iowa,Taylor County,31.2,7.25,75.67,31.7,888,9743,10631,10.6
Kentucky,Taylor County,31.9,7.25,75.67,31.7,888,9743,10631,10.6
Texas,Taylor County,28.2,7.25,75.67,31.7,888,9743,10631,10.6
West Virginia,Taylor County,32.8,7.25,75.67,31.7,888,9743,10631,10.6
Wisconsin,Taylor County,29.2,7.25,75.67,31.7,888,9743,10631,10.6
Florida,Volusia County,25.8,7.79,77.58,26.8,1476,12857,14333,12.3
Florida,Wakulla County,36.2,7.79,76.53,27.6,922,11556,12478,8.4
Florida,Walton County,26.7,7.79,77.11,27.5,241,819,1060,9.4
Georgia,Walton County,28.3,7.25,77.11,27.5,241,819,1060,9.4
Georgia,Appling County,34.3,7.25,74.38,25.1,852,9994,10846,11.8
Georgia,Atkinson County,30.8,7.25,73.73,27.7,531,1363,1894,15.2
Georgia,Bacon County,30.8,7.25,72.96,27.8,255,5204,5459,10.6
Georgia,Banks County,28.2,7.25,77.53,25.2,16,4695,4711,9.7
Georgia,Barrow County,32.2,7.25,76.29,23.5,1939,12250,14189,10.8
Georgia,Bartow County,29.4,7.25,75.97,26.5,627,13870,14497,12.2
Georgia,Ben Hill County,33.4,7.25,73.63,28.2,306,5239,5545,15.9
Georgia,Berrien County,30.1,7.25,75.16,28.9,30,9080,9110,13.0
Michigan,Berrien County,36.5,7.25,75.16,28.9,30,9080,9110,13.0
Georgia,Bleckley County,30.1,7.25,75.62,25.7,340,7052,7392,12.5
Georgia,Brantley County,31,7.25,74.77,30.0,395,4026,4421,12.7
Georgia,Brooks County,33.3,7.25,75.68,28.3,2318,11581,13899,9.6
Texas,Brooks County,29,7.25,75.68,28.3,2318,11581,13899,9.6
Georgia,Bryan County,28.3,7.25,75.87,20.7,1006,13201,14207,9.6
Oklahoma,Bryan County,33.3,7.25,75.87,20.7,1006,13201,14207,9.6
Georgia,Bulloch County,33,7.25,76.99,21.9,685,4570,5255,10.1
Georgia,Burke County,35.9,7.25,73.33,26.7,409,8411,8820,12.2
North Carolina,Burke County,28.8,7.25,73.33,26.7,409,8411,8820,12.2
North Dakota,Burke County,30.6,7.25,73.33,26.7,409,8411,8820,12.2
Georgia,Butts County,33.6,7.25,74.34,28.3,1273,7684,8957,11.5
Georgia,Camden County,28.6,7.25,77.52,24.1,336,2618,2954,9.9
Missouri,Camden County,29.4,7.35,77.52,24.1,336,2618,2954,9.9
New Jersey,Camden County,27.5,7.25,77.52,24.1,336,2618,2954,9.9
North Carolina,Camden County,30.2,7.25,77.52,24.1,336,2618,2954,9.9
Georgia,Candler County,32,7.25,74.4,24.4,2259,10173,12432,8.8
Georgia,Catoosa County,31,7.25,78.13,25.2,626,3162,3788,8.6
Georgia,Charlton County,31.5,7.25,75.45,30.1,350,7003,7353,10.6
Georgia,Chatham County,26.8,7.25,76.65,22.5,1214,6276,7490,9.9
North Carolina,Chatham County,25.7,7.25,76.65,22.5,1214,6276,7490,9.9
Georgia,Chattahoochee County,30.5,7.25,77.05,19.6,660,4975,5635,10.9
Georgia,Chattooga County,32.8,7.25,74.62,30.6,5472,47045,52517,11.7
Georgia,Clayton County,36.1,7.25,76.64,22.2,29,145,174,13.5
Iowa,Clayton County,30.8,7.25,76.64,22.2,29,145,174,13.5
Georgia,Clinch County,32.7,7.25,73.14,26.7,126,908,1034,11.1
